"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","label","n_re1"
"1","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","perfect",0
"2","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","L1_N200",4
"3","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","L1_N50",17
"4","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","L10_N200",0
"5","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","L10_N50",6
"6","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",1
"7","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",2
"8","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",1
"9","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",0
"10","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",0
"11","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","L1_N50",3
"12","long_fast","R_unadjusted","HighSigmaR","L10","N50","F1","L10_N50",1
"13","long_fast","R_unadjusted","HighSigmaR","L20","N50","F1","L20_N50",0
"14","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"15","long_fast","R_unadjusted","HighSigmaR","L75","N50","F1","L75_N50",0
"16","long_fast","R_unadjusted_change_CV_0.075","HighSigmaR","L100","perfect","F1","perfect",0
"17","long_fast","R_unadjusted_change_CV_0.075","HighSigmaR","L20","N200","F1","L20_N200",0
"18","long_fast","R_unadjusted_change_CV_0.075","HighSigmaR","L75","N200","F1","L75_N200",1
"19","long_fast","R_unadjusted_change_CV_0.125","HighSigmaR","L100","perfect","F1","perfect",0
"20","long_fast","R_unadjusted_change_CV_0.125","HighSigmaR","L20","N200","F1","L20_N200",0
"21","long_fast","R_unadjusted_change_CV_0.125","HighSigmaR","L75","N200","F1","L75_N200",0
"22","long_fast","R_unadjusted_change_Linf_49.5","HighSigmaR","L100","perfect","F1","perfect",82
"23","long_fast","R_unadjusted_change_Linf_49.5","HighSigmaR","L20","N200","F1","L20_N200",44
"24","long_fast","R_unadjusted_change_Linf_49.5","HighSigmaR","L75","N200","F1","L75_N200",74
"25","long_fast","R_unadjusted_change_Linf_60.5","HighSigmaR","L100","perfect","F1","perfect",0
"26","long_fast","R_unadjusted_change_Linf_60.5","HighSigmaR","L20","N200","F1","L20_N200",0
"27","long_fast","R_unadjusted_change_Linf_60.5","HighSigmaR","L75","N200","F1","L75_N200",0
"28","long_slow","R_biasadjusted","HighSigmaR","L100","perfect","F1","perfect",0
"29","long_slow","R_biasadjusted","HighSigmaR","L1","N200","F1","L1_N200",16
"30","long_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","L1_N50",23
"31","long_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","L10_N200",2
"32","long_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","L10_N50",7
"33","long_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",2
"34","long_slow","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",5
"35","long_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",3
"36","long_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",0
"37","long_slow","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",3
"38","long_slow","R_unadjusted","HighSigmaR","L1","N50","F1","L1_N50",6
"39","long_slow","R_unadjusted","HighSigmaR","L10","N50","F1","L10_N50",1
"40","long_slow","R_unadjusted","HighSigmaR","L20","N50","F1","L20_N50",0
"41","long_slow","R_unadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",0
"42","long_slow","R_unadjusted","HighSigmaR","L75","N50","F1","L75_N50",0
"43","short_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","perfect",3
"44","short_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","L1_N200",3
"45","short_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","L1_N50",11
"46","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","L10_N200",6
"47","short_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","L10_N50",10
"48","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",5
"49","short_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",7
"50","short_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",4
"51","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",3
"52","short_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",5
"53","short_fast","R_unadjusted","HighSigmaR","L1","N50","F1","L1_N50",3
"54","short_fast","R_unadjusted","HighSigmaR","L10","N50","F1","L10_N50",4
"55","short_fast","R_unadjusted","HighSigmaR","L20","N50","F1","L20_N50",4
"56","short_fast","R_unadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",5
"57","short_fast","R_unadjusted","HighSigmaR","L75","N50","F1","L75_N50",5
"58","short_slow","R_biasadjusted","HighSigmaR","L100","perfect","F1","perfect",1
"59","short_slow","R_biasadjusted","HighSigmaR","L1","N200","F1","L1_N200",10
"60","short_slow","R_biasadjusted","HighSigmaR","L1","N50","F1","L1_N50",13
"61","short_slow","R_biasadjusted","HighSigmaR","L10","N200","F1","L10_N200",4
"62","short_slow","R_biasadjusted","HighSigmaR","L10","N50","F1","L10_N50",9
"63","short_slow","R_biasadjusted","HighSigmaR","L20","N200","F1","L20_N200",3
"64","short_slow","R_biasadjusted","HighSigmaR","L20","N50","F1","L20_N50",5
"65","short_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",7
"66","short_slow","R_biasadjusted","HighSigmaR","L75","N200","F1","L75_N200",2
"67","short_slow","R_biasadjusted","HighSigmaR","L75","N50","F1","L75_N50",5
"68","short_slow","R_unadjusted","HighSigmaR","L1","N50","F1","L1_N50",2
"69","short_slow","R_unadjusted","HighSigmaR","L10","N50","F1","L10_N50",3
"70","short_slow","R_unadjusted","HighSigmaR","L20","N50","F1","L20_N50",4
"71","short_slow","R_unadjusted","HighSigmaR","L20","Ndecline","F1","L20_Ndecline",3
"72","short_slow","R_unadjusted","HighSigmaR","L75","N50","F1","L75_N50",2
