"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","mre","mare","pconverge"
"1","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Depletion",100,-0.211153073300797,0.355375986727932,1
"2","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","F",100,0.367698903023341,0.490938300796424,1
"3","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","OFL",100,-0.260422474852083,0.451128479771981,1
"4","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Recruit",100,0.290788474650496,0.604931318307704,1
"5","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Selex_ascend",100,0.0172656862745098,0.141232352941177,1
"6","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Selex_peak",100,0.0571738095238095,0.258191666666667,1
"7","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SPR",100,-0.161039172373031,0.262063792816434,1
"8","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB",100,-0.248954120849364,0.491152198182158,1
"9","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB0",100,-0.0477113946217928,0.14841558089201,1
"10","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Depletion",100,-0.00652607749489277,0.20798956076575,1
"11","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","F",100,0.0438968382819418,0.243585720439572,1
"12","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","OFL",100,-0.0313284513558595,0.257915008102795,1
"13","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Recruit",100,0.296535560437367,0.546960780443223,1
"14","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Selex_ascend",100,0.0116519607843138,0.0146823529411765,1
"15","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Selex_peak",100,0.0206440476190476,0.023997619047619,1
"16","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SPR",100,-0.0212826646865069,0.137543791394909,1
"17","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB",100,-0.0613093943077181,0.252211477888118,1
"18","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB0",100,-0.0108741899083078,0.0985891609577427,1
"19","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Depletion",100,-0.0267501616943494,0.211669583798556,1
"20","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","F",100,-0.00849257899308796,0.281938850148347,1
"21","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","OFL",100,0.0109224271925241,0.279236042394547,1
"22","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Recruit",100,0.355865140746379,0.561348673126015,1
"23","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_ascend",100,-0.00386470588235283,0.00908235294117641,1
"24","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_peak",100,-0.00201547619047619,0.0106083333333334,1
"25","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SPR",100,0.00463679094413594,0.148312780447294,1
"26","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB",100,0.00779868172753825,0.274861308821613,1
"27","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB0",100,0.00492375426242346,0.08714150937579,1
"28","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Depletion",100,-0.0782015284097169,0.17544211043058,1
"29","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","F",100,0.176866204997737,0.24274865443497,1
"30","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","OFL",100,-0.15696529338867,0.216668010251409,1
"31","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Recruit",100,0.350049246938371,0.517232749847205,1
"32","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Selex_ascend",100,-0.00458725490196075,0.00606862745098036,1
