"","lifehistory","Rest","SigmaR","Lyears","Nsamp","label","n_re1"
"1","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","data-rich",0
"2","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","perfect",1
"3","long_fast","R_biasadjusted","HighSigmaR","L1","N200","L1_N200",8
"4","long_fast","R_biasadjusted","HighSigmaR","L1","N50","L1_N50",14
"5","long_fast","R_biasadjusted","HighSigmaR","L10","N200","L10_N200",2
"6","long_fast","R_biasadjusted","HighSigmaR","L10","N50","L10_N50",5
"7","long_fast","R_biasadjusted","HighSigmaR","L20","N200","L20_N200",1
"8","long_fast","R_biasadjusted","HighSigmaR","L20","N50","L20_N50",1
"9","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",1
"10","long_fast","R_biasadjusted","HighSigmaR","L75","N200","L75_N200",1
"11","long_fast","R_biasadjusted","HighSigmaR","L75","N50","L75_N50",1
"12","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","data-rich",0
"13","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","perfect",0
"14","long_fast","R_biasadjusted","LowSigmaR","L1","N200","L1_N200",2
"15","long_fast","R_biasadjusted","LowSigmaR","L1","N50","L1_N50",5
"16","long_fast","R_biasadjusted","LowSigmaR","L10","N200","L10_N200",0
"17","long_fast","R_biasadjusted","LowSigmaR","L10","N50","L10_N50",0
"18","long_fast","R_biasadjusted","LowSigmaR","L20","N200","L20_N200",0
"19","long_fast","R_biasadjusted","LowSigmaR","L20","N50","L20_N50",0
"20","long_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"21","long_fast","R_biasadjusted","LowSigmaR","L75","N200","L75_N200",0
"22","long_fast","R_biasadjusted","LowSigmaR","L75","N50","L75_N50",0
"23","long_fast","R_unadjusted","HighSigmaR","L100","perfect","data-rich",0
"24","long_fast","R_unadjusted","HighSigmaR","L100","perfect","perfect",1
"25","long_fast","R_unadjusted","HighSigmaR","L1","N200","L1_N200",1
"26","long_fast","R_unadjusted","HighSigmaR","L1","N50","L1_N50",7
"27","long_fast","R_unadjusted","HighSigmaR","L10","N200","L10_N200",1
"28","long_fast","R_unadjusted","HighSigmaR","L10","N50","L10_N50",0
"29","long_fast","R_unadjusted","HighSigmaR","L20","N200","L20_N200",1
"30","long_fast","R_unadjusted","HighSigmaR","L20","N50","L20_N50",0
"31","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",0
"32","long_fast","R_unadjusted","HighSigmaR","L75","N200","L75_N200",1
"33","long_fast","R_unadjusted","HighSigmaR","L75","N50","L75_N50",0
"34","long_fast","R_unadjusted","LowSigmaR","L100","perfect","data-rich",0
"35","long_fast","R_unadjusted","LowSigmaR","L100","perfect","perfect",0
"36","long_fast","R_unadjusted","LowSigmaR","L1","N200","L1_N200",2
"37","long_fast","R_unadjusted","LowSigmaR","L1","N50","L1_N50",2
"38","long_fast","R_unadjusted","LowSigmaR","L10","N200","L10_N200",0
"39","long_fast","R_unadjusted","LowSigmaR","L10","N50","L10_N50",0
"40","long_fast","R_unadjusted","LowSigmaR","L20","N200","L20_N200",0
"41","long_fast","R_unadjusted","LowSigmaR","L20","N50","L20_N50",0
"42","long_fast","R_unadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"43","long_fast","R_unadjusted","LowSigmaR","L75","N200","L75_N200",0
"44","long_fast","R_unadjusted","LowSigmaR","L75","N50","L75_N50",0
"45","long_slow","R_biasadjusted","HighSigmaR","L100","perfect","data-rich",0
"46","long_slow","R_biasadjusted","HighSigmaR","L100","perfect","perfect",0
"47","long_slow","R_biasadjusted","HighSigmaR","L1","N200","L1_N200",15
"48","long_slow","R_biasadjusted","HighSigmaR","L1","N50","L1_N50",17
"49","long_slow","R_biasadjusted","HighSigmaR","L10","N200","L10_N200",1
"50","long_slow","R_biasadjusted","HighSigmaR","L10","N50","L10_N50",4
"51","long_slow","R_biasadjusted","HighSigmaR","L20","N200","L20_N200",1
"52","long_slow","R_biasadjusted","HighSigmaR","L20","N50","L20_N50",4
"53","long_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",2
"54","long_slow","R_biasadjusted","HighSigmaR","L75","N200","L75_N200",0
"55","long_slow","R_biasadjusted","HighSigmaR","L75","N50","L75_N50",2
"56","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","data-rich",0
"57","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","perfect",0
"58","long_slow","R_biasadjusted","LowSigmaR","L1","N200","L1_N200",2
"59","long_slow","R_biasadjusted","LowSigmaR","L1","N50","L1_N50",14
"60","long_slow","R_biasadjusted","LowSigmaR","L10","N200","L10_N200",0
"61","long_slow","R_biasadjusted","LowSigmaR","L10","N50","L10_N50",0
"62","long_slow","R_biasadjusted","LowSigmaR","L20","N200","L20_N200",0
"63","long_slow","R_biasadjusted","LowSigmaR","L20","N50","L20_N50",0
"64","long_slow","R_biasadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"65","long_slow","R_biasadjusted","LowSigmaR","L75","N200","L75_N200",0
"66","long_slow","R_biasadjusted","LowSigmaR","L75","N50","L75_N50",0
"67","long_slow","R_unadjusted","HighSigmaR","L100","perfect","data-rich",0
"68","long_slow","R_unadjusted","HighSigmaR","L100","perfect","perfect",0
"69","long_slow","R_unadjusted","HighSigmaR","L1","N200","L1_N200",2
"70","long_slow","R_unadjusted","HighSigmaR","L1","N50","L1_N50",4
"71","long_slow","R_unadjusted","HighSigmaR","L10","N200","L10_N200",0
"72","long_slow","R_unadjusted","HighSigmaR","L10","N50","L10_N50",0
"73","long_slow","R_unadjusted","HighSigmaR","L20","N200","L20_N200",0
"74","long_slow","R_unadjusted","HighSigmaR","L20","N50","L20_N50",0
"75","long_slow","R_unadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",0
"76","long_slow","R_unadjusted","HighSigmaR","L75","N200","L75_N200",0
"77","long_slow","R_unadjusted","HighSigmaR","L75","N50","L75_N50",0
"78","long_slow","R_unadjusted","LowSigmaR","L100","perfect","data-rich",0
"79","long_slow","R_unadjusted","LowSigmaR","L100","perfect","perfect",0
"80","long_slow","R_unadjusted","LowSigmaR","L1","N200","L1_N200",1
"81","long_slow","R_unadjusted","LowSigmaR","L1","N50","L1_N50",14
"82","long_slow","R_unadjusted","LowSigmaR","L10","N200","L10_N200",0
"83","long_slow","R_unadjusted","LowSigmaR","L10","N50","L10_N50",0
"84","long_slow","R_unadjusted","LowSigmaR","L20","N200","L20_N200",0
"85","long_slow","R_unadjusted","LowSigmaR","L20","N50","L20_N50",0
"86","long_slow","R_unadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"87","long_slow","R_unadjusted","LowSigmaR","L75","N200","L75_N200",0
"88","long_slow","R_unadjusted","LowSigmaR","L75","N50","L75_N50",0
"89","short_fast","R_biasadjusted","HighSigmaR","L100","perfect","data-rich",0
"90","short_fast","R_biasadjusted","HighSigmaR","L100","perfect","perfect",1
"91","short_fast","R_biasadjusted","HighSigmaR","L1","N200","L1_N200",8
"92","short_fast","R_biasadjusted","HighSigmaR","L1","N50","L1_N50",15
"93","short_fast","R_biasadjusted","HighSigmaR","L10","N200","L10_N200",2
"94","short_fast","R_biasadjusted","HighSigmaR","L10","N50","L10_N50",10
"95","short_fast","R_biasadjusted","HighSigmaR","L20","N200","L20_N200",2
"96","short_fast","R_biasadjusted","HighSigmaR","L20","N50","L20_N50",7
"97","short_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",4
"98","short_fast","R_biasadjusted","HighSigmaR","L75","N200","L75_N200",2
"99","short_fast","R_biasadjusted","HighSigmaR","L75","N50","L75_N50",6
"100","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","data-rich",0
"101","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","perfect",0
"102","short_fast","R_biasadjusted","LowSigmaR","L1","N200","L1_N200",0
"103","short_fast","R_biasadjusted","LowSigmaR","L1","N50","L1_N50",13
"104","short_fast","R_biasadjusted","LowSigmaR","L10","N200","L10_N200",0
"105","short_fast","R_biasadjusted","LowSigmaR","L10","N50","L10_N50",0
"106","short_fast","R_biasadjusted","LowSigmaR","L20","N200","L20_N200",0
"107","short_fast","R_biasadjusted","LowSigmaR","L20","N50","L20_N50",0
"108","short_fast","R_biasadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"109","short_fast","R_biasadjusted","LowSigmaR","L75","N200","L75_N200",0
"110","short_fast","R_biasadjusted","LowSigmaR","L75","N50","L75_N50",0
"111","short_fast","R_unadjusted","HighSigmaR","L100","perfect","data-rich",0
"112","short_fast","R_unadjusted","HighSigmaR","L100","perfect","perfect",6
"113","short_fast","R_unadjusted","HighSigmaR","L1","N200","L1_N200",0
"114","short_fast","R_unadjusted","HighSigmaR","L1","N50","L1_N50",3
"115","short_fast","R_unadjusted","HighSigmaR","L10","N200","L10_N200",2
"116","short_fast","R_unadjusted","HighSigmaR","L10","N50","L10_N50",6
"117","short_fast","R_unadjusted","HighSigmaR","L20","N200","L20_N200",8
"118","short_fast","R_unadjusted","HighSigmaR","L20","N50","L20_N50",8
"119","short_fast","R_unadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",7
"120","short_fast","R_unadjusted","HighSigmaR","L75","N200","L75_N200",2
"121","short_fast","R_unadjusted","HighSigmaR","L75","N50","L75_N50",5
"122","short_fast","R_unadjusted","LowSigmaR","L100","perfect","data-rich",0
"123","short_fast","R_unadjusted","LowSigmaR","L100","perfect","perfect",0
"124","short_fast","R_unadjusted","LowSigmaR","L1","N200","L1_N200",0
"125","short_fast","R_unadjusted","LowSigmaR","L1","N50","L1_N50",7
"126","short_fast","R_unadjusted","LowSigmaR","L10","N200","L10_N200",0
"127","short_fast","R_unadjusted","LowSigmaR","L10","N50","L10_N50",0
"128","short_fast","R_unadjusted","LowSigmaR","L20","N200","L20_N200",0
"129","short_fast","R_unadjusted","LowSigmaR","L20","N50","L20_N50",0
"130","short_fast","R_unadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"131","short_fast","R_unadjusted","LowSigmaR","L75","N200","L75_N200",0
"132","short_fast","R_unadjusted","LowSigmaR","L75","N50","L75_N50",0
"133","short_slow","R_biasadjusted","HighSigmaR","L100","perfect","data-rich",0
"134","short_slow","R_biasadjusted","HighSigmaR","L100","perfect","perfect",1
"135","short_slow","R_biasadjusted","HighSigmaR","L1","N200","L1_N200",10
"136","short_slow","R_biasadjusted","HighSigmaR","L1","N50","L1_N50",23
"137","short_slow","R_biasadjusted","HighSigmaR","L10","N200","L10_N200",2
"138","short_slow","R_biasadjusted","HighSigmaR","L10","N50","L10_N50",6
"139","short_slow","R_biasadjusted","HighSigmaR","L20","N200","L20_N200",1
"140","short_slow","R_biasadjusted","HighSigmaR","L20","N50","L20_N50",5
"141","short_slow","R_biasadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",4
"142","short_slow","R_biasadjusted","HighSigmaR","L75","N200","L75_N200",1
"143","short_slow","R_biasadjusted","HighSigmaR","L75","N50","L75_N50",2
"144","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","data-rich",0
"145","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","perfect",0
"146","short_slow","R_biasadjusted","LowSigmaR","L1","N200","L1_N200",3
"147","short_slow","R_biasadjusted","LowSigmaR","L1","N50","L1_N50",7
"148","short_slow","R_biasadjusted","LowSigmaR","L10","N200","L10_N200",0
"149","short_slow","R_biasadjusted","LowSigmaR","L10","N50","L10_N50",1
"150","short_slow","R_biasadjusted","LowSigmaR","L20","N200","L20_N200",0
"151","short_slow","R_biasadjusted","LowSigmaR","L20","N50","L20_N50",0
"152","short_slow","R_biasadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"153","short_slow","R_biasadjusted","LowSigmaR","L75","N200","L75_N200",0
"154","short_slow","R_biasadjusted","LowSigmaR","L75","N50","L75_N50",0
"155","short_slow","R_unadjusted","HighSigmaR","L100","perfect","data-rich",0
"156","short_slow","R_unadjusted","HighSigmaR","L100","perfect","perfect",1
"157","short_slow","R_unadjusted","HighSigmaR","L1","N200","L1_N200",1
"158","short_slow","R_unadjusted","HighSigmaR","L1","N50","L1_N50",7
"159","short_slow","R_unadjusted","HighSigmaR","L10","N200","L10_N200",2
"160","short_slow","R_unadjusted","HighSigmaR","L10","N50","L10_N50",3
"161","short_slow","R_unadjusted","HighSigmaR","L20","N200","L20_N200",3
"162","short_slow","R_unadjusted","HighSigmaR","L20","N50","L20_N50",3
"163","short_slow","R_unadjusted","HighSigmaR","L20","Ndecline","L20_Ndecline",3
"164","short_slow","R_unadjusted","HighSigmaR","L75","N200","L75_N200",1
"165","short_slow","R_unadjusted","HighSigmaR","L75","N50","L75_N50",2
"166","short_slow","R_unadjusted","LowSigmaR","L100","perfect","data-rich",0
"167","short_slow","R_unadjusted","LowSigmaR","L100","perfect","perfect",0
"168","short_slow","R_unadjusted","LowSigmaR","L1","N200","L1_N200",2
"169","short_slow","R_unadjusted","LowSigmaR","L1","N50","L1_N50",7
"170","short_slow","R_unadjusted","LowSigmaR","L10","N200","L10_N200",0
"171","short_slow","R_unadjusted","LowSigmaR","L10","N50","L10_N50",0
"172","short_slow","R_unadjusted","LowSigmaR","L20","N200","L20_N200",0
"173","short_slow","R_unadjusted","LowSigmaR","L20","N50","L20_N50",0
"174","short_slow","R_unadjusted","LowSigmaR","L20","Ndecline","L20_Ndecline",0
"175","short_slow","R_unadjusted","LowSigmaR","L75","N200","L75_N200",0
"176","short_slow","R_unadjusted","LowSigmaR","L75","N50","L75_N50",0
