"","lifehistory","Rest","SigmaR","Lyears","Nsamp","variable","year","label","mre","mare","n_nonconverge"
"1","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F",100,"data-rich",0.00209306353270631,0.0191634076620617,0
"2","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F",100,"perfect",-0.149160958298729,0.1977331672347,0
"3","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","Fraction of unfished",100,"data-rich",-0.0355728181050107,0.0832061863728225,0
"4","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","Fraction of unfished",100,"perfect",0.106461187314069,0.180795178870958,0
"5","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","OFL",100,"data-rich",-0.00200688095731749,0.0201340861564506,0
"6","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","OFL",100,"perfect",0.183847018216825,0.234587185991369,0
"7","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","Recruit",100,"data-rich",0.239563340678382,0.394764573142291,0
"8","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","Recruit",100,"perfect",0.395515813948597,0.447633869958749,0
"9","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","SPR",100,"data-rich",-0.00154216786342895,0.0105248982019576,0
"10","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","SPR",100,"perfect",0.0860041486092432,0.110528264972308,0
"11","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","SSB",100,"data-rich",-0.00411649385145894,0.019132975443768,0
"12","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","SSB",100,"perfect",0.176053791341048,0.224047425685428,0
"13","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","SSB0",100,"data-rich",0.0430836205780247,0.084129294025516,0
"14","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","SSB0",100,"perfect",0.0834263410062094,0.0973774919376222,0
"15","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F",100,"L1_N200",-0.0743307764383095,0.431618697693407,1
"16","long_fast","R_biasadjusted","HighSigmaR","L1","N200","Fraction of unfished",100,"L1_N200",0.0734467576648947,0.362552724893224,1
"17","long_fast","R_biasadjusted","HighSigmaR","L1","N200","OFL",100,"L1_N200",0.0697977394213364,0.420956801600226,1
"18","long_fast","R_biasadjusted","HighSigmaR","L1","N200","Recruit",100,"L1_N200",0.251376037251507,0.555015346351273,1
"19","long_fast","R_biasadjusted","HighSigmaR","L1","N200","SPR",100,"L1_N200",0.0457469273544479,0.253353209747922,1
"20","long_fast","R_biasadjusted","HighSigmaR","L1","N200","SSB",100,"L1_N200",0.0561264559147296,0.488578767198214,1
"21","long_fast","R_biasadjusted","HighSigmaR","L1","N200","SSB0",100,"L1_N200",0.0382431107520981,0.150684762568368,1
"22","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F",100,"L1_N50",0.166563920754825,0.616860022853037,5
"23","long_fast","R_biasadjusted","HighSigmaR","L1","N50","Fraction of unfished",100,"L1_N50",-0.109444425215615,0.519751299179745,5
"24","long_fast","R_biasadjusted","HighSigmaR","L1","N50","OFL",100,"L1_N50",-0.154948299133868,0.598476873406336,5
