"","lifehistory","Rest","SigmaR","Lyears","Nsamp","variable","year","mre","mare","pconverge"
"1","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Depletion",100,-0.00692241482503192,0.0951673077013592,1
"2","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F",100,0.00496298502555982,0.121748630074871,1
"3","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Fmsy",100,-0.0015771295971505,0.00167224305874087,1
"4","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","MSY",100,0.0195106357501475,0.0444321612768031,1
"5","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Recruit",100,0.132391254860159,0.235028059426716,1
"6","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Selex_peak",100,-7.26190476190053e-05,0.0013357142857143,1
"7","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","Selex_shape",100,0.000300980392156962,0.000963725490196166,1
"8","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SPR",100,-0.00359776820534311,0.064636379449982,1
"9","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB",100,-0.00649504247075081,0.116779511202428,1
"10","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB0",100,0.0221522694899891,0.0465860531654468,1
"11","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSBmsy",100,0.0234904529674326,0.0470088031079518,1
"12","long_fast","R_unadjusted","LowSigmaR","L100","perfect","Depletion",100,-0.0182923706193096,0.0890678347258927,1
"13","long_fast","R_unadjusted","LowSigmaR","L100","perfect","F",100,0.00243393611846172,0.0939366018447214,1
"14","long_fast","R_unadjusted","LowSigmaR","L100","perfect","Fmsy",100,-0.00165605353336379,0.00174239766870818,1
"15","long_fast","R_unadjusted","LowSigmaR","L100","perfect","MSY",100,0.026315676933209,0.0484499687812722,1
"16","long_fast","R_unadjusted","LowSigmaR","L100","perfect","Recruit",100,0.117900974102015,0.243288353958798,1
"17","long_fast","R_unadjusted","LowSigmaR","L100","perfect","Selex_peak",100,-0.000144047619047579,0.00128571428571433,1
"18","long_fast","R_unadjusted","LowSigmaR","L100","perfect","Selex_shape",100,0.000199019607843266,0.000930392156862789,1
"19","long_fast","R_unadjusted","LowSigmaR","L100","perfect","SPR",100,-0.00299829604011698,0.0526665756391719,1
"20","long_fast","R_unadjusted","LowSigmaR","L100","perfect","SSB",100,-0.00294958789378286,0.104767484781536,1
"21","long_fast","R_unadjusted","LowSigmaR","L100","perfect","SSB0",100,0.0289844795372843,0.0441010525796526,1
"22","long_fast","R_unadjusted","LowSigmaR","L100","perfect","SSBmsy",100,0.0302508679120516,0.0436477103653497,1
"23","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","Depletion",100,0.00896898648907609,0.0814266858567951,1
"24","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","F",100,-0.0403211162068105,0.0817105502289719,1
"25","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","Fmsy",100,0.000195464252031633,0.00032088714708518,1
"26","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","MSY",100,0.0251272175490153,0.0371963694453675,1
"27","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","Recruit",100,0.114776303995402,0.279728722713764,1
"28","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","Selex_peak",100,0.000400000000000083,0.000672619047619045,1
"29","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","Selex_shape",100,0.000123529411764819,0.00038235294117645,1
"30","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","SPR",100,0.023097996981322,0.0466578359851582,1
"31","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","SSB",100,0.0413979072134123,0.0805198129621855,1
"32","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","SSB0",100,0.0247020124681167,0.0371443591678913,1
"33","long_slow","R_biasadjusted","LowSigmaR","L100","perfect","SSBmsy",100,0.0246265699908872,0.0371191410119259,1
"34","long_slow","R_unadjusted","LowSigmaR","L100","perfect","Depletion",100,-0.0391020388904769,0.0878327616191237,1
"35","long_slow","R_unadjusted","LowSigmaR","L100","perfect","F",100,-0.0083726577984617,0.0771419578038819,1
"36","long_slow","R_unadjusted","LowSigmaR","L100","perfect","Fmsy",100,3.82784160228833e-05,0.000303784025032544,1
"37","long_slow","R_unadjusted","LowSigmaR","L100","perfect","MSY",100,0.0426393988044954,0.0469774071241828,1
"38","long_slow","R_unadjusted","LowSigmaR","L100","perfect","Recruit",100,0.119264005417226,0.285878708322029,1
"39","long_slow","R_unadjusted","LowSigmaR","L100","perfect","Selex_peak",100,0.000159523809523776,0.000614285714285721,1
"40","long_slow","R_unadjusted","LowSigmaR","L100","perfect","Selex_shape",100,0.000109803921568737,0.000368627450980456,1
"41","long_slow","R_unadjusted","LowSigmaR","L100","perfect","SPR",100,0.00338913433117428,0.0431979513867052,1
"42","long_slow","R_unadjusted","LowSigmaR","L100","perfect","SSB",100,0.00657425426678097,0.0729848227682696,1
"43","long_slow","R_unadjusted","LowSigmaR","L100","perfect","SSB0",100,0.042367659404861,0.0471391249869718,1
"44","long_slow","R_unadjusted","LowSigmaR","L100","perfect","SSBmsy",100,0.0423194262847181,0.0471670826894885,1
"45","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","Depletion",100,-0.0465544234952945,0.126135415010803,1
"46","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","F",100,0.0340185702311192,0.135676180296808,1
"47","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","Fmsy",100,-0.000434234950941461,0.000434234950941461,1
"48","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","MSY",100,-0.00773569466362732,0.0431780544352875,1
"49","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","Recruit",100,-0.00261784954651287,0.133422565879446,1
"50","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","Selex_peak",100,0.00170000000000001,0.00178452380952384,1
"51","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","Selex_shape",100,0.000905882352941277,0.00097058823529412,1
"52","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","SPR",100,-0.0191406650011689,0.0749995652703149,1
"53","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB",100,-0.0318510339943982,0.12521068902834,1
"54","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSB0",100,-0.00588322151887308,0.043618911071435,1
"55","short_fast","R_biasadjusted","LowSigmaR","L100","perfect","SSBmsy",100,-0.00531290471610235,0.0434575156963578,1
"56","short_fast","R_unadjusted","LowSigmaR","L100","perfect","Depletion",100,-0.035881914767894,0.130349568207486,1
"57","short_fast","R_unadjusted","LowSigmaR","L100","perfect","F",100,0.0262820498243856,0.13092837987815,1
"58","short_fast","R_unadjusted","LowSigmaR","L100","perfect","Fmsy",100,-0.000417661097852078,0.000427605409705708,1
"59","short_fast","R_unadjusted","LowSigmaR","L100","perfect","MSY",100,-0.0108422467707055,0.040978432403998,1
"60","short_fast","R_unadjusted","LowSigmaR","L100","perfect","Recruit",100,0.0292054861352012,0.134980191083026,1
"61","short_fast","R_unadjusted","LowSigmaR","L100","perfect","Selex_peak",100,0.00176904761904756,0.00184285714285708,1
"62","short_fast","R_unadjusted","LowSigmaR","L100","perfect","Selex_shape",100,0.000920588235294184,0.000971568627450945,1
"63","short_fast","R_unadjusted","LowSigmaR","L100","perfect","SPR",100,-0.0151778624051565,0.0731379561521979,1
"64","short_fast","R_unadjusted","LowSigmaR","L100","perfect","SSB",100,-0.0263239315950732,0.120467387860025,1
"65","short_fast","R_unadjusted","LowSigmaR","L100","perfect","SSB0",100,-0.00889499810636795,0.0406116431315263,1
"66","short_fast","R_unadjusted","LowSigmaR","L100","perfect","SSBmsy",100,-0.00833667835530955,0.0408995205889257,1
"67","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","Depletion",100,0.00471898481106779,0.0991389480706837,1
"68","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","F",100,-0.0155112478329481,0.108581034661584,1
"69","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","Fmsy",100,0.000298353741274133,0.000326963004136069,1
"70","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","MSY",100,0.0152195618326976,0.0423075893147467,1
"71","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","Recruit",100,0.0745708748500542,0.197523820756382,1
"72","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","Selex_peak",100,0.000792857142857071,0.000895238095238039,1
"73","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","Selex_shape",100,0.000450000000000031,0.000544117647058862,1
"74","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","SPR",100,0.00900925748981962,0.0654210394630301,1
"75","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","SSB",100,0.0156139913857095,0.110402155852513,1
"76","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","SSB0",100,0.0146252224859907,0.042597404311773,1
"77","short_slow","R_biasadjusted","LowSigmaR","L100","perfect","SSBmsy",100,0.0145602105053812,0.0426173957608255,1
