"","lifehistory","Rest","SigmaR","Lyears","Nsamp","variable","year","mre","mare","pconverge"
"1","long_fast","R_biasadjusted","LowSigmaR","L1","N50","Depletion",100,0.24787200971982,0.376756730072205,1
"2","long_fast","R_biasadjusted","LowSigmaR","L1","N50","F",100,-0.263300912347411,0.363689911622633,1
"3","long_fast","R_biasadjusted","LowSigmaR","L1","N50","Fmsy",100,-0.0211151884730579,0.0665227597744259,1
"4","long_fast","R_biasadjusted","LowSigmaR","L1","N50","MSY",100,0.069059674812046,0.0861358912732964,1
"5","long_fast","R_biasadjusted","LowSigmaR","L1","N50","Recruit",100,0.2093328283533,0.391734481515113,1
"6","long_fast","R_biasadjusted","LowSigmaR","L1","N50","Selex_peak",100,-0.0581952380952381,0.135571428571429,1
"7","long_fast","R_biasadjusted","LowSigmaR","L1","N50","Selex_shape",100,-0.0366039215686274,0.0944058823529412,1
"8","long_fast","R_biasadjusted","LowSigmaR","L1","N50","SPR",100,0.125537514238633,0.211811004475934,1
"9","long_fast","R_biasadjusted","LowSigmaR","L1","N50","SSB",100,0.388686333983187,0.511714011577149,1
"10","long_fast","R_biasadjusted","LowSigmaR","L1","N50","SSB0",100,0.0849833202814279,0.125532610237216,1
"11","long_fast","R_biasadjusted","LowSigmaR","L1","N50","SSBmsy",100,0.0980864605719953,0.141680443048438,1
"12","long_fast","R_biasadjusted","LowSigmaR","L10","N50","Depletion",100,-0.120809999423313,0.214452723456035,1
"13","long_fast","R_biasadjusted","LowSigmaR","L10","N50","F",100,0.099377054322726,0.223720192385449,1
"14","long_fast","R_biasadjusted","LowSigmaR","L10","N50","Fmsy",100,0.0101757912630529,0.0139762823453227,1
"15","long_fast","R_biasadjusted","LowSigmaR","L10","N50","MSY",100,-0.000976119811490311,0.0471488320774568,1
"16","long_fast","R_biasadjusted","LowSigmaR","L10","N50","Recruit",100,0.0578066828028354,0.264563716572613,1
"17","long_fast","R_biasadjusted","LowSigmaR","L10","N50","Selex_peak",100,-0.0150059523809524,0.0257809523809524,1
"18","long_fast","R_biasadjusted","LowSigmaR","L10","N50","Selex_shape",100,-0.0324166666666666,0.0348813725490196,1
"19","long_fast","R_biasadjusted","LowSigmaR","L10","N50","SPR",100,-0.0540207654913521,0.122594395823708,1
"20","long_fast","R_biasadjusted","LowSigmaR","L10","N50","SSB",100,-0.10291888983527,0.249125834662311,1
"21","long_fast","R_biasadjusted","LowSigmaR","L10","N50","SSB0",100,-0.0121444383467038,0.0528540509209301,1
"22","long_fast","R_biasadjusted","LowSigmaR","L10","N50","SSBmsy",100,-0.0155128946933377,0.0577078856009257,1
"23","long_fast","R_biasadjusted","LowSigmaR","L20","N50","Depletion",100,0.0064271149591751,0.131005837858209,1
"24","long_fast","R_biasadjusted","LowSigmaR","L20","N50","F",100,-0.0124336474339472,0.161691150587082,1
"25","long_fast","R_biasadjusted","LowSigmaR","L20","N50","Fmsy",100,0.00581069048325742,0.00923679879118204,1
"26","long_fast","R_biasadjusted","LowSigmaR","L20","N50","MSY",100,0.0123944764234456,0.0449250322878623,1
"27","long_fast","R_biasadjusted","LowSigmaR","L20","N50","Recruit",100,0.0622929624696515,0.28183460281728,1
"28","long_fast","R_biasadjusted","LowSigmaR","L20","N50","Selex_peak",100,0.0220892857142857,0.0242321428571428,1
"29","long_fast","R_biasadjusted","LowSigmaR","L20","N50","Selex_shape",100,0.0210764705882354,0.022793137254902,1
"30","long_fast","R_biasadjusted","LowSigmaR","L20","N50","SPR",100,0.00914919842809222,0.0889584895920036,1
"31","long_fast","R_biasadjusted","LowSigmaR","L20","N50","SSB",100,0.026150933970546,0.180418960622111,1
"32","long_fast","R_biasadjusted","LowSigmaR","L20","N50","SSB0",100,0.0049206711351458,0.0502148939712529,1
"33","long_fast","R_biasadjusted","LowSigmaR","L20","N50","SSBmsy",100,0.0040719540419904,0.0510735245495123,1
"34","long_fast","R_biasadjusted","LowSigmaR","L75","N50","Depletion",100,0.0533690408205329,0.103351506539056,1
"35","long_fast","R_biasadjusted","LowSigmaR","L75","N50","F",100,-0.0386290861871928,0.128406131990098,1
"36","long_fast","R_biasadjusted","LowSigmaR","L75","N50","Fmsy",100,-0.00036898626588591,0.00257480909851335,1
"37","long_fast","R_biasadjusted","LowSigmaR","L75","N50","MSY",100,-0.00314218633731635,0.046896516332099,1
"38","long_fast","R_biasadjusted","LowSigmaR","L75","N50","Recruit",100,0.0903535705807678,0.26200807195218,1
"39","long_fast","R_biasadjusted","LowSigmaR","L75","N50","Selex_peak",100,-0.00139880952380952,0.00914285714285715,1
"40","long_fast","R_biasadjusted","LowSigmaR","L75","N50","Selex_shape",100,0.000784313725490284,0.00749215686274507,1
"41","long_fast","R_biasadjusted","LowSigmaR","L75","N50","SPR",100,0.0215211442530165,0.0715345178130208,1
"42","long_fast","R_biasadjusted","LowSigmaR","L75","N50","SSB",100,0.0507681367506745,0.13094502519299,1
"43","long_fast","R_biasadjusted","LowSigmaR","L75","N50","SSB0",100,-0.000928021310575743,0.0456919462549253,1
"44","long_fast","R_biasadjusted","LowSigmaR","L75","N50","SSBmsy",100,-0.00143515457100341,0.0454424285005787,1
"45","long_fast","R_unadjusted","LowSigmaR","L1","N50","Depletion",100,0.143096717453518,0.301539560348248,1
"46","long_fast","R_unadjusted","LowSigmaR","L1","N50","F",100,-0.246994468029334,0.354411868500989,1
"47","long_fast","R_unadjusted","LowSigmaR","L1","N50","Fmsy",100,-0.0208797657915328,0.0608058336256443,1
"48","long_fast","R_unadjusted","LowSigmaR","L1","N50","MSY",100,0.157432195489108,0.164382638966104,1
"49","long_fast","R_unadjusted","LowSigmaR","L1","N50","Recruit",100,0.293534377603483,0.47199672276632,1
"50","long_fast","R_unadjusted","LowSigmaR","L1","N50","Selex_peak",100,-0.0620333333333333,0.133279761904762,1
"51","long_fast","R_unadjusted","LowSigmaR","L1","N50","Selex_shape",100,-0.0406843137254901,0.0970176470588235,1
"52","long_fast","R_unadjusted","LowSigmaR","L1","N50","SPR",100,0.129599148581187,0.211276062075764,1
"53","long_fast","R_unadjusted","LowSigmaR","L1","N50","SSB",100,0.375968336938961,0.504723163727316,1
"54","long_fast","R_unadjusted","LowSigmaR","L1","N50","SSB0",100,0.17542994209887,0.177803950102668,1
"55","long_fast","R_unadjusted","LowSigmaR","L1","N50","SSBmsy",100,0.191471730864606,0.196616176227476,1
"56","long_fast","R_unadjusted","LowSigmaR","L10","N50","Depletion",100,-0.198347822136698,0.23047031727514,1
"57","long_fast","R_unadjusted","LowSigmaR","L10","N50","F",100,0.096789328557014,0.235054368334437,1
"58","long_fast","R_unadjusted","LowSigmaR","L10","N50","Fmsy",100,0.0105521977280701,0.0142582499123068,1
"59","long_fast","R_unadjusted","LowSigmaR","L10","N50","MSY",100,0.0859445161952496,0.0859445161952496,1
"60","long_fast","R_unadjusted","LowSigmaR","L10","N50","Recruit",100,0.12461469024559,0.278802805038607,1
"61","long_fast","R_unadjusted","LowSigmaR","L10","N50","Selex_peak",100,-0.0134654761904762,0.0256130952380953,1
"62","long_fast","R_unadjusted","LowSigmaR","L10","N50","Selex_shape",100,-0.0321009803921567,0.0348176470588236,1
"63","long_fast","R_unadjusted","LowSigmaR","L10","N50","SPR",100,-0.0512300869561965,0.126067780568872,1
"64","long_fast","R_unadjusted","LowSigmaR","L10","N50","SSB",100,-0.11079978554991,0.257807560045801,1
"65","long_fast","R_unadjusted","LowSigmaR","L10","N50","SSB0",100,0.0734955880448657,0.079782084564015,1
"66","long_fast","R_unadjusted","LowSigmaR","L10","N50","SSBmsy",100,0.0700797652504546,0.0799212679781783,1
"67","long_fast","R_unadjusted","LowSigmaR","L20","N50","Depletion",100,-0.06505361022675,0.131454489475515,1
"68","long_fast","R_unadjusted","LowSigmaR","L20","N50","F",100,-0.0247735639051183,0.168692013466122,1
"69","long_fast","R_unadjusted","LowSigmaR","L20","N50","Fmsy",100,0.00611356952052031,0.00923072771916574,1
"70","long_fast","R_unadjusted","LowSigmaR","L20","N50","MSY",100,0.101873551322733,0.101873551322733,1
"71","long_fast","R_unadjusted","LowSigmaR","L20","N50","Recruit",100,0.145370377229081,0.315247147811025,1
"72","long_fast","R_unadjusted","LowSigmaR","L20","N50","Selex_peak",100,0.0226464285714286,0.0245619047619048,1
"73","long_fast","R_unadjusted","LowSigmaR","L20","N50","Selex_shape",100,0.0212686274509804,0.0228833333333334,1
"74","long_fast","R_unadjusted","LowSigmaR","L20","N50","SPR",100,0.0153627601531506,0.09138630510047,1
"75","long_fast","R_unadjusted","LowSigmaR","L20","N50","SSB",100,0.0370552548911865,0.182857271785923,1
