"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","label","mre","mare","n_nonconverge"
"1","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","F",100,"data-rich",0.00209306353270631,0.0191634076620617,0
"2","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","F",100,"perfect",-0.149160958298729,0.1977331672347,0
"3","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","Fraction of unfished",100,"data-rich",-0.0355728181050107,0.0832061863728225,0
"4","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","Fraction of unfished",100,"perfect",0.106461187314069,0.180795178870958,0
"5","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","OFL",100,"data-rich",-0.00200688095731749,0.0201340861564506,0
"6","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","OFL",100,"perfect",0.183847018216825,0.234587185991369,0
"7","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","Recruit",100,"data-rich",0.239563340678382,0.394764573142291,0
"8","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","Recruit",100,"perfect",0.395515813948597,0.447633869958749,0
"9","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","SPR",100,"data-rich",-0.00154216786342895,0.0105248982019576,0
"10","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","SPR",100,"perfect",0.0860041486092432,0.110528264972308,0
"11","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","SSB",100,"data-rich",-0.00411649385145894,0.019132975443768,0
"12","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","SSB",100,"perfect",0.176053791341048,0.224047425685428,0
"13","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","SSB0",100,"data-rich",0.0430836205780247,0.084129294025516,0
"14","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F1","SSB0",100,"perfect",0.0834263410062094,0.0973774919376222,0
"15","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","F",100,"data-rich",0.000518387227061274,0.0198425749553953,0
"16","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","F",100,"perfect",-0.186657754577911,0.198872837509178,0
"17","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","Fraction of unfished",100,"data-rich",-0.0323007761441114,0.0740663380790214,0
"18","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","Fraction of unfished",100,"perfect",0.111131173384464,0.161133159722864,0
"19","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","OFL",100,"data-rich",-0.000389093066901788,0.0197574817445596,0
"20","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","OFL",100,"perfect",0.234525056808864,0.244449066840873,0
"21","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","Recruit",100,"data-rich",0.264889615941004,0.431233853577261,0
"22","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","Recruit",100,"perfect",0.495564771516771,0.526486428085426,0
"23","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","SPR",100,"data-rich",-0.000443603948145396,0.00622029751694262,0
"24","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","SPR",100,"perfect",0.060980427996963,0.064860380754197,0
"25","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","SSB",100,"data-rich",-0.00214536209580941,0.0202758241321038,0
"26","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","SSB",100,"perfect",0.229262109975155,0.238967023258261,0
"27","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","SSB0",100,"data-rich",0.0409346808654955,0.0782960172161827,0
"28","long_fast","R_biasadjusted","HighSigmaR","L100","perfect","F2","SSB0",100,"perfect",0.0966930376819816,0.106435719879388,0
"29","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","F",100,"L1_N200",-0.0743307764383095,0.431618697693407,1
"30","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Fraction of unfished",100,"L1_N200",0.0734467576648947,0.362552724893224,1
"31","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","OFL",100,"L1_N200",0.0697977394213364,0.420956801600226,1
"32","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Recruit",100,"L1_N200",0.251376037251507,0.555015346351273,1
"33","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SPR",100,"L1_N200",0.0457469273544479,0.253353209747922,1
"34","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB",100,"L1_N200",0.0561264559147296,0.488578767198214,1
"35","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB0",100,"L1_N200",0.0382431107520981,0.150684762568368,1
"36","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","F",100,"L1_N50",0.166563920754825,0.616860022853037,5
"37","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","Fraction of unfished",100,"L1_N50",-0.109444425215615,0.519751299179745,5
"38","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","OFL",100,"L1_N50",-0.154948299133868,0.598476873406336,5
"39","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","Recruit",100,"L1_N50",0.222805437099948,0.625543736331237,5
"40","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","SPR",100,"L1_N50",-0.0864221892611249,0.321380675112272,5
"41","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","SSB",100,"L1_N50",-0.143746885880453,0.696157308483897,5
"42","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","SSB0",100,"L1_N50",0.00461544153465743,0.18067434159817,5
"43","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","F",100,"L10_N200",-0.0171679509783088,0.276943043240383,0
"44","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Fraction of unfished",100,"L10_N200",0.013568625215585,0.22540848719701,0
"45","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","OFL",100,"L10_N200",0.0133353495905189,0.291505949008342,0
"46","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Recruit",100,"L10_N200",0.272580210192289,0.542757090955797,0
"47","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SPR",100,"L10_N200",0.00955975736808335,0.150556358800457,0
"48","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB",100,"L10_N200",-0.00543976725617965,0.285272952872389,0
"49","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB0",100,"L10_N200",0.0166242222811442,0.108603158355583,0
"50","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","F",100,"L10_N50",-0.0176591904927633,0.361975212624307,0
"51","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Fraction of unfished",100,"L10_N50",-0.057198513216527,0.35053270897888,0
"52","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","OFL",100,"L10_N50",0.0409263307922065,0.412434047147231,0
"53","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Recruit",100,"L10_N50",0.532592045031618,0.629844251482848,0
"54","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SPR",100,"L10_N50",-0.00032826010919568,0.212497451541887,0
"55","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB",100,"L10_N50",-0.010852127795122,0.435844912712213,0
"56","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB0",100,"L10_N50",0.0132574472939392,0.101034080888927,0
"57","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","F",100,"L2_N200",-0.0543127076652381,0.295052576071159,0
"58","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","Fraction of unfished",100,"L2_N200",0.0295800426216779,0.257393560237846,0
"59","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","OFL",100,"L2_N200",0.0973138809069065,0.30247668255492,0
"60","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","Recruit",100,"L2_N200",0.263557481561368,0.472436795630809,0
"61","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","SPR",100,"L2_N200",0.0330046367909441,0.1565454691688,0
"62","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","SSB",100,"L2_N200",0.0643869063355928,0.361085774342617,0
"63","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","SSB0",100,"L2_N200",0.0291201371375013,0.116437384768118,0
"64","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","F",100,"L2_N50",0.232551076753175,0.719020785891892,7
"65","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","Fraction of unfished",100,"L2_N50",-0.199272164913122,0.60901845096805,7
"66","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","OFL",100,"L2_N50",-0.195447982828377,0.704453992262379,7
"67","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","Recruit",100,"L2_N50",0.0980139865634699,0.556994161211233,7
"68","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","SPR",100,"L2_N50",-0.129876907135122,0.414051029015949,7
"69","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","SSB",100,"L2_N50",-0.242323781120552,0.701785570424358,7
"70","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","SSB0",100,"L2_N50",0.0254419662952526,0.15638854803204,7
"71","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","F",100,"L20_N200",-0.0915537550502672,0.237197553667596,0
"72","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Fraction of unfished",100,"L20_N200",0.0628306878765575,0.210637713972337,0
"73","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","OFL",100,"L20_N200",0.101019002375821,0.294992535760974,0
"74","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Recruit",100,"L20_N200",0.336799588480208,0.56380512425965,0
"75","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SPR",100,"L20_N200",0.0485591158112887,0.14003894231039,0
"76","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB",100,"L20_N200",0.0953124911446219,0.28260667542173,0
"77","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB0",100,"L20_N200",0.0243782873844598,0.0897405856708577,0
"78","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","F",100,"L20_N200",-0.114965357990406,0.287355557778738,0
"79","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","Fraction of unfished",100,"L20_N200",0.0945138561259006,0.169184133936975,0
"80","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","OFL",100,"L20_N200",0.128721223290579,0.310761943226884,0
"81","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","Recruit",100,"L20_N200",0.549037536660322,0.622106077096948,0
"82","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","SPR",100,"L20_N200",0.0370138635021512,0.0891784539242428,0
"83","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","SSB",100,"L20_N200",0.135518345232313,0.304281005034262,0
"84","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","SSB0",100,"L20_N200",0.0357981908209135,0.146948012307844,0
"85","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","F",100,"L20_N50",-0.0838910054066537,0.30170206969116,0
"86","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Fraction of unfished",100,"L20_N50",0.00474708881824105,0.245196946429884,0
"87","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","OFL",100,"L20_N50",0.1011430571874,0.367590556099361,0
"88","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Recruit",100,"L20_N50",0.414453940702309,0.634435594034859,0
"89","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SPR",100,"L20_N50",0.0451998271724553,0.171141353853175,0
