"","lifehistory","Rest","SigmaR","Lyears","Nsamp","variable","year","mre","mare","pconverge"
"1","long_fast","R_biasadjusted","Deterministic","L100","perfect","Depletion",100,6.28883658942508e-05,6.28883658942508e-05,1
"2","long_fast","R_biasadjusted","Deterministic","L100","perfect","F",100,0,0,1
"3","long_fast","R_biasadjusted","Deterministic","L100","perfect","Fmsy",100,4.04738134438664e-06,4.04738134438664e-06,1
"4","long_fast","R_biasadjusted","Deterministic","L100","perfect","MSY",100,-5.98715327969104e-05,5.98715327969104e-05,1
"5","long_fast","R_biasadjusted","Deterministic","L100","perfect","Recruit",100,-5.23039907937365e-06,5.23039907937365e-06,1
"6","long_fast","R_biasadjusted","Deterministic","L100","perfect","Selex_peak",100,0,0,1
"7","long_fast","R_biasadjusted","Deterministic","L100","perfect","Selex_shape",100,0,0,1
"8","long_fast","R_biasadjusted","Deterministic","L100","perfect","SPR",100,1.87042797247054e-06,1.87042797247054e-06,1
"9","long_fast","R_biasadjusted","Deterministic","L100","perfect","SSB",100,2.9829642911081e-06,2.9829642911081e-06,1
"10","long_fast","R_biasadjusted","Deterministic","L100","perfect","SSB0",100,-6.16625455532055e-05,6.16625455532055e-05,1
"11","long_fast","R_biasadjusted","Deterministic","L100","perfect","SSBmsy",100,-5.99272607042787e-05,5.99272607042787e-05,1
"12","long_fast","R_unadjusted","Deterministic","L100","perfect","Depletion",100,7.25634991094223e-06,7.25634991094223e-06,1
"13","long_fast","R_unadjusted","Deterministic","L100","perfect","F",100,0,0,1
"14","long_fast","R_unadjusted","Deterministic","L100","perfect","Fmsy",100,0,0,1
"15","long_fast","R_unadjusted","Deterministic","L100","perfect","MSY",100,-6.41480708550827e-06,6.41480708550827e-06,1
"16","long_fast","R_unadjusted","Deterministic","L100","perfect","Recruit",100,4.7073591715124e-05,4.7073591715124e-05,1
"17","long_fast","R_unadjusted","Deterministic","L100","perfect","Selex_peak",100,0,0,1
"18","long_fast","R_unadjusted","Deterministic","L100","perfect","Selex_shape",100,0,0,1
"19","long_fast","R_unadjusted","Deterministic","L100","perfect","SPR",100,0,0,1
"20","long_fast","R_unadjusted","Deterministic","L100","perfect","SSB",100,1.49148214555405e-06,1.49148214555405e-06,1
"21","long_fast","R_unadjusted","Deterministic","L100","perfect","SSB0",100,-6.16625455532055e-06,6.16625455532055e-06,1
"22","long_fast","R_unadjusted","Deterministic","L100","perfect","SSBmsy",100,-6.19937179705138e-06,6.19937179705138e-06,1
"23","long_slow","R_biasadjusted","Deterministic","L100","perfect","Depletion",100,8.26658069423571e-05,8.26658069423571e-05,1
"24","long_slow","R_biasadjusted","Deterministic","L100","perfect","F",100,-2.06739714699759e-05,2.06739714699759e-05,1
"25","long_slow","R_biasadjusted","Deterministic","L100","perfect","Fmsy",100,0,0,1
"26","long_slow","R_biasadjusted","Deterministic","L100","perfect","MSY",100,-5.60517918556237e-05,5.60517918556237e-05,1
"27","long_slow","R_biasadjusted","Deterministic","L100","perfect","Recruit",100,1.61826263323303e-05,1.61826263323303e-05,1
"28","long_slow","R_biasadjusted","Deterministic","L100","perfect","Selex_peak",100,4.76190476189366e-06,4.76190476189366e-06,1
"29","long_slow","R_biasadjusted","Deterministic","L100","perfect","Selex_shape",100,1.96078431382541e-06,1.96078431382541e-06,1
"30","long_slow","R_biasadjusted","Deterministic","L100","perfect","SPR",100,1.37569964154972e-05,1.37569964154972e-05,1
"31","long_slow","R_biasadjusted","Deterministic","L100","perfect","SSB",100,2.52479825283731e-05,2.52479825283731e-05,1
"32","long_slow","R_biasadjusted","Deterministic","L100","perfect","SSB0",100,-5.72667496652759e-05,5.72667496652759e-05,1
"33","long_slow","R_biasadjusted","Deterministic","L100","perfect","SSBmsy",100,-5.94318316890527e-05,5.94318316890527e-05,1
"34","long_slow","R_unadjusted","Deterministic","L100","perfect","Depletion",100,8.2665806943122e-06,8.2665806943122e-06,1
"35","long_slow","R_unadjusted","Deterministic","L100","perfect","F",100,0,0,1
"36","long_slow","R_unadjusted","Deterministic","L100","perfect","Fmsy",100,0,0,1
"37","long_slow","R_unadjusted","Deterministic","L100","perfect","MSY",100,-4.00369941834987e-06,4.00369941834987e-06,1
"38","long_slow","R_unadjusted","Deterministic","L100","perfect","Recruit",100,4.8547878996991e-05,4.8547878996991e-05,1
"39","long_slow","R_unadjusted","Deterministic","L100","perfect","Selex_peak",100,0,0,1
"40","long_slow","R_unadjusted","Deterministic","L100","perfect","Selex_shape",100,0,0,1
"41","long_slow","R_unadjusted","Deterministic","L100","perfect","SPR",100,0,0,1
"42","long_slow","R_unadjusted","Deterministic","L100","perfect","SSB",100,3.15599781600359e-06,3.15599781600359e-06,1
"43","long_slow","R_unadjusted","Deterministic","L100","perfect","SSB0",100,-5.72667496652759e-06,5.72667496652759e-06,1
"44","long_slow","R_unadjusted","Deterministic","L100","perfect","SSBmsy",100,-7.92424422523585e-06,7.92424422523585e-06,1
"45","short_fast","R_biasadjusted","Deterministic","L100","perfect","Depletion",100,6.44311286778538e-05,6.44311286778538e-05,1
