"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","mre","mare","pconverge"
"1","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","Depletion",100,-0.0163651649932663,0.554691231470955,1
"2","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","F",100,0.0810169529608699,0.709559782997799,1
"3","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","OFL",100,-0.0899906209616693,0.653774987159908,1
"4","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","Recruit",100,0.293960414943041,0.679692201373602,1
"5","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","SPR",100,-0.0419892375574456,0.341195989054256,1
"6","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","SSB",100,-0.115262195027779,0.72850722004399,1
"7","long_fast","R_biasadjusted","HighSigmaR","L1","N50","F1","SSB0",100,0.0327304791796415,0.201044563521671,1
"8","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Depletion",100,-0.057198513216527,0.35053270897888,1
"9","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","F",100,-0.0176591904927633,0.361975212624307,1
"10","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","OFL",100,0.0409263307922065,0.412434047147231,1
"11","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","Recruit",100,0.532592045031618,0.629844251482848,1
"12","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SPR",100,-0.00032826010919568,0.212497451541887,1
"13","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB",100,-0.010852127795122,0.435844912712213,1
"14","long_fast","R_biasadjusted","HighSigmaR","L10","N50","F1","SSB0",100,0.0132574472939392,0.101034080888927,1
"15","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","Depletion",100,-0.175841882229616,0.633689010847058,1
"16","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","F",100,0.150464670736218,0.745085396662716,1
"17","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","OFL",100,-0.14958757675183,0.746035304267614,1
"18","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","Recruit",100,0.180561226889778,0.641539525305634,1
"19","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","SPR",100,-0.0871058306851191,0.438835134867209,1
"20","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","SSB",100,-0.178466272592457,0.763320378967709,1
"21","long_fast","R_biasadjusted","HighSigmaR","L2","N50","F1","SSB0",100,0.0326873153977543,0.164173444408132,1
"22","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Depletion",100,0.00474708881824105,0.245196946429884,1
"23","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","F",100,-0.0838910054066537,0.30170206969116,1
"24","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","OFL",100,0.1011430571874,0.367590556099361,1
"25","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Recruit",100,0.414453940702309,0.634435594034859,1
"26","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SPR",100,0.0451998271724553,0.171141353853175,1
"27","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SSB",100,0.0857510982132911,0.337141354961089,1
"28","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SSB0",100,0.0314201500866359,0.104385440239744,1
"29","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","Depletion",100,0.0213402384115143,0.175037771826641,1
"30","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","F",100,0.0485723797994771,0.301440480028529,1
"31","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","OFL",100,-0.0528530613050229,0.300628293936218,1
"32","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","Recruit",100,0.43352596097383,0.589281119883309,1
"33","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","SPR",100,-0.0108440426309721,0.0969306262478558,1
"34","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","SSB",100,-0.0230540097490057,0.313969986418408,1
