ParName   Value   Gradient
SR_parm[1]      10.0822 -0.000166989
recdev_early(-8)  0.000914466   1.0097e-06
recdev_early(-7)  0.000986513   9.5345e-07
recdev_early(-6)   0.00106216  8.86163e-07
recdev_early(-5)   0.00114137  8.08452e-07
recdev_early(-4)   0.00122438  7.19051e-07
recdev_early(-3)   0.00131197  6.17548e-07
recdev_early(-2)   0.00140514  5.02319e-07
recdev_early(-1)   0.00150473  3.72243e-07
recdev_early(0)   0.00161123  2.29822e-07
recdev_early(1)   0.00172511   4.6113e-08
recdev_early(2)   0.00184658 -1.25252e-07
recdev_early(3)   0.00197629 -3.01939e-07
recdev_early(4)   0.00211474 -4.79555e-07
recdev_early(5)   0.00226242 -6.53828e-07
recdev_early(6)   0.00241986 -8.20513e-07
recdev_early(7)   0.00258756 -9.75904e-07
recdev_early(8)   0.00276601 -1.11665e-06
recdev_early(9)   0.00295563 -1.24096e-06
recdev_early(10)   0.00315678  -1.3477e-06
recdev_early(11)   0.00336972 -1.43731e-06
recdev_early(12)   0.00359457  -1.5109e-06
recdev_early(13)    0.0038313 -1.57003e-06
recdev_early(14)   0.00407967 -1.61563e-06
recdev_early(15)   0.00433918 -1.64797e-06
recdev_early(16)   0.00460897 -1.66689e-06
recdev_early(17)   0.00488774 -1.67339e-06
recdev_early(18)   0.00517364 -1.67113e-06
recdev_early(19)   0.00546424 -1.66558e-06
recdev_early(20)   0.00575668 -1.66313e-06
recdev1(21)    0.0187871  8.08191e-08
recdev1(22)    0.0190795 -1.57927e-07
recdev1(23)    0.0193545 -3.87004e-07
recdev1(24)    0.0196263 -6.03072e-07
recdev1(25)    0.0198997 -7.94172e-07
recdev1(26)    0.0201766 -9.44742e-07
recdev1(27)     0.020458 -1.03881e-06
recdev1(28)    0.0207392 -1.07613e-06
recdev1(29)    0.0210194 -1.05599e-06
recdev1(30)    0.0212974 -9.84294e-07
recdev1(31)    0.0215714  -8.7408e-07
recdev1(32)    0.0218391 -7.44735e-07
recdev1(33)    0.0220972 -6.20091e-07
recdev1(34)    0.0223415 -5.24911e-07
recdev1(35)    0.0225667 -4.79408e-07
recdev1(36)    0.0227673 -4.92999e-07
recdev1(37)    0.0229389 -5.61849e-07
recdev1(38)    0.0230783 -6.72277e-07
recdev1(39)    0.0231865 -8.08823e-07
recdev1(40)    0.0232669 -9.60212e-07
recdev1(41)     0.023325 -1.12037e-06
recdev1(42)    0.0233653 -1.28519e-06
recdev1(43)    0.0233897 -1.44937e-06
recdev1(44)    0.0233964 -1.60522e-06
recdev1(45)    0.0233812 -1.74317e-06
recdev1(46)    0.0233426 -1.85216e-06
recdev1(47)     0.023283 -1.91958e-06
recdev1(48)    0.0232071 -1.93251e-06
recdev1(49)    0.0231206 -1.88122e-06
recdev1(50)    0.0230295 -1.76444e-06
recdev1(51)    0.0229408 -1.59376e-06
recdev1(52)    0.0228646 -1.39531e-06
recdev1(53)    0.0228168 -1.20948e-06
recdev1(54)     0.022821 -1.08739e-06
recdev1(55)     0.022913 -1.08339e-06
recdev1(56)    0.0231471 -1.24799e-06
recdev1(57)    0.0236143 -1.60585e-06
recdev1(58)    0.0244342  -1.9888e-06
recdev1(59)    0.0257853 -1.66766e-06
recdev1(60)    0.0279362  1.67764e-07
recdev1(61)    0.0312926 -2.20104e-07
recdev1(62)    0.0364701 -4.69281e-07
recdev1(63)    0.0444239 -6.56215e-07
recdev1(64)    0.0565442  5.26932e-07
recdev1(65)    0.0747897 -1.29077e-06
recdev1(66)     0.101726 -1.12939e-06
recdev1(67)     0.140261 -1.26776e-06
recdev1(68)     0.192192 -1.67457e-06
recdev1(69)     0.252117 -2.02752e-06
recdev1(70)     0.288291 -1.52104e-06
recdev1(71)     0.226098 -1.49074e-06
recdev1(72)    0.0347707  1.00532e-06
recdev1(73)    -0.191775  4.77887e-07
recdev1(74)    -0.315948  3.62572e-07
recdev1(75)    -0.203695  1.11038e-06
recdev1(76)    -0.070781  1.44065e-06
recdev1(77)    -0.495833  1.44769e-06
recdev1(78)    -0.715795  1.85586e-06
recdev1(79)     -0.73806  1.88764e-06
recdev1(80)     0.791914  2.24354e-06
recdev1(81)    0.0113196  2.04166e-06
recdev1(82)     0.137309  2.33229e-06
recdev1(83)    -0.801078  1.97912e-06
recdev1(84)    -0.553419  1.65699e-06
recdev1(85)      1.06891  3.40027e-06
recdev1(86)     0.130669  3.36477e-06
recdev1(87)    -0.123648   1.8596e-06
recdev1(88)    -0.106319  2.93992e-06
recdev1(89)    -0.354601   2.5569e-06
recdev1(90)    -0.726123  1.76411e-06
recdev1(91)    0.0863044   2.6969e-06
recdev1(92)    -0.706241  1.70499e-06
recdev1(93)    -0.102914  2.10406e-06
recdev1(94)   -0.0368662  1.88896e-06
recdev1(95)      1.73169  3.89398e-06
recdev1(96)    -0.092207  2.06346e-06
Fcast_recruitments(97)     0.210336  8.94611e-07
Fcast_recruitments(98)     0.646034 -7.53275e-07
Fcast_recruitments(99)   -0.0368885  4.09388e-07
Fcast_recruitments(100)   -0.0524069   3.2743e-09
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]       41.176 -2.49544e-05
selparm[3]      5.00832  4.57512e-05
