ParName   Value   Gradient
SR_parm[1]      19.9999 -1.14576e-05
recdev_early(-8)   0.00934406  2.21962e-05
recdev_early(-7)    0.0101069 -1.08912e-06
recdev_early(-6)    0.0109179 -1.13445e-05
recdev_early(-5)    0.0117798 -1.17623e-05
recdev_early(-4)    0.0126975 -6.05933e-06
recdev_early(-3)    0.0136786  1.96314e-06
recdev_early(-2)    0.0147307  8.77326e-06
recdev_early(-1)    0.0158604  1.17114e-05
recdev_early(0)    0.0123381 -7.48217e-06
recdev_early(1)    0.0132773   2.0297e-06
recdev_early(2)    0.0142833  1.10164e-05
recdev_early(3)    0.0153611  1.56945e-05
recdev_early(4)    0.0165145  1.43426e-05
recdev_early(5)    0.0177469   7.6202e-06
recdev_early(6)    0.0190618 -1.57609e-06
recdev_early(7)    0.0204634 -9.12128e-06
recdev_early(8)    0.0219568 -1.13532e-05
recdev_early(9)    0.0235481 -6.84546e-06
recdev_early(10)    0.0252437  2.39911e-06
recdev_early(11)    0.0270506  1.11746e-05
recdev_early(12)    0.0289762   1.3203e-05
recdev_early(13)     0.031029  4.81005e-06
recdev_early(14)    0.0332184 -1.15902e-05
recdev_early(15)    0.0355556 -2.69758e-05
recdev_early(16)    0.0380529 -3.03254e-05
recdev_early(17)    0.0407233 -1.68898e-05
recdev_early(18)    0.0435798  6.34757e-06
recdev_early(19)     0.046636  2.40268e-05
recdev_early(20)    0.0499065  2.37714e-05
recdev1(21)    0.0779056 -1.71184e-05
recdev1(22)    0.0817617  -7.1662e-06
recdev1(23)    0.0858955  2.48582e-05
recdev1(24)    0.0903269  2.37037e-05
recdev1(25)    0.0950798 -1.43693e-05
recdev1(26)      0.10019 -3.48342e-05
recdev1(27)     0.105695 -1.42942e-06
recdev1(28)     0.111609  3.61993e-05
recdev1(29)     0.117975  9.31387e-06
recdev1(30)     0.124823 -3.95516e-05
recdev1(31)     0.132211 -1.73746e-05
recdev1(32)      0.14018  1.84314e-05
recdev1(33)     0.148769 -1.96734e-05
recdev1(34)     0.158062 -4.85883e-07
recdev1(35)     0.168113  5.04755e-05
recdev1(36)     0.178985 -5.06563e-05
recdev1(37)     0.190789   2.7247e-05
recdev1(38)     0.203578 -2.93438e-06
recdev1(39)     0.217502  4.09127e-06
recdev1(40)     0.232666  6.65484e-07
recdev1(41)      0.24922  3.10429e-06
recdev1(42)     0.267343  3.44891e-06
recdev1(43)     0.287232 -7.97098e-07
recdev1(44)     0.309122   6.5269e-06
recdev1(45)     0.333285  6.21114e-07
recdev1(46)      0.36003 -4.83478e-06
recdev1(47)       0.3897  1.05891e-05
recdev1(48)     0.422621 -3.38901e-06
recdev1(49)     0.459053  9.46533e-08
recdev1(50)     0.499004  7.06884e-06
recdev1(51)     0.541896 -1.27891e-06
recdev1(52)     0.585901  1.68028e-06
recdev1(53)     0.626694  1.55004e-06
recdev1(54)     0.655764 -3.43513e-06
recdev1(55)     0.660425  3.78506e-06
recdev1(56)     0.630129  1.01719e-06
recdev1(57)     0.565108  4.13368e-06
recdev1(58)     0.474207 -2.81314e-07
recdev1(59)     0.366898  2.08262e-06
recdev1(60)     0.250009  2.48616e-06
recdev1(61)      0.12808 -2.24534e-05
recdev1(62)   0.00430853 -3.89907e-06
recdev1(63)    -0.118794 -2.09361e-06
recdev1(64)    -0.238971  2.36436e-06
recdev1(65)    -0.353966 -1.70529e-07
recdev1(66)    -0.461303 -1.20404e-06
recdev1(67)    -0.558062 -9.97883e-07
recdev1(68)    -0.640568  2.85427e-06
recdev1(69)    -0.703891  1.94527e-07
recdev1(70)    -0.740949 -1.12013e-06
recdev1(71)    -0.740774  8.24795e-08
recdev1(72)    -0.684867  -3.1795e-06
recdev1(73)    -0.538996 -1.14715e-06
recdev1(74)    -0.238486  2.88223e-06
recdev1(75)     0.184826  7.04383e-07
recdev1(76)    -0.272155 -2.90926e-06
recdev1(77)    -0.850967  1.06858e-06
recdev1(78)    -0.730967  9.55497e-07
recdev1(79)     -0.13165  3.36623e-08
recdev1(80)    -0.309218  3.21612e-07
recdev1(81)    -0.519044  2.15751e-07
recdev1(82)    -0.393262 -1.14396e-07
recdev1(83)    -0.346035  7.50604e-07
recdev1(84)    -0.184492 -2.28985e-07
recdev1(85)     0.208939  1.10603e-06
recdev1(86)    -0.322948 -7.91194e-07
recdev1(87)     0.231951  1.69631e-06
recdev1(88)    -0.353451 -7.09267e-07
recdev1(89)     -0.30505  1.21399e-06
recdev1(90)    -0.012147 -1.08041e-07
recdev1(91)    0.0107926  6.04927e-07
recdev1(92)    -0.801236  1.63236e-08
recdev1(93)     -0.60163  1.48161e-08
recdev1(94)    -0.402516 -8.44778e-08
recdev1(95)     0.416182 -2.41298e-07
recdev1(96)    -0.324441   3.1166e-08
Fcast_recruitments(97)      1.03831  1.19539e-07
Fcast_recruitments(98)     0.385971  1.23885e-07
Fcast_recruitments(99)    -0.328731  1.99028e-08
Fcast_recruitments(100)   -0.0967788 -6.43871e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      37.1747 -5.81025e-06
selparm[3]      4.82804  7.01754e-06
