ParName   Value   Gradient
SR_parm[1]      10.0697   0.00127045
recdev_early(-28)  -0.00368309  1.90876e-06
recdev_early(-27)  -0.00402296  2.03913e-06
recdev_early(-26)  -0.00439253  2.17015e-06
recdev_early(-25)  -0.00479514  2.29988e-06
recdev_early(-24)  -0.00523258  2.42515e-06
recdev_early(-23)  -0.00570897  2.54289e-06
recdev_early(-22)  -0.00622363  2.64787e-06
recdev_early(-21)  -0.00678104  2.73595e-06
recdev_early(-20)  -0.00738009  2.80128e-06
recdev_early(-19)  -0.00802627   2.8394e-06
recdev_early(-18)  -0.00872325  2.84545e-06
recdev_early(-17)  -0.00947143   2.8152e-06
recdev_early(-16)   -0.0102693  2.74668e-06
recdev_early(-15)   -0.0111197  2.64118e-06
recdev_early(-14)   -0.0120211  2.50452e-06
recdev_early(-13)   -0.0129673  2.34913e-06
recdev_early(-12)   -0.0139568  2.19398e-06
recdev_early(-11)   -0.0149822  2.06616e-06
recdev_early(-10)   -0.0160279   2.0007e-06
recdev_early(-9)   -0.0170774  2.03605e-06
recdev_early(-8)   -0.0181106  2.20888e-06
recdev_early(-7)   -0.0190962  2.54672e-06
recdev_early(-6)   -0.0199932  3.05682e-06
recdev_early(-5)   -0.0207532  3.71659e-06
recdev_early(-4)   -0.0213154  4.46756e-06
recdev_early(-3)   -0.0216019  5.20879e-06
recdev_early(-2)    -0.021512  5.78138e-06
recdev_early(-1)   -0.0209063  5.94108e-06
recdev_early(0)   -0.0196023  5.34454e-06
recdev1(1)   -0.0234658 -7.89128e-06
recdev1(2)   -0.0200008 -8.44717e-06
recdev1(3)   -0.0149224 -8.28205e-06
recdev1(4)    -0.007764 -6.42556e-06
recdev1(5)   0.00203186 -4.67933e-06
recdev1(6)    0.0150945  -1.1116e-05
recdev1(7)    0.0320604 -1.95201e-05
recdev1(8)     0.053404  1.72338e-05
recdev1(9)    0.0790328 -2.91635e-05
recdev1(10)     0.107541  8.66694e-06
recdev1(11)      0.13476  1.96884e-05
recdev1(12)     0.151981  5.46734e-06
recdev1(13)     0.145831  1.57606e-05
recdev1(14)     0.104441 -9.26676e-06
recdev1(15)    0.0300628   4.6524e-06
