ParName   Value   Gradient
SR_parm[1]      9.90865  -0.00106297
recdev_early(-28)   -0.0344838 -1.73953e-07
recdev_early(-27)   -0.0375826 -4.35699e-07
recdev_early(-26)   -0.0409408 -8.13884e-07
recdev_early(-25)   -0.0445783  4.74172e-07
recdev_early(-24)   -0.0485135 -3.05733e-06
recdev_early(-23)   -0.0527653  2.48228e-06
recdev_early(-22)   -0.0573535 -4.32079e-06
recdev_early(-21)   -0.0622959  1.32613e-06
recdev_early(-20)   -0.0676115 -2.45284e-06
recdev_early(-19)   -0.0733177 -7.00395e-07
recdev_early(-18)   -0.0794318  -1.6248e-06
recdev_early(-17)   -0.0859662 -4.88171e-07
recdev_early(-16)   -0.0929305 -4.11434e-06
recdev_early(-15)    -0.100331  5.78463e-07
recdev_early(-14)    -0.108168  1.01685e-06
recdev_early(-13)    -0.116435 -1.92967e-07
recdev_early(-12)    -0.125116 -7.51324e-07
recdev_early(-11)    -0.134186 -2.93113e-06
recdev_early(-10)    -0.143605  7.45719e-07
recdev_early(-9)    -0.153318 -2.45084e-06
recdev_early(-8)    -0.163256 -1.03819e-05
recdev_early(-7)    -0.173322  1.59259e-07
recdev_early(-6)    -0.183404   9.9739e-07
recdev_early(-5)    -0.193372 -2.87941e-06
recdev_early(-4)    -0.203087 -2.25032e-06
recdev_early(-3)    -0.212407 -3.23298e-06
recdev_early(-2)    -0.221164 -2.00492e-06
recdev_early(-1)    -0.229113 -3.05791e-06
recdev_early(0)    -0.180968 -2.41241e-06
recdev1(1)    -0.219121  6.11052e-06
recdev1(2)    -0.221277   4.1111e-06
recdev1(3)    -0.221149  8.47055e-06
recdev1(4)    -0.218025  3.82941e-06
recdev1(5)    -0.211013  1.21462e-05
recdev1(6)    -0.199016  1.00188e-05
recdev1(7)    -0.180671  5.16887e-06
recdev1(8)    -0.154273  3.56204e-06
recdev1(9)    -0.117667  2.85865e-06
recdev1(10)   -0.0681149  5.04738e-06
recdev1(11)  -0.00234526  5.02084e-06
recdev1(12)    0.0825773  5.21748e-06
recdev1(13)     0.186182  3.66236e-06
recdev1(14)     0.295434  9.14266e-07
recdev1(15)      1.96965 -2.80254e-05
recdev1(16)     0.296699  3.39139e-07
recdev1(17)      0.10654  2.87501e-06
recdev1(18)     -0.12557  2.11715e-06
recdev1(19)     -0.33354  4.88074e-07
recdev1(20)    -0.473608  1.38733e-06
recdev1(21)    -0.536144  1.57076e-06
recdev1(22)     -0.55354  2.29959e-06
recdev1(23)    -0.596821  1.26301e-06
recdev1(24)    -0.618542  2.50139e-06
recdev1(25)    -0.233927  1.82864e-06
recdev1(26)    -0.637634  4.18234e-06
recdev1(27)     0.320649 -1.01005e-05
recdev1(28)     -0.21958  2.47761e-06
recdev1(29)    -0.466125  6.73012e-06
recdev1(30)      1.31139 -4.12903e-05
recdev1(31)    0.0109525 -7.98493e-07
recdev1(32)     0.196006  -2.6583e-06
recdev1(33)     0.606657 -9.30511e-06
recdev1(34)     0.695098 -1.47239e-05
recdev1(35)     0.258836   2.6997e-06
recdev1(36)      1.05649 -4.37775e-05
recdev1(37)     0.439942 -1.41484e-05
recdev1(38)    0.0139828 -7.14433e-06
recdev1(39)    -0.244222  -5.1477e-06
recdev1(40)    -0.583926  1.94412e-06
recdev1(41)    -0.550304  1.54568e-06
recdev1(42)     -0.43834 -2.44596e-07
recdev1(43)    -0.982431  5.50539e-06
recdev1(44)      1.70046 -5.20052e-05
recdev1(45)      1.28995 -3.75722e-05
recdev1(46)    -0.460175  2.24309e-06
recdev1(47)    -0.418225  1.72171e-06
recdev1(48)     -0.43548  2.76684e-06
recdev1(49)     0.764783 -1.54574e-05
recdev1(50)     0.253259 -3.16292e-06
recdev1(51)    0.0396506 -4.17916e-06
recdev1(52)    -0.149422  8.24418e-07
recdev1(53)     0.594157 -5.37724e-06
recdev1(54)     0.714949 -6.82376e-06
recdev1(55)     0.371782   1.9281e-07
recdev1(56)      1.35973 -2.05312e-05
recdev1(57)    -0.377071  2.83268e-06
recdev1(58)     0.268139  -2.1171e-06
recdev1(59)    -0.378312  3.05946e-06
recdev1(60)     0.107469  3.27015e-07
recdev1(61)     0.681127 -3.47082e-06
recdev1(62)    -0.665555  7.73788e-06
recdev1(63)      -0.7488  7.08385e-06
recdev1(64)    -0.803745  6.92099e-06
recdev1(65)    -0.305131  6.67905e-06
recdev1(66)    -0.257076  5.54606e-06
recdev1(67)     0.136986  5.73901e-06
recdev1(68)     -0.14156  6.46513e-06
recdev1(69)     0.619833  5.70867e-06
recdev1(70)      1.59713 -8.32488e-06
recdev1(71)    -0.330414  5.88224e-06
recdev1(72)    -0.459624  6.92782e-06
recdev1(73)     0.796151  -2.3961e-07
recdev1(74)    -0.566727  6.63632e-06
recdev1(75)    -0.621528  6.70644e-06
recdev1(76)     0.737962   3.9616e-07
recdev1(77)    -0.367593  7.45706e-06
recdev1(78)    -0.757927   8.3024e-06
recdev1(79)    -0.104181  6.32934e-06
recdev1(80)   -0.0136217  7.74251e-06
recdev1(81)    -0.256379  8.82815e-06
recdev1(82)    -0.594807  7.23734e-06
recdev1(83)   -0.0173508  4.36455e-06
recdev1(84)    -0.773085  6.57216e-06
recdev1(85)     0.490476  3.52094e-06
recdev1(86)    -0.126856  8.98021e-06
recdev1(87)     0.415873  7.34115e-06
recdev1(88)    -0.115531  8.40323e-06
recdev1(89)    -0.221231  6.54454e-06
recdev1(90)     0.352449   6.7877e-06
recdev1(91)     0.410964  9.55362e-06
recdev1(92)    -0.229699  1.12975e-05
recdev1(93)    -0.617811  1.10381e-05
recdev1(94)    -0.799582  9.44496e-06
recdev1(95)     0.450868  9.41376e-06
recdev1(96)    -0.479807  9.86613e-06
Fcast_recruitments(97)     0.792946  3.85882e-06
Fcast_recruitments(98)      0.90565  6.16069e-07
Fcast_recruitments(99)    -0.312618   1.7762e-06
Fcast_recruitments(100)    -0.150906  1.72068e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      43.6948 -8.09767e-05
selparm[3]      5.20644  0.000108308
