ParName   Value   Gradient
recdev_early(-28)    0.0259251 -1.41263e-05
recdev_early(-27)    0.0279961 -5.35542e-06
recdev_early(-26)    0.0302332 -2.73944e-06
recdev_early(-25)    0.0326491  2.14223e-07
recdev_early(-24)    0.0352588  5.94344e-06
recdev_early(-23)    0.0380757  1.28819e-05
recdev_early(-22)    0.0411181  1.71153e-05
recdev_early(-21)    0.0444009  1.52534e-05
recdev_early(-20)    0.0479447  7.34738e-06
recdev_early(-19)    0.0517656 -2.01692e-06
recdev_early(-18)    0.0558817 -5.96532e-06
recdev_early(-17)    0.0603138 -4.02115e-07
recdev_early(-16)    0.0650829  1.15135e-05
recdev_early(-15)    0.0702046  2.03985e-05
recdev_early(-14)    0.0768857  1.79232e-05
recdev_early(-13)    0.0841796  1.18543e-05
recdev_early(-12)    0.0921303  2.43404e-05
recdev_early(-11)      0.10078  3.68581e-05
recdev_early(-10)     0.110166 -1.08652e-05
recdev_early(-9)     0.120328 -9.78336e-05
recdev_early(-8)     0.131303  -8.3489e-05
recdev_early(-7)      0.14311  2.79287e-05
recdev_early(-6)      0.15574  2.62652e-05
recdev_early(-5)     0.169215 -3.83801e-05
recdev_early(-4)      0.18361  -7.4489e-06
recdev_early(-3)     0.199057 -3.11924e-06
recdev_early(-2)     0.215749  1.94483e-05
recdev_early(-1)      0.23383 -2.11338e-05
recdev_early(0)     0.253387  1.24094e-05
recdev1(1)   -0.0264733  1.82805e-05
recdev1(2)   -0.0118195 -6.06973e-06
recdev1(3)   0.00336948  3.37987e-05
recdev1(4)    0.0188284 -1.04043e-05
recdev1(5)     0.034225  1.63239e-05
recdev1(6)    0.0491668  6.28498e-06
recdev1(7)    0.0633818 -3.24874e-05
recdev1(8)     0.076569  2.04618e-05
recdev1(9)    0.0874341 -6.74193e-07
recdev1(10)    0.0930111 -1.87337e-05
recdev1(11)    0.0893282  2.31157e-05
recdev1(12)      2.14222 -1.13297e-05
recdev1(13)    0.0400803  1.43262e-05
recdev1(14)   -0.0059675 -8.44493e-06
recdev1(15)   -0.0563031  1.15111e-05
recdev1(16)   -0.0909092 -2.54215e-05
recdev1(17)   -0.0755907 -3.02857e-07
recdev1(18)    0.0418924  1.11692e-05
recdev1(19)     0.295378  8.30827e-06
recdev1(20)     0.161416  1.90452e-05
recdev1(21)    -0.346595 -7.58957e-06
recdev1(22)    -0.455307   1.1976e-05
recdev1(23)     0.839818 -9.34425e-06
recdev1(24)     0.373645  9.65799e-06
recdev1(25)     0.874001  -1.2176e-05
recdev1(26)      0.43867  1.14823e-06
recdev1(27)    -0.137922 -1.73061e-05
recdev1(28)     0.638954 -1.07325e-05
recdev1(29)     0.349878  1.06556e-05
recdev1(30)    -0.390329  1.95146e-05
recdev1(31)     0.301263 -1.28746e-05
recdev1(32)   -0.0885697  -9.7255e-06
recdev1(33)    -0.676052  4.28251e-05
recdev1(34)    -0.822384 -4.31241e-06
recdev1(35)    -0.993746 -7.19284e-05
recdev1(36)     0.218488  2.02984e-05
recdev1(37)     0.481006 -2.26878e-05
recdev1(38)    0.0319933  1.37778e-05
recdev1(39)     0.688523 -2.01043e-05
recdev1(40)      1.55635 -7.51995e-06
recdev1(41)    -0.712425 -7.62296e-07
recdev1(42)    -0.436616  7.16944e-07
recdev1(43)     0.461513 -7.02327e-06
recdev1(44)    -0.275497  1.23924e-05
recdev1(45)    -0.196375  -3.6462e-05
recdev1(46)     0.586678 -8.02783e-06
recdev1(47)  -0.00435519  2.18258e-07
recdev1(48)    -0.589785  8.65787e-07
recdev1(49)    0.0947597  1.48077e-05
recdev1(50)     0.072989  1.80616e-05
recdev1(51)    -0.311466 -1.75947e-06
recdev1(52)     0.275641  7.91131e-06
recdev1(53)     0.264086 -4.54225e-06
recdev1(54)    0.0820135 -1.18138e-05
recdev1(55)     0.135547 -2.87412e-05
recdev1(56)      0.27642 -1.42178e-05
recdev1(57)     0.836721  1.57754e-05
recdev1(58)     0.174633 -6.26825e-07
recdev1(59)    -0.883845 -1.35115e-05
recdev1(60)     0.748869  8.60285e-06
recdev1(61)      1.09236 -7.53321e-06
recdev1(62)   -0.0345036 -8.04927e-06
recdev1(63)    -0.193579  1.25442e-05
recdev1(64)     0.022653  -1.9506e-05
recdev1(65)      1.08094  7.05693e-06
recdev1(66)    -0.855053 -6.74791e-06
recdev1(67)      1.74634 -7.36878e-06
recdev1(68)     0.949402  3.16497e-06
recdev1(69)    -0.350369 -1.24302e-05
recdev1(70)    -0.163168  5.14984e-06
recdev1(71)    -0.605441 -1.94647e-06
recdev1(72)   -0.0206158 -1.53771e-06
recdev1(73)    -0.650733 -9.32866e-06
recdev1(74)    -0.541762  8.67686e-06
recdev1(75)    -0.407688  1.42625e-05
recdev1(76)     0.179942  -4.7056e-06
recdev1(77)     -1.09855  7.20339e-06
recdev1(78)    -0.948426 -3.20384e-06
recdev1(79)    -0.875178 -3.65903e-06
recdev1(80)     0.641263  6.64494e-06
recdev1(81)    -0.194159 -1.15842e-05
recdev1(82)   -0.0554465  6.40464e-06
recdev1(83)     -1.02088  1.44512e-05
recdev1(84)    -0.774101  1.84672e-05
recdev1(85)     0.817438  3.77846e-06
recdev1(86)     -0.17526  1.60677e-05
recdev1(87)     -0.43343 -1.84582e-05
recdev1(88)    -0.415544  2.94951e-06
recdev1(89)    -0.633314  1.61267e-05
recdev1(90)     -1.02069 -7.09492e-06
recdev1(91)    -0.164917  6.92344e-07
recdev1(92)     -1.07154  1.13394e-05
recdev1(93)    -0.772578  8.49961e-07
recdev1(94)    -0.484636  1.18355e-05
recdev1(95)      1.25238  9.04673e-07
recdev1(96)    -0.231595  8.60502e-06
Fcast_recruitments(97)    -0.165438 -1.50607e-07
Fcast_recruitments(98)    -0.082214  2.51859e-06
Fcast_recruitments(99)     0.182751  5.89887e-07
Fcast_recruitments(100)    -0.112217  5.87586e-06
Fcast_recruitments(101)            0            0
