ParName   Value   Gradient
SR_parm[1]      10.1075   9.8734e-05
recdev_early(-28)   0.00897062 -2.21266e-06
recdev_early(-27)   0.00981352 -1.97051e-06
recdev_early(-26)    0.0107355 -1.63194e-06
recdev_early(-25)    0.0117429 -1.18422e-06
recdev_early(-24)    0.0128448 -6.16811e-07
recdev_early(-23)    0.0140467  7.30918e-08
recdev_early(-22)    0.0153588  8.80432e-07
recdev_early(-21)    0.0167885   1.7839e-06
recdev_early(-20)    0.0183462  2.74415e-06
recdev_early(-19)    0.0200427   3.6972e-06
recdev_early(-18)    0.0218867  4.55046e-06
recdev_early(-17)    0.0238861  5.18708e-06
recdev_early(-16)    0.0260545  5.47909e-06
recdev_early(-15)    0.0284008  5.30795e-06
recdev_early(-14)    0.0309339  4.60757e-06
recdev_early(-13)    0.0336623  3.41777e-06
recdev_early(-12)    0.0365911  1.93923e-06
recdev_early(-11)    0.0397226  5.56594e-07
recdev_early(-10)    0.0430554 -2.14265e-07
recdev_early(-9)    0.0465816  1.06385e-07
recdev_early(-8)    0.0502854  1.68884e-06
recdev_early(-7)     0.054142  4.14457e-06
recdev_early(-6)    0.0581207  6.54646e-06
recdev_early(-5)    0.0621842  7.90879e-06
recdev_early(-4)    0.0663008   7.9456e-06
recdev_early(-3)    0.0704508  7.33106e-06
recdev_early(-2)    0.0746102  6.50455e-06
recdev_early(-1)    0.0787186  3.31768e-06
recdev_early(0)    0.0826677 -6.17853e-06
recdev1(1)     0.100056  1.10112e-05
recdev1(2)     0.103268  2.46224e-05
recdev1(3)     0.105723    1.119e-05
recdev1(4)      0.10713 -2.44951e-05
recdev1(5)     0.107157 -1.79543e-05
recdev1(6)     0.105434  2.38688e-05
recdev1(7)     0.101579  1.24436e-05
recdev1(8)    0.0952512 -7.56995e-06
recdev1(9)    0.0861953  9.01102e-07
recdev1(10)    0.0743026  6.50342e-06
recdev1(11)    0.0596836  1.98277e-06
recdev1(12)    0.0427208 -1.76637e-06
recdev1(13)    0.0239784  -4.1689e-07
