ParName   Value   Gradient
SR_parm[1]      9.88177  0.000420945
recdev_early(-8)   0.00336524   6.5378e-07
recdev_early(-7)   0.00363074  9.46393e-07
recdev_early(-6)   0.00390956  1.27576e-06
recdev_early(-5)    0.0042015  1.59885e-06
recdev_early(-4)   0.00450752  1.88087e-06
recdev_early(-3)   0.00483037  2.09897e-06
recdev_early(-2)   0.00517382  2.24436e-06
recdev_early(-1)   0.00554087  2.32603e-06
recdev_early(0)   0.00593345  2.37213e-06
recdev_early(1)   0.00635348  2.43012e-06
recdev_early(2)   0.00680138  2.51648e-06
recdev_early(3)    0.0072796  2.65248e-06
recdev_early(4)   0.00778997     2.81e-06
recdev_early(5)   0.00833437  2.92189e-06
recdev_early(6)    0.0089147  2.90746e-06
recdev_early(7)   0.00953285  2.71923e-06
recdev_early(8)    0.0101906  2.39001e-06
recdev_early(9)    0.0108896  2.04552e-06
recdev_early(10)    0.0116313  1.85459e-06
recdev_early(11)    0.0124165  1.92794e-06
recdev_early(12)    0.0132459  2.23275e-06
recdev_early(13)    0.0141193  2.61277e-06
recdev_early(14)    0.0150357  2.93251e-06
recdev_early(15)    0.0159933  3.21571e-06
recdev_early(16)    0.0169887  3.57766e-06
recdev_early(17)    0.0180173  3.94769e-06
recdev_early(18)    0.0190727  3.93319e-06
recdev_early(19)    0.0201466  3.17339e-06
recdev_early(20)    0.0212295   1.9035e-06
recdev1(21)    0.0490059  1.15234e-06
recdev1(22)    0.0501128  1.39477e-06
recdev1(23)    0.0512145  1.47874e-06
recdev1(24)    0.0523184  1.51072e-06
recdev1(25)    0.0534336  1.63815e-06
recdev1(26)    0.0545635  2.04026e-06
recdev1(27)     0.055704  2.66318e-06
recdev1(28)    0.0568254  3.09426e-06
recdev1(29)     0.057916  3.15802e-06
recdev1(30)    0.0589648  3.13762e-06
recdev1(31)    0.0599614  3.34276e-06
recdev1(32)     0.060896  3.65992e-06
recdev1(33)    0.0617603  3.80249e-06
recdev1(34)    0.0625476  3.77026e-06
recdev1(35)    0.0632527  3.77532e-06
recdev1(36)    0.0638719   3.8944e-06
recdev1(37)    0.0644007  4.03134e-06
recdev1(38)    0.0648307  4.09918e-06
recdev1(39)    0.0651453  4.09503e-06
recdev1(40)    0.0653201  4.01268e-06
recdev1(41)    0.0653254  3.77343e-06
recdev1(42)    0.0651345  3.48768e-06
recdev1(43)    0.0647337  3.41872e-06
recdev1(44)    0.0641317   3.4126e-06
recdev1(45)    0.0633608  3.23346e-06
recdev1(46)    0.0624668  2.88832e-06
recdev1(47)    0.0614869  2.56389e-06
recdev1(48)    0.0604284  2.49615e-06
recdev1(49)    0.0592714  2.47723e-06
recdev1(50)    0.0580016   2.1299e-06
recdev1(51)    0.0566365  1.72234e-06
recdev1(52)    0.0552155  1.90664e-06
recdev1(53)    0.0537675  2.44886e-06
recdev1(54)     0.052288  2.48999e-06
recdev1(55)    0.0507275   2.1714e-06
recdev1(56)    0.0489704  2.12804e-06
recdev1(57)    0.0468514  1.15312e-06
recdev1(58)    0.0440759 -6.67565e-07
recdev1(59)    0.0404121 -1.00947e-06
recdev1(60)    0.0360193  -8.0847e-07
recdev1(61)    0.0319166  1.15186e-07
recdev1(62)    0.0304131 -5.38576e-07
recdev1(63)    0.0352975  -1.7681e-06
recdev1(64)    0.0516237 -1.77649e-06
recdev1(65)    0.0849738 -2.20792e-06
recdev1(66)     0.139931 -2.41855e-06
recdev1(67)     0.217182 -1.71093e-06
recdev1(68)     0.306297 -1.88634e-06
recdev1(69)     0.367296 -1.84926e-06
recdev1(70)     0.322609 -2.64504e-06
recdev1(71)     0.143207 -3.15164e-06
recdev1(72)    -0.091493  -1.7877e-06
recdev1(73)    -0.307229 -5.83014e-06
recdev1(74)    -0.435529 -2.02968e-06
recdev1(75)    -0.353827 -1.89442e-06
recdev1(76)     0.284591 -1.68762e-06
recdev1(77)   -0.0175287 -1.31078e-07
recdev1(78)    -0.913199 -3.40743e-06
recdev1(79)   -0.0627393 -8.98593e-07
recdev1(80)    -0.240294  2.69557e-07
recdev1(81)    -0.288543 -2.89781e-06
recdev1(82)    -0.508961 -4.46264e-07
recdev1(83)    -0.172863 -1.57896e-06
recdev1(84)    -0.885399 -3.01564e-06
recdev1(85)     0.461342 -4.23781e-07
recdev1(86)    -0.155737 -2.73206e-06
recdev1(87)     0.263726 -2.04973e-06
recdev1(88)    -0.371829 -2.17279e-06
recdev1(89)    -0.358671 -4.41618e-06
recdev1(90)      0.66618 -1.54425e-06
recdev1(91)     0.654444 -3.89614e-06
recdev1(92)    -0.164672 -4.25617e-06
recdev1(93)    -0.647363 -1.11385e-06
recdev1(94)    -0.886222 -3.89696e-06
recdev1(95)     0.570398 -4.92596e-06
recdev1(96)    -0.050678 -6.84222e-06
Fcast_recruitments(97)      1.05897  4.12989e-06
Fcast_recruitments(98)   -0.0206281 -1.22945e-06
Fcast_recruitments(99)     0.241758  1.76382e-06
Fcast_recruitments(100)   -0.0406917  2.73251e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      43.1488  3.34296e-05
selparm[3]      5.23078 -4.47894e-05
