ParName   Value   Gradient
SR_parm[1]      10.4558  6.08464e-05
recdev_early(-8)  0.000170415  -8.4877e-07
recdev_early(-7)  0.000184106  -8.6275e-07
recdev_early(-6)   0.00019854 -9.37346e-07
recdev_early(-5)  0.000213721 -9.83534e-07
recdev_early(-4)  0.000229686 -1.02583e-06
recdev_early(-3)  0.000246551 -1.06878e-06
recdev_early(-2)  0.000264476 -1.11563e-06
recdev_early(-1)  0.000283589 -1.15825e-06
recdev_early(0)  0.000303973 -1.19429e-06
recdev_early(1)  0.000324435 -1.22117e-06
recdev_early(2)  0.000347006 -1.23373e-06
recdev_early(3)  0.000370959 -1.25266e-06
recdev_early(4)  0.000396374 -1.24892e-06
recdev_early(5)  0.000423334 -1.23568e-06
recdev_early(6)  0.000451922 -1.19137e-06
recdev_early(7)  0.000482216 -1.11085e-06
recdev_early(8)  0.000514293 -9.80799e-07
recdev_early(9)  0.000548215 -8.44856e-07
recdev_early(10)  0.000584041 -6.32314e-07
recdev_early(11)  0.000621806  -3.6352e-07
recdev_early(12)  0.000661524 -2.08548e-08
recdev_early(13)  0.000703187  4.23685e-07
recdev_early(14)  0.000746752  9.95379e-07
recdev_early(15)  0.000792127  1.69768e-06
recdev_early(16)  0.000839165  2.54808e-06
recdev_early(17)  0.000887633  3.54207e-06
recdev_early(18)  0.000937205  4.68224e-06
recdev_early(19)  0.000987441  5.96232e-06
recdev_early(20)   0.00103781  7.36371e-06
recdev1(21)   0.00320069 -4.54257e-06
recdev1(22)   0.00324988  -4.3552e-06
recdev1(23)   0.00329823 -4.07395e-06
recdev1(24)   0.00334605 -3.70694e-06
recdev1(25)   0.00339414 -3.27336e-06
recdev1(26)   0.00344256 -2.79054e-06
recdev1(27)   0.00349198 -2.28154e-06
recdev1(28)   0.00354111  -1.7442e-06
recdev1(29)   0.00358991   -1.181e-06
recdev1(30)   0.00363814 -5.93403e-07
recdev1(31)   0.00368556  1.55388e-08
recdev1(32)   0.00373178  6.41001e-07
recdev1(33)   0.00377625  1.27239e-06
recdev1(34)    0.0038181   1.8943e-06
recdev1(35)   0.00385676  2.47703e-06
recdev1(36)   0.00389106  2.99328e-06
recdev1(37)   0.00392041  3.41295e-06
recdev1(38)   0.00394401  3.71386e-06
recdev1(39)   0.00396238  3.89405e-06
recdev1(40)    0.0039761  3.96724e-06
recdev1(41)   0.00398619  3.96387e-06
recdev1(42)   0.00399355  3.91119e-06
recdev1(43)   0.00399854  3.81258e-06
recdev1(44)   0.00400069  3.68426e-06
recdev1(45)   0.00399922  3.47794e-06
recdev1(46)   0.00399383  3.18919e-06
recdev1(47)    0.0039851  2.81489e-06
recdev1(48)    0.0039743  2.36359e-06
recdev1(49)   0.00396338   1.8272e-06
recdev1(50)   0.00395517    1.185e-06
recdev1(51)   0.00395411  3.92845e-07
recdev1(52)   0.00396754 -5.95892e-07
recdev1(53)   0.00400733 -1.83545e-06
recdev1(54)   0.00409208 -3.35809e-06
recdev1(55)    0.0042508  -5.1316e-06
recdev1(56)   0.00452834 -6.98455e-06
recdev1(57)   0.00499619 -8.46852e-06
recdev1(58)   0.00576195 -8.93426e-06
recdev1(59)   0.00699329 -8.45893e-06
recdev1(60)   0.00895461 -9.68328e-06
recdev1(61)    0.0120675 -1.92425e-05
recdev1(62)    0.0170094 -1.78814e-05
recdev1(63)    0.0248828   9.8424e-05
recdev1(64)     0.037352 -9.83751e-05
recdev1(65)    0.0570187 -1.91608e-05
recdev1(66)    0.0874779 -5.93889e-06
recdev1(67)     0.133494 -1.95798e-07
recdev1(68)     0.200328  2.59431e-06
recdev1(69)     0.289518 -3.96435e-06
recdev1(70)     0.378476  1.42919e-05
recdev1(71)      0.37212  7.55701e-06
recdev1(72)     0.192457  1.47246e-05
recdev1(73)   -0.0429398 -2.86191e-05
recdev1(74)    -0.174474   2.6269e-05
recdev1(75)   -0.0797857 -3.97124e-06
recdev1(76)   -0.0515967   7.3111e-06
recdev1(77)    -0.501804 -7.46529e-06
recdev1(78)    -0.706148  2.03826e-06
recdev1(79)    -0.726126 -1.12672e-05
recdev1(80)     0.804046 -4.40844e-06
recdev1(81)   -0.0404006  2.95962e-06
recdev1(82)   0.00892215  2.36369e-06
recdev1(83)    -0.959911  4.40002e-06
recdev1(84)    -0.705459 -1.21431e-05
recdev1(85)       1.0951  3.21048e-05
recdev1(86)     0.119128 -4.00168e-06
recdev1(87)    -0.562723  2.15711e-06
recdev1(88)    -0.615994 -6.47528e-06
recdev1(89)    -0.401653  6.57772e-06
recdev1(90)    -0.272795 -5.37785e-06
recdev1(91)    -0.111354  9.35026e-06
recdev1(92)     0.279574  4.03086e-06
recdev1(93)      -0.2151 -1.93934e-06
recdev1(94)    -0.251248  9.76119e-06
recdev1(95)      1.52299 -9.82445e-06
recdev1(96)     0.623439 -6.38066e-06
Fcast_recruitments(97)      0.50608  2.19002e-05
Fcast_recruitments(98)    -0.253169 -1.30953e-05
Fcast_recruitments(99)   -0.0871994  1.03307e-05
Fcast_recruitments(100)   -0.0103479  3.42988e-05
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      38.8056  8.24176e-06
selparm[3]      4.78818  4.42742e-05
