ParName   Value   Gradient
SR_parm[1]      10.0055  -0.00317067
recdev_early(-28)   -0.0940092  2.67411e-06
recdev_early(-27)   -0.0955478 -8.31454e-07
recdev_early(-26)   -0.0958018  3.97558e-06
recdev_early(-25)   -0.0943999  1.07491e-06
recdev_early(-24)   -0.0909364  5.54206e-06
recdev_early(-23)   -0.0849319  3.67188e-06
recdev_early(-22)   -0.0758707   4.3546e-06
recdev_early(-21)   -0.0632219  4.81477e-06
recdev_early(-20)   -0.0464661  1.87233e-06
recdev_early(-19)   -0.0252157  3.79553e-06
recdev_early(-18)  0.000662598  4.86654e-06
recdev_early(-17)    0.0307966  3.38363e-06
recdev_early(-16)    0.0639538  4.30643e-06
recdev_early(-15)    0.0975953  4.43177e-06
recdev_early(-14)     0.127414  7.85588e-06
recdev_early(-13)     0.147315  8.00098e-06
recdev_early(-12)     0.150146  1.02509e-05
recdev_early(-11)     0.129451  7.71152e-06
recdev_early(-10)    0.0817633  8.55517e-06
recdev_early(-9)    0.0111132  4.59056e-06
recdev_early(-8)   -0.0602332  4.16828e-06
recdev_early(-7)   -0.0768445  6.23312e-06
recdev_early(-6)    0.0409859 -6.42557e-06
recdev_early(-5)     0.146466 -3.18339e-06
recdev_early(-4)    -0.160675 -4.94314e-06
recdev_early(-3)   -0.0289687 -2.16942e-05
recdev_early(-2)   -0.0520089 -1.96742e-05
recdev_early(-1)   -0.0223893 -2.22924e-05
recdev_early(0)     0.460451 -2.54555e-05
recdev1(1)    -0.277812  1.14165e-05
recdev1(2)     0.195998  9.33679e-06
recdev1(3)      1.14466 -1.61962e-05
recdev1(4)    -0.425925  1.79194e-05
recdev1(5)     0.548679  3.18563e-06
recdev1(6)      1.31571 -2.66425e-05
recdev1(7)    0.0455336  1.07312e-05
recdev1(8)    -0.150214  1.40714e-05
recdev1(9)    -0.829152  1.66941e-05
recdev1(10)    -0.161709  1.74332e-05
recdev1(11)     0.826759 -1.05693e-05
recdev1(12)    0.0574967  6.46922e-06
recdev1(13)     0.321414  5.92375e-06
recdev1(14)    0.0432444   6.8141e-06
recdev1(15)    -0.850232  1.29299e-05
recdev1(16)      1.35301  -5.5827e-05
recdev1(17)     0.335932 -8.17795e-06
recdev1(18)    -0.887771  1.40899e-05
recdev1(19)     0.495841 -1.92831e-05
recdev1(20)    -0.107685  3.25015e-06
recdev1(21)    -0.694428  8.72171e-06
recdev1(22)    -0.715191   1.5866e-06
recdev1(23)    -0.957596  1.10926e-05
recdev1(24)       -0.466 -1.54726e-06
recdev1(25)    -0.450105  3.65179e-07
recdev1(26)    -0.984138  7.73369e-06
recdev1(27)      0.45373 -4.18766e-05
recdev1(28)     0.293628 -3.53066e-05
recdev1(29)     -1.14536  1.18896e-05
recdev1(30)      0.96059 -9.29276e-05
recdev1(31)    0.0781663 -2.40478e-05
recdev1(32)     0.201676 -3.91805e-05
recdev1(33)     0.251717  -5.2855e-05
recdev1(34)      1.03555 -0.000118464
recdev1(35)     0.276867 -4.22084e-05
recdev1(36)     0.698215 -6.93687e-05
recdev1(37)     0.316192 -4.27654e-05
recdev1(38)     0.110874 -1.57553e-05
recdev1(39)    -0.484035  5.31512e-07
recdev1(40)    -0.324929 -4.44864e-06
recdev1(41)    -0.589011  8.77888e-06
recdev1(42)    -0.183717 -3.77877e-06
recdev1(43)    -0.929922  9.08164e-06
recdev1(44)      1.66703 -0.000173891
recdev1(45)     0.951956 -7.78546e-05
recdev1(46)     -1.01027  9.75101e-06
recdev1(47)    -0.446779 -2.98911e-07
recdev1(48)   -0.0261805  -1.4239e-05
recdev1(49)     0.374837 -2.75577e-05
recdev1(50)   0.00243145 -5.70175e-06
recdev1(51)     0.308951 -1.88397e-05
recdev1(52)    -0.384914  2.55223e-06
recdev1(53)     0.111223  1.80888e-06
recdev1(54)      1.01295 -5.01665e-05
recdev1(55)     -0.16907   7.4943e-06
recdev1(56)      1.08587 -3.57003e-05
recdev1(57)    -0.346815  4.90948e-06
recdev1(58)     0.137939  2.25655e-06
recdev1(59)     0.118172  2.18115e-06
recdev1(60)     0.166757   9.8378e-06
recdev1(61)     0.331742  1.11245e-05
recdev1(62)    -0.346521   1.8514e-05
recdev1(63)    -0.622077  2.05707e-05
recdev1(64)    -0.709293  2.04963e-05
recdev1(65)      -1.2341  2.11881e-05
recdev1(66)     0.219267  2.40403e-05
recdev1(67)       0.2797  2.23706e-05
recdev1(68)    -0.353677  2.38199e-05
recdev1(69)     0.792117  1.18507e-05
recdev1(70)      1.53154 -9.38893e-08
recdev1(71)     -0.73622  2.60868e-05
recdev1(72)    -0.912075  2.44665e-05
recdev1(73)     0.598524  1.69124e-05
recdev1(74)    -0.572773  2.73077e-05
recdev1(75)    -0.751247  2.77667e-05
recdev1(76)     0.722892  2.50261e-05
recdev1(77)     -0.43836  2.93752e-05
recdev1(78)    -0.881951  2.43869e-05
recdev1(79)   -0.0519909  3.06505e-05
recdev1(80)    -0.402174    3.363e-05
recdev1(81)    -0.220358  3.00442e-05
recdev1(82)   -0.0423838   2.9972e-05
recdev1(83)    -0.495512   2.9126e-05
recdev1(84)      0.34005  3.40797e-05
recdev1(85)    -0.246817  2.73201e-05
recdev1(86)    0.0413629   2.6258e-05
recdev1(87)     0.566341  2.71094e-05
recdev1(88)     0.188336  2.23624e-05
recdev1(89)    -0.535739  2.40693e-05
recdev1(90)     0.654706  1.98957e-05
recdev1(91)     0.606143  3.35682e-05
recdev1(92)   -0.0401814  3.09269e-05
recdev1(93)   -0.0598439  2.87439e-05
recdev1(94)    -0.583807  2.70305e-05
recdev1(95)     0.611053   2.6857e-05
recdev1(96)    -0.547307  2.84401e-05
Fcast_recruitments(97)      1.21564  1.25297e-06
Fcast_recruitments(98)      1.04674  5.88641e-06
Fcast_recruitments(99)     0.120422 -2.10222e-06
Fcast_recruitments(100)    -0.362804  2.83304e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]       41.953 -0.000292922
selparm[3]      5.10921  0.000396723
