ParName   Value   Gradient
SR_parm[1]      9.69287 -0.000822276
recdev_early(-28)    -0.828662 -5.80398e-07
recdev_early(-27)    -0.855713 -2.53231e-07
recdev_early(-26)    -0.880634 -2.15965e-07
recdev_early(-25)    -0.902771  1.74484e-07
recdev_early(-24)    -0.921335  3.66212e-07
recdev_early(-23)    -0.935355 -9.29566e-07
recdev_early(-22)    -0.943637 -9.75415e-08
recdev_early(-21)    -0.944692 -6.46038e-07
recdev_early(-20)     -0.93664  3.59746e-07
recdev_early(-19)    -0.917081 -5.48407e-07
recdev_early(-18)    -0.882893 -4.10309e-07
recdev_early(-17)    -0.829935 -7.51508e-07
recdev_early(-16)    -0.752572 -4.09769e-07
recdev_early(-15)    -0.642879 -8.87033e-07
recdev_early(-14)     -0.48922 -8.59126e-07
recdev_early(-13)    -0.273386 -6.76722e-07
recdev_early(-12)    0.0361412 -1.72053e-06
recdev_early(-11)     0.508406 -3.74036e-06
recdev_early(-10)      1.07547 -5.84405e-06
recdev_early(-9)     0.192226 -2.12533e-06
recdev_early(-8)    -0.228713 -1.72357e-06
recdev_early(-7)    -0.477773 -1.38905e-06
recdev_early(-6)    -0.537766 -1.00511e-06
recdev_early(-5)    -0.354917 -1.06854e-06
recdev_early(-4)   0.00543189 -2.39535e-06
recdev_early(-3)    0.0595997 -2.00156e-06
recdev_early(-2)   -0.0772504 -1.66664e-06
recdev_early(-1)    -0.261181 -1.28548e-06
recdev_early(0)     0.568575 -3.34084e-06
recdev1(1)    -0.777089  5.74733e-06
recdev1(2)    0.0181587  4.13976e-06
recdev1(3)      1.22495  -1.1193e-06
recdev1(4)    -0.546578  5.23072e-06
recdev1(5)     0.197479  3.37583e-06
recdev1(6)      1.54103 -6.15238e-06
recdev1(7)   -0.0564513  3.33061e-06
recdev1(8)    -0.349896    4.009e-06
recdev1(9)     -1.01542  5.34686e-06
recdev1(10)    -0.283117  3.99143e-06
recdev1(11)     0.884116 -2.36298e-06
recdev1(12)     0.355747 -3.49172e-07
recdev1(13)     0.264415  1.10661e-07
recdev1(14)    0.0825159  1.01873e-06
recdev1(15)      -1.0526  4.45816e-06
recdev1(16)      1.52609 -1.60686e-05
recdev1(17)      0.65085 -3.02043e-06
recdev1(18)      -1.1405  4.09712e-06
recdev1(19)     0.636105 -6.09796e-06
recdev1(20)     0.130796  -1.7736e-06
recdev1(21)    -0.857681  3.42825e-06
recdev1(22)    -0.725581  2.78866e-06
recdev1(23)    -0.876298   3.3348e-06
recdev1(24)    -0.518022  1.63101e-06
recdev1(25)    -0.216624 -4.31681e-07
recdev1(26)     -1.13283  2.72605e-06
recdev1(27)     0.540537 -1.16155e-05
recdev1(28)     0.615623 -9.18117e-06
recdev1(29)     -1.21354   3.5916e-06
recdev1(30)      1.13023 -2.16914e-05
recdev1(31)     0.477534 -8.14223e-06
recdev1(32)     0.279044 -5.65112e-06
recdev1(33)     0.304701 -7.83149e-06
recdev1(34)      1.34711 -3.44656e-05
recdev1(35)     0.501635  -8.5732e-06
recdev1(36)      1.00698 -1.65028e-05
recdev1(37)     0.531611 -1.06893e-05
recdev1(38)     0.415004 -6.66031e-06
recdev1(39)    -0.472087 -2.47292e-07
recdev1(40)    -0.207765 -8.61988e-07
recdev1(41)    -0.458203  5.81794e-07
recdev1(42)   -0.0785222 -1.66911e-06
recdev1(43)     -1.57361  4.11685e-06
recdev1(44)      1.86901 -4.46063e-05
recdev1(45)      1.46038 -3.31882e-05
recdev1(46)      -1.3574  3.87001e-06
recdev1(47)    -0.758495   2.7041e-06
recdev1(48)     0.187082 -1.51486e-06
recdev1(49)     0.676295 -8.58162e-06
recdev1(50)     0.104632 -2.79898e-06
recdev1(51)     0.599187 -4.45089e-06
recdev1(52)    -0.387394  2.98902e-06
recdev1(53)     0.122258  1.56877e-06
recdev1(54)      1.28893 -1.38661e-05
recdev1(55)    -0.272143  2.12704e-06
recdev1(56)      1.39517 -1.17449e-05
recdev1(57)    -0.161292   2.6839e-06
recdev1(58)     0.186258  1.38293e-06
recdev1(59)     0.398069   9.9325e-07
recdev1(60)     0.279449  2.11836e-06
recdev1(61)       0.6045  6.40412e-07
recdev1(62)    -0.214778  3.84645e-06
recdev1(63)    -0.549269  5.65344e-06
recdev1(64)     -0.67728  5.63156e-06
recdev1(65)     -1.51442  5.75817e-06
recdev1(66)     0.266164  3.96793e-06
recdev1(67)      0.43747  5.85037e-06
recdev1(68)     -0.52424  6.49094e-06
recdev1(69)     0.718385  5.12408e-06
recdev1(70)      1.81874   1.5958e-06
recdev1(71)    -0.988276  5.92342e-06
recdev1(72)     -1.47305  5.84208e-06
recdev1(73)     0.844028  5.73242e-06
recdev1(74)    -0.635989  6.80598e-06
recdev1(75)     -1.05261  6.99939e-06
recdev1(76)     0.871608  7.87592e-06
recdev1(77)    -0.302616  6.65531e-06
recdev1(78)     -1.12358  6.38767e-06
recdev1(79)    0.0171317  7.41696e-06
recdev1(80)    -0.406506   7.5784e-06
recdev1(81)     -0.28157  7.68881e-06
recdev1(82)    0.0265845  7.74586e-06
recdev1(83)    -0.667734  6.80867e-06
recdev1(84)     0.315213  8.74645e-06
recdev1(85)    -0.228027  7.68604e-06
recdev1(86)    -0.254381  8.45153e-06
recdev1(87)      0.66989  1.10941e-05
