ParName   Value   Gradient
SR_parm[1]           20  2.02949e-06
recdev_early(-28)            5 -1.75385e-05
recdev_early(-27)            5 -5.44884e-06
recdev_early(-26)            5  6.57478e-07
recdev_early(-25)    0.0872575  4.49257e-07
recdev_early(-24)      4.73068  4.34781e-06
recdev_early(-23)  -0.00992503  1.08013e-06
recdev_early(-22)   -0.0726451 -2.33997e-07
recdev_early(-21)     -0.14347  5.58259e-08
recdev_early(-20)    -0.220912 -2.44837e-06
recdev_early(-19)    -0.303218  3.42241e-06
recdev_early(-18)     -0.38841  1.59851e-06
recdev_early(-17)    -0.474283  7.99299e-06
recdev_early(-16)    -0.558338 -7.83358e-06
recdev_early(-15)    -0.637639  6.71439e-07
recdev_early(-14)    -0.708578  -2.6022e-06
recdev_early(-13)    -0.766462 -3.90938e-06
recdev_early(-12)    -0.804851 -3.35619e-06
recdev_early(-11)    -0.814401  2.02463e-06
recdev_early(-10)    -0.780824  3.68609e-07
recdev_early(-9)    -0.681158  8.51678e-07
recdev_early(-8)    -0.476997 -7.47765e-07
recdev_early(-7)    -0.104587 -4.52967e-06
recdev_early(-6)     0.461252 -5.54382e-06
recdev_early(-5)      2.46885 -3.07175e-05
recdev_early(-4)    0.0538364 -8.48479e-06
recdev_early(-3)     0.893263  -1.5593e-05
recdev_early(-2)      1.03684 -1.46693e-05
recdev_early(-1)       1.2326 -1.35893e-05
recdev_early(0)     0.821102 -1.04462e-05
recdev1(1)     0.689753 -6.81907e-06
recdev1(2)      1.73224 -2.35277e-06
recdev1(3)      1.44128 -4.33403e-06
recdev1(4)     0.206882  8.97057e-07
recdev1(5)      1.58285  2.75525e-06
recdev1(6)      1.10902  2.87251e-06
recdev1(7)    -0.432584 -3.12961e-09
recdev1(8)    -0.605943  1.24802e-06
recdev1(9)    -0.325068 -4.11688e-06
recdev1(10)     0.779172    3.881e-06
recdev1(11)     0.840998 -2.81704e-06
recdev1(12)     0.128254  4.50618e-06
recdev1(13)      0.22037 -2.72672e-07
recdev1(14)    -0.512722 -3.36783e-06
recdev1(15)     0.765209  3.23471e-06
recdev1(16)      1.04735  3.15653e-06
recdev1(17)    -0.929522  2.23931e-06
recdev1(18)     -1.02592 -4.16732e-06
recdev1(19)    0.0679763 -1.57672e-06
recdev1(20)     -1.29891  7.53077e-07
recdev1(21)     -1.20339 -6.60737e-06
recdev1(22)     -1.34331  8.85737e-06
recdev1(23)     -1.10898 -4.06155e-06
recdev1(24)    -0.480915 -8.45907e-07
recdev1(25)    -0.856376  -4.5009e-06
recdev1(26)    -0.118595  4.11298e-06
recdev1(27)     0.431332 -2.66668e-06
recdev1(28)    -0.311363   6.4292e-06
recdev1(29)    -0.226662 -6.06688e-06
recdev1(30)      0.86155  4.93315e-06
recdev1(31)    -0.724108 -2.04016e-06
recdev1(32)    -0.170022 -1.70174e-06
recdev1(33)     0.668905  2.64755e-06
recdev1(34)     0.348604  1.77127e-06
recdev1(35)   -0.0501704 -2.06324e-06
recdev1(36)     0.151379  1.38006e-06
recdev1(37)    -0.482617  -2.9441e-07
recdev1(38)    -0.605293  1.63224e-06
recdev1(39)    -0.869913  2.24524e-06
recdev1(40)    -0.758902 -2.50983e-06
recdev1(41)    -0.524804  2.98588e-06
recdev1(42)     -0.34931  4.62885e-07
recdev1(43)      1.17155 -8.31283e-07
recdev1(44)      1.35487  1.45266e-06
recdev1(45)    -0.845686 -2.45164e-07
recdev1(46)     -1.80492  8.70223e-06
recdev1(47)    -0.798171  -2.5418e-06
recdev1(48)     0.196114  1.56574e-06
recdev1(49)     0.449107 -1.58231e-06
recdev1(50)   0.00897251 -1.06416e-07
recdev1(51)     0.255484 -4.60438e-07
recdev1(52)    -0.251073 -1.26712e-07
recdev1(53)      1.11647 -9.09156e-07
recdev1(54)     0.817937 -1.35716e-06
recdev1(55)     0.591638  1.31642e-06
recdev1(56)     0.727742 -2.66413e-06
recdev1(57)    -0.560207  5.80471e-06
recdev1(58)     0.324813 -1.30238e-06
recdev1(59)     0.194597  1.78309e-06
recdev1(60)     0.535644 -5.66832e-07
recdev1(61)    0.0759277  6.94994e-07
recdev1(62)     -0.62775  2.35657e-06
