ParName   Value   Gradient
SR_parm[1]       10.134  -0.00452964
recdev_early(-28)     0.130609 -5.82643e-08
recdev_early(-27)     0.144382  9.82957e-07
recdev_early(-26)     0.159693  1.16512e-06
recdev_early(-25)     0.176692 -7.95727e-07
recdev_early(-24)     0.195518   -4.339e-06
recdev_early(-23)     0.216265 -4.27143e-06
recdev_early(-22)     0.238929 -3.73436e-06
recdev_early(-21)     0.263317 -4.64237e-06
recdev_early(-20)     0.288875 -4.14726e-06
recdev_early(-19)     0.314396    -3.67e-06
recdev_early(-18)     0.337568 -2.64685e-06
recdev_early(-17)     0.354354 -5.05551e-06
recdev_early(-16)       0.3585 -7.67504e-06
recdev_early(-15)     0.341955 -8.55573e-06
recdev_early(-14)     0.297079 -1.52568e-05
recdev_early(-13)     0.219934 -1.24832e-05
recdev_early(-12)     0.111877 -9.11336e-06
recdev_early(-11)   -0.0213465 -5.40207e-06
recdev_early(-10)    -0.167134 -5.05003e-06
recdev_early(-9)    -0.317065 -9.93918e-06
recdev_early(-8)    -0.462564 -1.01991e-05
recdev_early(-7)    -0.591498  -1.1214e-05
recdev_early(-6)    -0.683135 -1.18899e-05
recdev_early(-5)    -0.690571  -3.2697e-06
recdev_early(-4)    -0.481207 -4.53259e-06
recdev_early(-3)     0.615587 -1.86044e-05
recdev_early(-2)     0.259907  -1.4952e-05
recdev_early(-1)    -0.496298 -7.31488e-06
recdev_early(0)      1.12344 -2.31825e-05
recdev1(1)     0.499121  2.10008e-05
recdev1(2)    -0.266322   2.6527e-05
recdev1(3)     0.530394  4.00754e-06
recdev1(4)     0.562929  1.78392e-05
recdev1(5)     0.501781  8.53578e-06
recdev1(6)     0.406186  2.79051e-06
recdev1(7)     0.277433  1.78462e-05
recdev1(8)    -0.183608  1.86632e-05
recdev1(9)    -0.378751   1.6486e-05
recdev1(10)    -0.476687   1.7312e-05
recdev1(11)    -0.608627  2.40113e-05
recdev1(12)    -0.427159  2.42406e-05
recdev1(13)    -0.789163  2.08868e-05
recdev1(14)       1.5683 -8.92849e-05
recdev1(15)     0.767228 -3.68894e-05
recdev1(16)    -0.696647  1.97521e-05
recdev1(17)    -0.547569  2.26595e-05
recdev1(18)    -0.430115  1.68053e-05
recdev1(19)     0.425806 -3.34984e-05
recdev1(20)    -0.143779 -3.81062e-06
recdev1(21)    0.0258284 -4.96989e-06
recdev1(22)    -0.161245  -4.3952e-06
recdev1(23)     -0.13104 -4.19741e-06
recdev1(24)      0.90791 -7.45708e-05
recdev1(25)    -0.138846 -1.52542e-05
recdev1(26)     0.984606 -0.000120875
recdev1(27)    -0.717845  3.62816e-06
recdev1(28)     0.218203 -4.45939e-05
recdev1(29)  7.61487e-05 -2.64041e-05
recdev1(30)    0.0312707 -2.77873e-05
recdev1(31)     0.123234  -3.6327e-05
recdev1(32)    -0.465117  9.32891e-07
recdev1(33)    -0.470157  1.01598e-06
recdev1(34)    -0.899364  9.14792e-06
recdev1(35)    -0.905171   2.9724e-06
recdev1(36)    0.0647072 -3.69015e-05
recdev1(37)     0.220394 -5.42968e-05
recdev1(38)   -0.0789458 -3.79037e-05
recdev1(39)     0.598236 -9.01723e-05
recdev1(40)      1.49499 -0.000262545
recdev1(41)    -0.592763  1.12635e-06
recdev1(42)     -1.16616  1.98747e-05
recdev1(43)     0.586735 -8.36597e-05
recdev1(44)    -0.565696 -9.14377e-06
recdev1(45)    -0.628276 -4.80556e-06
recdev1(46)     0.672745 -9.57172e-05
recdev1(47)    -0.368444 -1.04719e-05
recdev1(48)    -0.921773  1.29842e-05
recdev1(49)   -0.0241947 -2.66997e-05
recdev1(50)    -0.201406 -1.57139e-05
recdev1(51)     -0.10451 -1.30726e-05
recdev1(52)     0.181422 -2.83472e-05
recdev1(53)     -0.35094  1.29191e-06
recdev1(54)     0.392259 -3.16307e-05
recdev1(55)    -0.235183  2.10591e-06
recdev1(56)     0.167019 -8.50242e-06
recdev1(57)     0.793583  -3.5028e-05
recdev1(58)     0.258007 -4.83692e-06
recdev1(59)    -0.284905   1.5608e-05
recdev1(60)     0.838742 -1.67874e-05
recdev1(61)     0.735383 -1.35847e-05
recdev1(62)     0.387158  1.22902e-05
recdev1(63)     0.114044  1.17763e-05
recdev1(64)    -0.441908  2.67003e-05
recdev1(65)      1.01471 -4.91478e-06
recdev1(66)    -0.370067  2.34166e-05
recdev1(67)      1.70863 -4.46559e-05
recdev1(68)      1.20098 -1.59889e-05
recdev1(69)    -0.216123  2.89102e-05
recdev1(70)    -0.735733  3.09077e-05
recdev1(71)    -0.553801  2.74374e-05
recdev1(72)     0.178561   3.2475e-05
recdev1(73)    -0.158317  3.44539e-05
recdev1(74)    -0.295156   2.8277e-05
recdev1(75)    -0.651648  2.91291e-05
recdev1(76)    -0.039841  3.23468e-05
recdev1(77)    -0.612651  3.84042e-05
recdev1(78)     -1.10711  3.74993e-05
recdev1(79)    -0.290867  3.39544e-05
recdev1(80)     0.772074  3.32213e-05
recdev1(81)    -0.294404  3.58371e-05
recdev1(82)     0.488575  3.49057e-05
recdev1(83)     -0.88304  4.09509e-05
recdev1(84)   -0.0210785  3.04271e-05
recdev1(85)      0.51024  4.43547e-05
recdev1(86)     0.342208   4.0157e-05
recdev1(87)      0.17995  4.14821e-05
recdev1(88)    -0.371632  3.83678e-05
recdev1(89)    -0.563547  3.98405e-05
recdev1(90)    -0.610042  3.82504e-05
recdev1(91)     0.194863  4.42189e-05
recdev1(92)    -0.513487  3.52829e-05
recdev1(93)    -0.249981  5.00626e-05
recdev1(94)   -0.0059972  4.87095e-05
recdev1(95)      1.64408  7.41965e-05
recdev1(96)    -0.223759  3.92201e-05
Fcast_recruitments(97)     0.347518  9.07054e-06
Fcast_recruitments(98)     0.223947  1.14733e-06
Fcast_recruitments(99)    -0.373613 -7.04503e-07
Fcast_recruitments(100)   -0.0458614 -3.30716e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
