ParName   Value   Gradient
recdev_early(-28)     0.219401  4.61616e-07
recdev_early(-27)     0.242805  5.44474e-07
recdev_early(-26)     0.268826  5.66281e-07
recdev_early(-25)     0.297714  6.74777e-07
recdev_early(-24)     0.329688  7.28712e-07
recdev_early(-23)     0.364877  8.12419e-07
recdev_early(-22)     0.403204  9.06736e-07
recdev_early(-21)     0.444155  9.92805e-07
recdev_early(-20)     0.486339  1.18913e-06
recdev_early(-19)     0.526682  1.34497e-06
recdev_early(-18)     0.559204  1.49726e-06
recdev_early(-17)     0.574167  1.63371e-06
recdev_early(-16)     0.560231   1.7239e-06
recdev_early(-15)     0.511009   1.7616e-06
recdev_early(-14)     0.429042  1.69699e-06
recdev_early(-13)     0.321851  1.57837e-06
recdev_early(-12)     0.196796  1.44148e-06
recdev_early(-11)    0.0595415  1.27554e-06
recdev_early(-10)   -0.0845408   1.0888e-06
recdev_early(-9)    -0.225029  8.72752e-07
recdev_early(-8)    -0.357004  6.57593e-07
recdev_early(-7)    -0.472887    4.455e-07
recdev_early(-6)    -0.556171  2.52122e-07
recdev_early(-5)    -0.563687    7.084e-08
recdev_early(-4)    -0.366429  -1.0196e-07
recdev_early(-3)     0.767699 -7.38104e-07
recdev_early(-2)     0.405636 -5.64576e-07
recdev_early(-1)    -0.386894 -2.10505e-07
recdev_early(0)      1.25973 -6.52755e-07
recdev1(1)     0.614693 -2.06326e-06
recdev1(2)    -0.195895 -1.93988e-06
recdev1(3)     0.658619 -1.53437e-06
recdev1(4)     0.673534 -1.30953e-06
recdev1(5)     0.618187 -1.15546e-06
recdev1(6)     0.518598 -1.08701e-06
recdev1(7)     0.398577 -1.05524e-06
recdev1(8)   -0.0773624 -1.34562e-06
recdev1(9)       -0.267 -1.39037e-06
recdev1(10)    -0.360658 -1.37283e-06
recdev1(11)    -0.509786 -1.39146e-06
recdev1(12)    -0.294681 -1.13364e-06
recdev1(13)    -0.757882 -1.41015e-06
recdev1(14)       1.6932  5.46627e-06
recdev1(15)     0.891355  1.78902e-06
recdev1(16)    -0.646146 -1.12132e-06
recdev1(17)    -0.424654 -8.12624e-07
recdev1(18)    -0.341283 -6.11825e-07
recdev1(19)     0.561094  1.67067e-06
recdev1(20)   -0.0542789   1.0215e-07
recdev1(21)     0.152461  7.25283e-07
recdev1(22)   -0.0464498  3.27169e-07
recdev1(23)   -0.0421672  4.47449e-07
recdev1(24)      1.04559  5.70042e-06
recdev1(25)    -0.097986  6.08634e-07
recdev1(26)      1.12805  7.22791e-06
recdev1(27)     -0.72142 -5.14259e-07
recdev1(28)     0.356493  2.69298e-06
recdev1(29)       0.1061  1.76575e-06
recdev1(30)     0.144463  2.04375e-06
recdev1(31)     0.250035  2.58864e-06
recdev1(32)    -0.371434  5.15323e-07
recdev1(33)    -0.343356  6.63422e-07
recdev1(34)    -0.798685  -2.9007e-07
recdev1(35)    -0.815369 -2.98571e-07
recdev1(36)     0.184994  2.67803e-06
recdev1(37)     0.333268  3.43782e-06
recdev1(38)    0.0227814  2.03915e-06
recdev1(39)     0.702443  5.95398e-06
recdev1(40)      1.61075   1.6947e-05
recdev1(41)    -0.528147  2.96265e-07
recdev1(42)     -1.14677 -7.79989e-07
recdev1(43)     0.706436  5.85732e-06
recdev1(44)     -0.49797   3.3511e-07
recdev1(45)    -0.554873  1.70764e-07
recdev1(46)     0.778542  6.01972e-06
recdev1(47)    -0.284962  7.12438e-07
recdev1(48)    -0.862439 -5.21171e-07
recdev1(49)    0.0741254  1.59769e-06
recdev1(50)    -0.124088  7.82648e-07
recdev1(51)   -0.0274025    8.903e-07
recdev1(52)     0.262582  1.56045e-06
recdev1(53)     -0.29888 -1.34282e-07
recdev1(54)     0.464796  1.62811e-06
recdev1(55)    -0.190387  -3.2632e-07
recdev1(56)      0.21998  3.03848e-07
recdev1(57)     0.840246   1.9344e-06
recdev1(58)      0.29584  3.42996e-08
recdev1(59)    -0.270926 -9.68195e-07
recdev1(60)     0.868303  9.07347e-07
recdev1(61)     0.749973  3.16257e-07
recdev1(62)     0.394292 -5.62918e-07
recdev1(63)     0.120211 -1.01869e-06
recdev1(64)     -0.47458 -1.51795e-06
recdev1(65)      1.01315 -7.00124e-08
recdev1(66)      -0.4406  -1.5832e-06
recdev1(67)      1.68731  1.30546e-06
recdev1(68)      1.16176 -4.17117e-08
recdev1(69)    -0.276018 -1.56041e-06
recdev1(70)    -0.803464 -1.73891e-06
recdev1(71)    -0.622992 -1.75977e-06
recdev1(72)     0.111165 -1.66969e-06
recdev1(73)    -0.250738 -1.91461e-06
recdev1(74)    -0.388225  -2.0093e-06
recdev1(75)    -0.769011 -2.06744e-06
recdev1(76)    -0.148346 -2.20166e-06
recdev1(77)    -0.741536 -2.11907e-06
recdev1(78)     -1.25224  -2.0359e-06
recdev1(79)    -0.427598 -2.20693e-06
recdev1(80)     0.626778 -2.55652e-06
recdev1(81)     -0.47195 -2.16257e-06
recdev1(82)     0.325596  -2.4183e-06
recdev1(83)     -1.09168 -2.07498e-06
recdev1(84)    -0.205976 -2.29582e-06
recdev1(85)     0.309473 -2.50241e-06
recdev1(86)     0.125252 -2.44229e-06
recdev1(87)   -0.0493055 -2.40587e-06
recdev1(88)    -0.619156 -2.23483e-06
recdev1(89)    -0.822295 -2.22335e-06
recdev1(90)    -0.882467 -2.25792e-06
recdev1(91)   -0.0907613 -2.58487e-06
recdev1(92)     -0.82415 -2.23393e-06
recdev1(93)    -0.568058  -2.3192e-06
recdev1(94)    -0.333551 -2.32166e-06
recdev1(95)        1.302 -3.05469e-06
recdev1(96)    -0.595067 -2.08061e-06
Fcast_recruitments(97)    0.0077595 -1.12027e-07
Fcast_recruitments(98)    -0.108697 -9.99218e-08
Fcast_recruitments(99)    -0.586614   9.6753e-09
Fcast_recruitments(100)    -0.122125 -8.49162e-09
Fcast_recruitments(101)            0            0
