ParName   Value   Gradient
SR_parm[1]      10.0365 -0.000618466
recdev_early(-28)    -0.121361  -9.6485e-07
recdev_early(-27)     -0.12462 -6.22493e-07
recdev_early(-26)    -0.126648 -3.85017e-07
recdev_early(-25)    -0.127068 -3.20818e-07
recdev_early(-24)    -0.125466  4.39489e-08
recdev_early(-23)    -0.121351 -4.75212e-08
recdev_early(-22)    -0.114188 -1.42758e-07
recdev_early(-21)    -0.103419 -2.19463e-07
recdev_early(-20)   -0.0884739 -4.97912e-07
recdev_early(-19)   -0.0688878 -6.52039e-07
recdev_early(-18)   -0.0443971 -1.06717e-06
recdev_early(-17)   -0.0151673 -8.13277e-07
recdev_early(-16)    0.0178819 -2.50033e-06
recdev_early(-15)    0.0526384 -1.88224e-06
recdev_early(-14)     0.085256 -1.80811e-06
recdev_early(-13)      0.10986 -1.89411e-06
recdev_early(-12)       0.1188 -2.81718e-06
recdev_early(-11)     0.104079 -1.56969e-06
recdev_early(-10)    0.0601996 -2.43088e-07
recdev_early(-9)  -0.00989938 -1.42029e-08
recdev_early(-8)   -0.0833187  1.65861e-06
recdev_early(-7)    -0.103417  4.47168e-06
recdev_early(-6)   0.00915274  3.73918e-06
recdev_early(-5)     0.112635  8.80657e-06
recdev_early(-4)    -0.185274  5.83475e-06
recdev_early(-3)   -0.0588901  5.03757e-06
recdev_early(-2)   -0.0820011  2.23412e-06
recdev_early(-1)    -0.050963 -1.14744e-06
recdev_early(0)     0.460061 -2.66181e-06
recdev1(1)    -0.277064  1.64726e-06
recdev1(2)     0.198068  1.52077e-06
recdev1(3)      1.14789 -3.23989e-06
recdev1(4)    -0.427797  3.05078e-06
recdev1(5)     0.551291  2.71828e-07
recdev1(6)      1.31848 -8.64285e-06
recdev1(7)    0.0462321  2.71245e-07
recdev1(8)    -0.147257  2.35505e-06
recdev1(9)    -0.829738  2.67987e-06
recdev1(10)    -0.159793  1.81556e-06
recdev1(11)     0.829312 -3.21871e-06
recdev1(12)    0.0582817 -3.37314e-07
recdev1(13)     0.323588  1.37752e-06
recdev1(14)    0.0453254 -2.36513e-07
recdev1(15)    -0.852889  3.19492e-06
recdev1(16)      1.35535 -1.18473e-05
recdev1(17)     0.337677 -3.34658e-06
recdev1(18)    -0.891203  2.23512e-06
recdev1(19)     0.498588 -7.27775e-06
recdev1(20)    -0.106433 -2.44266e-06
recdev1(21)    -0.693714  2.20486e-07
recdev1(22)    -0.713231  1.23528e-07
recdev1(23)    -0.957206  3.00213e-06
recdev1(24)    -0.464225 -1.40666e-06
recdev1(25)    -0.447968 -2.90503e-06
recdev1(26)    -0.985398  2.78219e-06
recdev1(27)      0.45599 -8.98778e-06
recdev1(28)      0.29561 -4.65579e-06
recdev1(29)     -1.14832  8.09752e-07
recdev1(30)     0.963312 -2.20494e-05
recdev1(31)    0.0790144 -7.81143e-06
recdev1(32)     0.204508 -6.40353e-06
recdev1(33)     0.253427 -1.15945e-05
recdev1(34)      1.03875 -2.52231e-05
recdev1(35)     0.278615 -9.87707e-06
recdev1(36)     0.701673 -1.66736e-05
recdev1(37)     0.318977 -1.05345e-05
recdev1(38)     0.114567 -3.99611e-06
recdev1(39)    -0.481743 -1.40371e-06
recdev1(40)    -0.320715 -7.87631e-08
recdev1(41)    -0.586689 -1.33904e-06
recdev1(42)    -0.178938  -1.8228e-06
recdev1(43)     -0.92984  2.82571e-06
recdev1(44)      1.67152 -3.76432e-05
recdev1(45)     0.956866 -1.51798e-05
recdev1(46)     -1.01009  2.14506e-06
recdev1(47)    -0.441256 -1.33486e-06
recdev1(48)   -0.0207087 -3.62904e-06
recdev1(49)        0.381 -7.11196e-06
recdev1(50)   0.00757747 -8.82127e-07
recdev1(51)     0.315371 -1.05681e-06
recdev1(52)    -0.379859  1.03913e-06
recdev1(53)     0.117294  2.14373e-06
recdev1(54)      1.02002  -6.1467e-06
recdev1(55)     -0.16454   3.8493e-06
recdev1(56)      1.09383 -9.73163e-06
recdev1(57)    -0.341642  1.94795e-06
recdev1(58)     0.146202  1.05764e-07
recdev1(59)     0.125713   9.9608e-08
recdev1(60)     0.174271  1.36368e-06
recdev1(61)     0.339346  1.87011e-06
recdev1(62)    -0.339948   4.4999e-06
recdev1(63)    -0.615546  5.42872e-06
recdev1(64)    -0.702312  5.50259e-06
recdev1(65)        -1.23  5.75273e-06
recdev1(66)     0.225868  7.22901e-06
recdev1(67)     0.285589  5.36975e-06
recdev1(68)    -0.348903  5.59486e-06
recdev1(69)     0.797983  5.81323e-06
recdev1(70)      1.53735  7.39465e-06
recdev1(71)    -0.734106   5.3253e-06
recdev1(72)    -0.909471  4.91405e-06
recdev1(73)     0.603641  5.04483e-06
recdev1(74)    -0.570894  5.43584e-06
recdev1(75)    -0.750675   7.2021e-06
recdev1(76)     0.723826  1.31713e-05
recdev1(77)    -0.440423  7.01835e-06
recdev1(78)    -0.884677  5.88052e-06
recdev1(79)   -0.0544864  6.90975e-06
recdev1(80)    -0.406583  7.42875e-06
recdev1(81)    -0.225193  7.12049e-06
recdev1(82)   -0.0484041  1.00957e-05
recdev1(83)    -0.502922  9.48216e-06
recdev1(84)     0.332346  1.19398e-05
recdev1(85)    -0.256444  6.46571e-06
recdev1(86)    0.0318043  6.80679e-06
recdev1(87)     0.555219  7.54499e-06
recdev1(88)     0.175998  6.86485e-06
recdev1(89)     -0.55007  3.58354e-06
recdev1(90)     0.640171  9.42383e-07
recdev1(91)     0.589072  3.17856e-06
recdev1(92)   -0.0591251  7.91779e-06
recdev1(93)    -0.080756  6.03401e-06
recdev1(94)     -0.60569  3.69569e-06
recdev1(95)     0.586077  2.29268e-06
recdev1(96)    -0.573592   4.6667e-06
Fcast_recruitments(97)      1.18762 -8.04458e-06
Fcast_recruitments(98)      1.01946  1.15786e-06
Fcast_recruitments(99)     0.150853 -1.85781e-06
Fcast_recruitments(100)     -0.40394 -1.35292e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      41.9483 -6.61464e-05
selparm[3]      5.10934  6.45335e-05
