ParName   Value   Gradient
SR_parm[1]      9.76219  0.000967819
recdev_early(-28)    -0.879416  9.90578e-07
recdev_early(-27)    -0.907722  1.50595e-07
recdev_early(-26)    -0.933896  5.45658e-07
recdev_early(-25)    -0.957292 -1.91069e-06
recdev_early(-24)    -0.977126  7.33186e-07
recdev_early(-23)    -0.992439 -3.53626e-07
recdev_early(-22)     -1.00205 -1.44233e-06
recdev_early(-21)     -1.00449  2.40699e-07
recdev_early(-20)    -0.997891 -6.89077e-07
recdev_early(-19)    -0.979897 -2.14316e-06
recdev_early(-18)    -0.947422 -5.32764e-07
recdev_early(-17)    -0.896387 -1.62541e-06
recdev_early(-16)    -0.821247 -5.61878e-07
recdev_early(-15)    -0.714228 -2.49689e-06
recdev_early(-14)    -0.563961 -7.02732e-07
recdev_early(-13)    -0.352816 -2.69314e-06
recdev_early(-12)   -0.0509422 -4.22458e-06
recdev_early(-11)     0.400776 -6.62693e-06
recdev_early(-10)     0.960232 -1.15333e-05
recdev_early(-9)      0.21412 -5.43427e-06
recdev_early(-8)    -0.231841 -3.00306e-06
recdev_early(-7)    -0.499324 -1.48091e-06
recdev_early(-6)    -0.575387  3.82905e-07
recdev_early(-5)     -0.41185    2.827e-06
recdev_early(-4)   -0.0743368  3.89004e-06
recdev_early(-3)   0.00123997  4.38292e-06
recdev_early(-2)    -0.137225  6.45767e-06
recdev_early(-1)     -0.31771  6.22178e-06
recdev_early(0)     0.642974  5.64951e-06
recdev1(1)    -0.742432 -7.92124e-06
recdev1(2)    0.0851563 -5.80513e-06
recdev1(3)      1.29946  4.73032e-06
recdev1(4)    -0.529151 -7.94653e-06
recdev1(5)     0.253842 -7.25254e-06
recdev1(6)      1.60406  6.64096e-06
recdev1(7)   -0.0269279 -5.45816e-06
recdev1(8)    -0.294202 -6.46653e-06
recdev1(9)    -0.994678 -8.01581e-06
recdev1(10)    -0.242492 -4.70653e-06
recdev1(11)      0.92768  6.04147e-06
recdev1(12)     0.386443 -7.24187e-06
recdev1(13)      0.29777 -8.05943e-06
recdev1(14)     0.113395 -7.15595e-06
recdev1(15)      -1.0621 -9.25732e-06
recdev1(16)      1.55227  1.78377e-05
recdev1(17)     0.668572   1.0905e-06
recdev1(18)     -1.16143 -8.12542e-06
recdev1(19)     0.653415  2.26505e-06
recdev1(20)     0.140167 -3.61424e-06
recdev1(21)    -0.865088 -7.48772e-06
recdev1(22)    -0.721024   -7.409e-06
recdev1(23)    -0.881221 -6.11524e-06
recdev1(24)    -0.523429 -2.49501e-06
recdev1(25)    -0.219288 -7.87752e-07
recdev1(26)     -1.16025 -5.91313e-06
recdev1(27)     0.530158  7.78871e-06
recdev1(28)     0.600937  4.10734e-06
recdev1(29)     -1.24867 -8.12592e-06
recdev1(30)      1.11743  3.19179e-06
recdev1(31)     0.459771  1.11196e-05
recdev1(32)     0.266904  7.36692e-06
recdev1(33)     0.285437  6.53181e-06
recdev1(34)      1.33642  1.08326e-05
recdev1(35)     0.481247  2.34264e-07
recdev1(36)     0.997015  3.75253e-05
recdev1(37)     0.515016  8.20913e-06
recdev1(38)     0.405754 -2.57298e-07
recdev1(39)     -0.49377  -4.0645e-06
recdev1(40)    -0.216291 -2.28526e-06
recdev1(41)    -0.475681 -2.68266e-06
recdev1(42)   -0.0871373  3.67012e-06
recdev1(43)     -1.60525  -6.4293e-06
recdev1(44)       1.8593  5.70798e-05
recdev1(45)      1.45221  2.70509e-05
recdev1(46)     -1.38836 -6.64825e-06
