ParName   Value   Gradient
SR_parm[1]           20 -3.45218e-08
recdev_early(-28)            5 -4.53083e-07
recdev_early(-27)            5  1.40939e-06
recdev_early(-26)            5  9.97427e-07
recdev_early(-25)      4.70826 -1.37579e-06
recdev_early(-24)  0.000553007 -2.41073e-07
recdev_early(-23)   -0.0524103 -4.65134e-07
recdev_early(-22)    -0.113972  1.30357e-07
recdev_early(-21)    -0.183181 -5.78855e-07
recdev_early(-20)    -0.258709  1.12289e-07
recdev_early(-19)    -0.338948  2.18921e-07
recdev_early(-18)    -0.422034 -1.60471e-07
recdev_early(-17)    -0.505842   5.5682e-07
recdev_early(-16)    -0.587921  2.84327e-07
recdev_early(-15)    -0.665357 -1.48333e-06
recdev_early(-14)     -0.73454  7.29666e-08
recdev_early(-13)    -0.790753  1.55857e-07
recdev_early(-12)    -0.827504  1.64469e-07
recdev_early(-11)    -0.835361 -4.10867e-07
recdev_early(-10)    -0.799865   3.0312e-07
recdev_early(-9)     -0.69771  1.79784e-07
recdev_early(-8)    -0.489597  2.82571e-07
recdev_early(-7)    -0.108515   7.1348e-07
recdev_early(-6)     0.490331  3.91813e-07
recdev_early(-5)      2.43048  9.70257e-06
recdev_early(-4)     0.047715  1.16052e-06
recdev_early(-3)     0.876846  3.51427e-06
recdev_early(-2)     0.990535  3.82385e-06
recdev_early(-1)      1.21401  4.29314e-06
recdev_early(0)     0.920801  1.45584e-06
recdev1(1)       0.7357  1.17921e-06
recdev1(2)      1.82973 -2.12858e-07
recdev1(3)      1.52881 -7.37551e-07
recdev1(4)     0.212926  3.25052e-07
recdev1(5)      1.67171 -1.38116e-06
recdev1(6)      1.18498 -7.27397e-07
recdev1(7)    -0.398694  4.28586e-07
recdev1(8)    -0.560298   1.7676e-07
recdev1(9)    -0.285031   3.2293e-07
recdev1(10)     0.845381 -7.98118e-07
recdev1(11)     0.899394 -7.24454e-07
recdev1(12)     0.164432 -4.11968e-07
recdev1(13)     0.279526 -2.18309e-07
recdev1(14)    -0.507114  6.49383e-08
recdev1(15)     0.809447 -6.06675e-07
recdev1(16)       1.0921 -1.02869e-06
recdev1(17)    -0.924942  1.21855e-07
recdev1(18)     -1.02922 -1.86782e-07
recdev1(19)     0.109637 -8.02935e-07
recdev1(20)     -1.30394 -1.69185e-07
recdev1(21)     -1.18753  1.99139e-07
recdev1(22)     -1.33571 -2.31493e-07
recdev1(23)     -1.10426 -2.55245e-07
recdev1(24)    -0.462816 -2.50585e-07
recdev1(25)    -0.865883 -2.80747e-07
