ParName   Value   Gradient
SR_parm[1]      10.1594 -2.10945e-05
recdev_early(-28)     0.201944  7.55633e-10
recdev_early(-27)     0.221489 -2.79123e-09
recdev_early(-26)     0.243296 -1.54133e-09
recdev_early(-25)     0.267681 -2.11742e-09
recdev_early(-24)     0.295004  9.11489e-10
recdev_early(-23)      0.32566  3.13897e-09
recdev_early(-22)     0.360059  1.19992e-08
recdev_early(-21)      0.39856  1.55803e-08
recdev_early(-20)     0.441326  1.11687e-08
recdev_early(-19)     0.487969  1.29181e-08
recdev_early(-18)     0.536737  9.85952e-09
recdev_early(-17)      0.58274  2.09732e-08
recdev_early(-16)     0.614918  2.58751e-08
recdev_early(-15)     0.614909  2.16945e-08
recdev_early(-14)     0.586764  2.61898e-08
recdev_early(-13)     0.500446  2.92444e-08
recdev_early(-12)     0.370217  1.60147e-08
recdev_early(-11)     0.213627  2.05563e-08
recdev_early(-10)    0.0432435  3.57615e-08
recdev_early(-9)    -0.131495  3.89238e-08
recdev_early(-8)    -0.301383  3.04578e-08
recdev_early(-7)    -0.454688  2.73967e-08
recdev_early(-6)    -0.571651  1.43285e-08
recdev_early(-5)    -0.606337 -3.40605e-09
recdev_early(-4)    -0.426308 -8.53581e-09
recdev_early(-3)     0.651558  -4.3459e-08
recdev_early(-2)     0.259897 -8.37656e-08
recdev_early(-1)    -0.509922 -7.71744e-08
recdev_early(0)      1.09114  -4.3552e-07
recdev1(1)     0.471785 -5.79956e-08
recdev1(2)    -0.285374  8.35798e-08
recdev1(3)     0.500964  6.64812e-09
recdev1(4)      0.53676  -3.4646e-09
recdev1(5)     0.474828 -4.63689e-08
recdev1(6)     0.379975 -2.47152e-08
recdev1(7)     0.249826  1.20517e-08
recdev1(8)    -0.208382  9.27429e-08
recdev1(9)    -0.404389  1.01853e-07
recdev1(10)     -0.50291  1.14686e-07
recdev1(11)    -0.632045  1.26239e-07
recdev1(12)    -0.456016  1.04928e-07
recdev1(13)    -0.800617  1.11379e-07
recdev1(14)      1.54044  -5.7887e-07
recdev1(15)      0.74021 -1.75969e-07
recdev1(16)     -0.71099  9.53691e-08
recdev1(17)    -0.573648   5.9697e-08
recdev1(18)    -0.450917  5.66997e-08
recdev1(19)     0.396884 -9.44831e-08
recdev1(20)    -0.164478  1.94179e-08
recdev1(21)  -0.00125007 -1.70302e-08
recdev1(22)    -0.186064  8.21699e-09
recdev1(23)    -0.151382 -6.25635e-09
recdev1(24)     0.878945  -3.3273e-07
recdev1(25)    -0.150935  -1.9488e-08
recdev1(26)     0.954754 -4.81308e-07
recdev1(27)    -0.722713  7.88625e-08
recdev1(28)     0.189512 -1.36355e-07
recdev1(29)   -0.0230538 -9.91845e-08
recdev1(30)   0.00698461 -1.31271e-07
recdev1(31)     0.096475 -1.29404e-07
recdev1(32)    -0.486094  8.16206e-09
recdev1(33)    -0.496783 -8.84935e-09
recdev1(34)    -0.921379  5.59542e-08
recdev1(35)    -0.925175  5.05373e-08
recdev1(36)    0.0391117 -1.56279e-07
recdev1(37)     0.196202  -2.4368e-07
recdev1(38)    -0.100895 -1.39557e-07
recdev1(39)     0.575772 -4.56415e-07
recdev1(40)      1.47047 -1.28291e-06
recdev1(41)     -0.60761 -2.16094e-08
recdev1(42)     -1.17344  5.80697e-08
recdev1(43)     0.561641 -3.90361e-07
recdev1(44)    -0.581281  1.26004e-08
recdev1(45)    -0.644641  8.07482e-09
recdev1(46)      0.65027  -4.5814e-07
recdev1(47)    -0.386473 -4.11273e-08
recdev1(48)    -0.935553  5.22968e-08
recdev1(49)   -0.0449036 -1.27398e-07
recdev1(50)    -0.218082 -8.48778e-08
recdev1(51)    -0.120966 -8.21513e-08
