ParName   Value   Gradient
recdev_early(-28)     0.293205  3.02447e-07
recdev_early(-27)     0.321995   2.7975e-06
recdev_early(-26)      0.35414  1.06774e-07
recdev_early(-25)     0.390138  1.65489e-06
recdev_early(-24)     0.430578  7.94781e-08
recdev_early(-23)     0.476175   2.4167e-06
recdev_early(-22)     0.527795  1.35629e-06
recdev_early(-21)     0.586512   1.2668e-06
recdev_early(-20)     0.653668  1.26287e-06
recdev_early(-19)     0.730965  1.72456e-06
recdev_early(-18)     0.820543  1.85508e-06
recdev_early(-17)     0.924327  1.99793e-06
recdev_early(-16)     0.944547  2.68642e-06
recdev_early(-15)     0.818455  2.20223e-06
recdev_early(-14)     0.722306  2.12807e-06
recdev_early(-13)     0.593766  1.52051e-06
recdev_early(-12)     0.453015   2.4057e-06
recdev_early(-11)     0.305885  3.14605e-06
recdev_early(-10)     0.154874  1.42155e-06
recdev_early(-9)    0.0022185  1.14041e-06
recdev_early(-8)    -0.148539  8.65103e-07
recdev_early(-7)    -0.290416  6.13165e-07
recdev_early(-6)    -0.407101  4.19135e-07
recdev_early(-5)    -0.453696  2.06702e-07
recdev_early(-4)    -0.297467   6.4262e-08
recdev_early(-3)       0.8158 -3.71749e-07
recdev_early(-2)     0.411878  -3.0181e-07
recdev_early(-1)    -0.388163 -1.14917e-07
recdev_early(0)      1.25453 -3.06536e-07
recdev1(1)     0.610718 -3.17357e-06
recdev1(2)    -0.198087 -3.08864e-06
recdev1(3)     0.654338 -2.22331e-06
recdev1(4)     0.670046 -1.89211e-06
recdev1(5)     0.614598 -1.63444e-06
recdev1(6)     0.515287 -1.53564e-06
recdev1(7)     0.395085  -1.4812e-06
recdev1(8)   -0.0801975 -2.09911e-06
recdev1(9)    -0.269949 -2.22137e-06
recdev1(10)    -0.363677 -2.21161e-06
recdev1(11)     -0.51208 -2.36218e-06
recdev1(12)    -0.298135 -1.91521e-06
recdev1(13)    -0.757788 -2.39688e-06
recdev1(14)      1.69017  9.33141e-06
recdev1(15)     0.888865  3.10313e-06
recdev1(16)    -0.646004 -1.88235e-06
recdev1(17)     -0.42703 -1.38621e-06
recdev1(18)    -0.342473 -9.95421e-07
recdev1(19)     0.558425  2.84697e-06
recdev1(20)   -0.0553363  1.95662e-07
recdev1(21)     0.150261  1.24582e-06
