ParName   Value   Gradient
SR_parm[1]      10.5038  0.000120856
recdev_early(-28)      4.93741 -2.08313e-06
recdev_early(-27)   -0.0446724 -2.05808e-07
recdev_early(-26)    -0.135725  1.15011e-06
recdev_early(-25)    -0.234707 -6.93012e-07
recdev_early(-24)    -0.339941  2.44242e-06
recdev_early(-23)    -0.449835 -4.89591e-06
recdev_early(-22)    -0.562884  7.24842e-06
recdev_early(-21)    -0.677643 -1.04326e-06
recdev_early(-20)    -0.792674  7.87302e-07
recdev_early(-19)    -0.906492 -3.42267e-06
recdev_early(-18)     -1.01749 -8.62997e-07
recdev_early(-17)     -1.12387  5.62077e-06
recdev_early(-16)     -1.22351  5.63671e-06
recdev_early(-15)     -1.31382   -1.389e-06
recdev_early(-14)     -1.39149 -1.42873e-05
recdev_early(-13)     -1.45217  6.45409e-06
recdev_early(-12)     -1.48987 -7.01356e-06
recdev_early(-11)     -1.49604  -1.9651e-06
recdev_early(-10)     -1.45803  -9.8085e-07
recdev_early(-9)     -1.35643  1.99438e-06
recdev_early(-8)     -1.16058   4.6591e-06
recdev_early(-7)    -0.821981  5.48321e-06
recdev_early(-6)     -0.27208  3.35498e-06
recdev_early(-5)     0.453319  4.55292e-06
recdev_early(-4)      1.82696  3.08502e-05
recdev_early(-3)     0.809923  1.21028e-05
recdev_early(-2)     0.243781  1.22908e-05
recdev_early(-1)       1.3054   1.3049e-05
recdev_early(0)      1.55764  1.32884e-05
recdev1(1)    -0.098304  2.69189e-06
recdev1(2)     0.173499 -4.80439e-06
recdev1(3)      1.09619 -7.52927e-07
recdev1(4)     0.729344  -3.9117e-06
recdev1(5)     0.635544 -3.26282e-08
recdev1(6)     0.426952  -1.8806e-06
recdev1(7)    0.0609097  1.10273e-07
recdev1(8)    -0.346452 -5.14652e-06
recdev1(9)    -0.349464  1.95959e-06
recdev1(10)    -0.351844 -1.53285e-06
recdev1(11)    -0.178947 -2.78506e-06
recdev1(12)    -0.276124  5.45723e-06
recdev1(13)      1.55326  1.66685e-06
recdev1(14)      1.54803  8.65674e-07
recdev1(15)    -0.878032 -1.88622e-06
recdev1(16)     -1.22948 -4.31285e-06
recdev1(17)    -0.711357  -3.3726e-06
recdev1(18)     0.119313  2.46802e-06
recdev1(19)     0.493907  7.00718e-07
recdev1(20)    -0.235456 -1.50473e-06
recdev1(21)     0.119425  5.64195e-07
recdev1(22)    -0.160727   2.9492e-06
recdev1(23)     0.751817  2.54207e-07
recdev1(24)     0.752923   2.8059e-06
recdev1(25)     0.305423  4.72867e-07
recdev1(26)       0.4125 -1.10365e-06
recdev1(27)     -0.96678 -1.48081e-06
recdev1(28)     0.102218 -7.42389e-07
recdev1(29)    -0.255867 -3.66758e-06
recdev1(30)   -0.0335128  2.89038e-06
recdev1(31)      -0.3703 -1.66107e-08
recdev1(32)    -0.794762  2.25965e-06
recdev1(33)    -0.776353 -3.43899e-07
recdev1(34)    -0.963489  2.84211e-06
recdev1(35)    -0.282911  1.21323e-09
recdev1(36)     0.560626  1.54206e-08
recdev1(37)     0.195168  1.48458e-07
recdev1(38)     0.149301   9.8659e-07
recdev1(39)       1.3912  3.06003e-06
recdev1(40)     0.192642  1.50118e-07
recdev1(41)     -1.67685  6.15877e-07
recdev1(42)    -0.914765 -3.97994e-06
recdev1(43)     0.240235 -3.31841e-06
recdev1(44)     -1.31063  6.03086e-06
recdev1(45)     0.128331 -2.53413e-06
recdev1(46)      0.32316  1.91891e-06
recdev1(47)     -1.22998  2.28151e-06
recdev1(48)    -0.721556 -7.96968e-07
recdev1(49)     0.186071 -9.24154e-07
recdev1(50)    -0.250303  1.04107e-06
recdev1(51)     0.223749  2.34544e-06
recdev1(52)    0.0561591 -8.91424e-07
recdev1(53)    0.0290565  3.47741e-07
recdev1(54)     0.428409  -7.3994e-06
recdev1(55)    -0.304581  6.92212e-06
recdev1(56)     0.760571  8.70943e-08
recdev1(57)     0.706703  3.42349e-06
recdev1(58)     -0.25338 -5.64567e-06
recdev1(59)     0.251285  2.44651e-06
recdev1(60)      1.11446  1.63499e-07
recdev1(61)     0.325192  3.71128e-07
recdev1(62)     0.136903 -2.44503e-06
recdev1(63)    -0.237569  1.06555e-06
recdev1(64)     0.512642 -1.05987e-06
recdev1(65)      1.04676  3.55126e-06
recdev1(66)     0.881389  2.01099e-06
recdev1(67)      1.59962  2.52736e-07
recdev1(68)    -0.610668 -4.95681e-06
recdev1(69)     -1.42107  3.74432e-06
recdev1(70)     -1.32973   4.9828e-06
recdev1(71)    -0.377335 -1.39633e-06
recdev1(72)     0.210107 -6.59648e-07
recdev1(73)     -0.40614  2.81588e-06
recdev1(74)    -0.370237 -6.00169e-06
recdev1(75)    -0.375314  2.98183e-06
recdev1(76)    0.0511298 -1.20953e-06
recdev1(77)     -1.00599 -6.11883e-06
recdev1(78)    -0.601313  5.44444e-06
recdev1(79)     0.768541 -2.40163e-06
recdev1(80)     0.750218 -1.02611e-06
recdev1(81)    -0.350033 -7.32932e-06
recdev1(82)     0.230463  2.86149e-06
recdev1(83)     -1.16075 -6.05515e-06
recdev1(84)     0.591818 -1.58862e-06
recdev1(85)     0.523968  1.47545e-06
recdev1(86)     0.175017  -1.1016e-06
recdev1(87)     -0.23781  2.94371e-06
recdev1(88)    -0.702405 -6.05181e-06
recdev1(89)    -0.616206  5.64324e-06
recdev1(90)    0.0314136 -2.70978e-06
recdev1(91)     0.327401 -1.00679e-06
recdev1(92)    -0.669214 -6.36054e-06
recdev1(93)     0.413707  1.40364e-06
recdev1(94)      1.31793  1.12307e-06
recdev1(95)      1.34539 -1.78731e-06
recdev1(96)     -1.06399  5.99423e-06
Fcast_recruitments(97)   -0.0717681  4.26961e-07
Fcast_recruitments(98)    -0.535927 -1.05872e-05
Fcast_recruitments(99)     -1.32385  2.75411e-06
Fcast_recruitments(100)    -0.937419  9.24091e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      72.3066 -3.37939e-06
selparm[3]      6.73223 -7.06316e-05
