ParName   Value   Gradient
SR_parm[1]      19.9999  3.73546e-06
recdev_early(-8)   0.00504986  2.79515e-05
recdev_early(-7)    0.0054445  2.21917e-05
recdev_early(-6)   0.00585945  1.62636e-05
recdev_early(-5)   0.00629585  1.02938e-05
recdev_early(-4)   0.00675665  4.40384e-06
recdev_early(-3)   0.00724642 -1.23846e-06
recdev_early(-2)   0.00776993 -6.40454e-06
recdev_early(-1)   0.00833107 -1.07911e-05
recdev_early(0)    0.0089331 -1.40731e-05
recdev_early(1)   0.00957973 -1.66509e-05
recdev_early(2)    0.0102734 -1.69602e-05
recdev_early(3)     0.011018 -1.53911e-05
recdev_early(4)    0.0118172 -1.19658e-05
recdev_early(5)    0.0126753 -6.91757e-06
recdev_early(6)    0.0135965 -7.41377e-07
recdev_early(7)    0.0145855  5.83158e-06
recdev_early(8)    0.0156475  1.19009e-05
recdev_early(9)     0.016788  1.64878e-05
recdev_early(10)    0.0180128  1.87693e-05
recdev_early(11)    0.0193287  1.82877e-05
recdev_early(12)    0.0207426   1.5175e-05
recdev_early(13)    0.0222624  1.02897e-05
recdev_early(14)    0.0238965  5.13725e-06
recdev_early(15)    0.0256541  1.46866e-06
recdev_early(16)    0.0275449  5.58186e-07
recdev_early(17)    0.0295794  2.47981e-06
recdev_early(18)    0.0317688  5.86693e-06
recdev_early(19)    0.0341256  8.41344e-06
recdev_early(20)    0.0366632  7.88931e-06
recdev1(21)    0.0257311  -1.2158e-06
recdev1(22)    0.0286276 -8.04413e-06
recdev1(23)    0.0317493 -2.47344e-06
recdev1(24)    0.0351135  9.42555e-06
recdev1(25)    0.0387421  1.63697e-05
recdev1(26)     0.042659  9.87084e-06
recdev1(27)    0.0468772 -7.05708e-06
recdev1(28)    0.0514334 -1.87668e-05
recdev1(29)    0.0563431  -9.3652e-06
recdev1(30)    0.0616472  1.66579e-05
recdev1(31)    0.0673754  2.84346e-05
recdev1(32)    0.0735559 -4.22482e-07
recdev1(33)    0.0802471 -4.37443e-05
recdev1(34)    0.0874896 -3.24585e-05
recdev1(35)    0.0953372  3.85847e-05
recdev1(36)     0.103831  5.09869e-05
recdev1(37)     0.113013 -5.18986e-05
recdev1(38)     0.122982 -7.97457e-05
recdev1(39)     0.133804  6.13372e-05
recdev1(40)     0.145517  5.73064e-05
recdev1(41)     0.158193  -8.8366e-05
recdev1(42)      0.17194 -2.07712e-06
recdev1(43)     0.186781  2.41826e-05
recdev1(44)     0.202749  -3.3473e-06
recdev1(45)     0.219843 -8.86007e-07
recdev1(46)      0.23798   1.8609e-06
recdev1(47)     0.256966   1.2097e-05
recdev1(48)     0.276424 -2.20239e-05
recdev1(49)      0.29573   1.8259e-05
recdev1(50)     0.313851 -1.71245e-05
recdev1(51)      0.32929  4.07438e-05
recdev1(52)     0.339925  7.20335e-06
recdev1(53)     0.343137  1.25438e-05
recdev1(54)     0.336039  1.95197e-05
recdev1(55)      0.31608 -1.78033e-05
recdev1(56)     0.281759 -6.13227e-06
recdev1(57)      0.23304  2.96366e-06
recdev1(58)     0.171329 -1.86173e-05
recdev1(59)    0.0990445 -1.54223e-05
recdev1(60)    0.0188156  -5.7026e-06
recdev1(61)   -0.0647299 -1.09756e-05
recdev1(62)    -0.148853 -2.94177e-06
recdev1(63)    -0.230821  2.11342e-06
recdev1(64)    -0.307777  9.65101e-06
recdev1(65)    -0.376548  3.52115e-05
recdev1(66)    -0.433371 -3.94356e-06
recdev1(67)     -0.47345 -1.20735e-05
recdev1(68)    -0.490281 -3.15932e-05
recdev1(69)    -0.474476 -8.39649e-06
recdev1(70)    -0.411695  1.14045e-06
recdev1(71)    -0.278641  4.97732e-05
recdev1(72)   -0.0344767  2.32848e-05
recdev1(73)     0.402724 -1.46046e-05
recdev1(74)      1.07896 -9.96996e-06
recdev1(75)     0.145665  1.13388e-05
recdev1(76)    -0.305097  1.71735e-05
recdev1(77)    -0.744593 -8.77935e-06
recdev1(78)    -0.873808 -1.24191e-06
recdev1(79)    -0.236272  5.12117e-07
recdev1(80)    -0.574256  9.84897e-07
recdev1(81)    -0.553332 -1.23308e-06
recdev1(82)    -0.726349  3.31955e-06
recdev1(83)    -0.318407 -3.03374e-06
recdev1(84)       1.2715 -1.87375e-06
recdev1(85)    0.0104817  8.14964e-07
recdev1(86)    -0.115534 -2.78645e-06
recdev1(87)     0.428118  2.51055e-07
recdev1(88)     -1.22092 -6.33261e-07
recdev1(89)     -1.45423 -6.25928e-08
recdev1(90)     -1.14249  1.22061e-06
recdev1(91)      -1.1299 -1.49885e-06
recdev1(92)   -0.0771492  6.67582e-07
recdev1(93)     0.761159 -1.07468e-06
recdev1(94)      1.57614 -2.09999e-06
recdev1(95)      1.11265 -1.22674e-07
recdev1(96)     0.179066  5.59318e-07
Fcast_recruitments(97)    -0.571274  2.11375e-06
Fcast_recruitments(98)    -0.647497  1.25655e-06
Fcast_recruitments(99)    -0.298587 -5.12899e-07
Fcast_recruitments(100)   -0.0480536  2.43644e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      37.2781  6.02626e-06
selparm[3]      4.78738  -5.0467e-06
