ParName   Value   Gradient
SR_parm[1]      10.1734  3.71293e-05
recdev_early(-28)    0.0638989 -2.56041e-06
recdev_early(-27)    0.0702568 -6.71016e-07
recdev_early(-26)    0.0772762  1.44627e-06
recdev_early(-25)    0.0850221  2.38903e-06
recdev_early(-24)    0.0935761  1.21892e-06
recdev_early(-23)     0.103045 -1.37877e-06
recdev_early(-22)     0.113518 -2.87702e-06
recdev_early(-21)     0.125116 -1.12343e-06
recdev_early(-20)     0.137975  2.07768e-06
recdev_early(-19)     0.152241  1.69226e-06
recdev_early(-18)     0.168074 -1.78591e-06
recdev_early(-17)     0.185665   2.6457e-07
recdev_early(-16)     0.205218  4.45291e-06
recdev_early(-15)     0.226949 -2.21717e-06
recdev_early(-14)     0.251136   2.3711e-06
recdev_early(-13)     0.278044  3.48216e-06
recdev_early(-12)     0.307961 -1.72538e-06
recdev_early(-11)     0.341179 -1.60025e-06
recdev_early(-10)     0.377952 -1.99676e-07
recdev_early(-9)     0.418435 -1.86671e-07
recdev_early(-8)     0.462535 -3.62899e-07
recdev_early(-7)      0.50966 -1.28353e-07
recdev_early(-6)     0.558187 -9.83344e-08
recdev_early(-5)     0.604616 -1.08873e-07
recdev_early(-4)     0.642267   5.6522e-09
recdev_early(-3)     0.660628 -5.45694e-08
recdev_early(-2)     0.648445    7.798e-09
recdev_early(-1)     0.601935  4.68227e-08
recdev_early(0)     0.527523 -3.48247e-07
recdev1(1)     0.698891 -3.09599e-07
recdev1(2)     0.537889    -4.34e-07
recdev1(3)     0.392545    3.169e-06
recdev1(4)     0.255695 -1.82301e-06
recdev1(5)     0.129767  2.48238e-07
recdev1(6)    0.0142641  1.14543e-07
recdev1(7)   -0.0904207 -1.71289e-08
recdev1(8)    -0.182998  4.86639e-08
recdev1(9)     -0.26149 -1.11859e-07
recdev1(10)     -0.32331 -1.12602e-07
recdev1(11)    -0.365328 -3.50196e-07
recdev1(12)    -0.384025 -2.13039e-07
recdev1(13)    -0.375896 -1.54263e-07
recdev1(14)    -0.338323  7.07013e-08
recdev1(15)    -0.270765  -2.6159e-07
recdev1(16)    -0.173947 -3.93577e-07
recdev1(17)   -0.0414911 -1.01841e-06
recdev1(18)     0.136339  3.99923e-06
recdev1(19)     0.214916 -3.93802e-06
recdev1(20)    0.0420908  2.32364e-06
recdev1(21)    -0.249955 -7.08635e-07
recdev1(22)    -0.803662 -7.59062e-08
recdev1(23)    -0.101369  6.18949e-08
recdev1(24)    -0.391203 -6.73358e-09
recdev1(25)    -0.537374 -2.70302e-08
recdev1(26)      1.21505  1.10153e-06
recdev1(27)    -0.345971 -2.10485e-08
recdev1(28)      0.26815  2.71663e-07
recdev1(29)    -0.688461 -2.35612e-08
recdev1(30)    -0.599122 -2.61894e-08
recdev1(31)      1.57142  1.87463e-06
recdev1(32)     0.351289  4.39838e-07
recdev1(33)     0.485751  4.31768e-07
recdev1(34)       0.2753  3.91897e-07
recdev1(35)    -0.268777  8.75342e-08
recdev1(36)    -0.696924 -5.46387e-08
recdev1(37)    -0.791377  3.86561e-08
