ParName   Value   Gradient
recdev_early(-28)    0.0203843 -6.42405e-05
recdev_early(-27)    0.0223253 -6.02257e-05
recdev_early(-26)    0.0244521 -5.24168e-05
recdev_early(-25)    0.0267786 -4.08312e-05
recdev_early(-24)    0.0293237 -2.60218e-05
recdev_early(-23)    0.0321122 -9.36817e-06
recdev_early(-22)    0.0351602  6.77513e-06
recdev_early(-21)    0.0384928  1.94176e-05
recdev_early(-20)    0.0421355  2.55284e-05
recdev_early(-19)     0.046114  2.31935e-05
recdev_early(-18)    0.0504536  1.30073e-05
recdev_early(-17)    0.0551841 -1.09685e-06
recdev_early(-16)    0.0603328 -1.26659e-05
recdev_early(-15)    0.0659248 -1.60066e-05
recdev_early(-14)    0.0719913 -1.07295e-05
recdev_early(-13)    0.0785522 -3.38383e-06
recdev_early(-12)    0.0856231 -1.45542e-06
recdev_early(-11)    0.0932141 -2.38151e-06
recdev_early(-10)     0.101322  6.39202e-06
recdev_early(-9)     0.109927  2.43356e-05
recdev_early(-8)     0.118979  2.26835e-05
recdev_early(-7)     0.128403 -9.35874e-06
recdev_early(-6)     0.138095  -1.4995e-05
recdev_early(-5)     0.147929  3.44705e-05
recdev_early(-4)     0.157764  3.86856e-05
recdev_early(-3)      0.16749 -3.13629e-05
recdev_early(-2)     0.176979 -1.64819e-05
recdev_early(-1)     0.185946  3.43365e-05
recdev_early(0)     0.193898 -8.28442e-05
recdev1(1)     0.319174  4.30871e-06
recdev1(2)     0.323854 -8.60408e-06
recdev1(3)     0.324561 -4.62983e-05
recdev1(4)     0.320108  -4.2261e-06
recdev1(5)     0.309369 -1.41608e-05
recdev1(6)     0.291528 -1.92259e-06
recdev1(7)     0.266238  3.71737e-05
recdev1(8)     0.233743  3.04782e-05
recdev1(9)     0.194877  8.31779e-06
recdev1(10)     0.150867 -6.15287e-06
recdev1(11)     0.102999 -4.68884e-06
recdev1(12)    0.0522208   9.7481e-05
recdev1(13)  -0.00114331 -4.33846e-05
recdev1(14)   -0.0568735 -1.83173e-05
recdev1(15)    -0.112896 -1.54428e-05
recdev1(16)    -0.160631 -7.68673e-06
recdev1(17)    -0.178579 -9.66315e-06
recdev1(18)    -0.129256 -1.22722e-05
recdev1(19)    0.0127988  5.38003e-05
recdev1(20)    0.0599565 -3.69273e-05
recdev1(21)    -0.306982  1.31431e-05
recdev1(22)    -0.658175  6.59381e-07
recdev1(23)     -0.18568 -1.85662e-06
recdev1(24)    -0.342501  2.01344e-06
recdev1(25)    -0.794824 -1.81996e-06
recdev1(26)       1.5017  1.15714e-05
recdev1(27)    -0.322316  4.35214e-06
recdev1(28)     0.209731  2.32383e-06
recdev1(29)    -0.925131 -1.29456e-05
recdev1(30)    -0.973259 -2.82063e-08
recdev1(31)      1.78194  2.14059e-05
recdev1(32)     0.546474 -4.18935e-06
recdev1(33)     0.520891   6.3338e-06
recdev1(34)     0.413649  1.02058e-05
recdev1(35)    -0.320434 -1.22822e-05
recdev1(36)    -0.823497  9.49308e-06
recdev1(37)    -0.865602 -3.13616e-07
recdev1(38)  -0.00382724 -7.22716e-07
recdev1(39)      1.07477  1.05968e-05
recdev1(40)     0.251571  3.91533e-06
recdev1(41)    0.0139182  3.44572e-06
recdev1(42)     0.401061  4.77206e-06
recdev1(43)     0.703265  6.17662e-06
recdev1(44)    -0.473124  -2.4025e-06
recdev1(45)    -0.995431  4.40161e-06
recdev1(46)      1.39296  1.34191e-05
recdev1(47)    -0.405422  8.60488e-06
recdev1(48)    -0.685183 -3.52917e-06
recdev1(49)     -1.24087  3.69602e-06
recdev1(50)     -1.09826 -3.20588e-06
recdev1(51)    -0.624585  4.36645e-07
recdev1(52)     0.226306  2.48844e-06
recdev1(53)     0.956808   5.9366e-06
recdev1(54)      0.22917  5.07722e-07
recdev1(55)    -0.196311  -1.0112e-06
