ParName   Value   Gradient
SR_parm[1]      10.3515 -1.87668e-05
recdev_early(11)  0.000377568 -3.61298e-07
recdev_early(12)  0.000403922 -3.45722e-07
recdev_early(13)  0.000431693 -3.21931e-07
recdev_early(14)  0.000460837   -2.933e-07
recdev_early(15)  0.000491249  -2.5671e-07
recdev_early(16)  0.000522753 -2.14006e-07
recdev_early(17)  0.000555121 -1.64344e-07
recdev_early(18)  0.000588092 -1.09078e-07
recdev_early(19)  0.000621355 -4.96371e-08
recdev_early(20)  0.000654529  1.20482e-08
recdev_early(21)  0.000687159  7.33597e-08
recdev_early(22)  0.000718776  1.31711e-07
recdev_early(23)  0.000749215   1.8777e-07
recdev_early(24)  0.000779238  2.45922e-07
recdev_early(25)  0.000809269  3.06882e-07
recdev_early(26)    0.0008391  3.69291e-07
recdev_early(27)  0.000868556  4.32168e-07
recdev_early(28)  0.000896911  4.91599e-07
recdev_early(29)  0.000923838   5.4616e-07
recdev_early(30)  0.000948946  5.94688e-07
recdev_early(31)  0.000971941  6.36368e-07
recdev_early(32)  0.000992797   6.7206e-07
recdev_early(33)   0.00101167  7.03514e-07
recdev_early(34)   0.00102865  7.31552e-07
recdev_early(35)   0.00104345  7.55004e-07
recdev_early(36)   0.00105543   7.7025e-07
recdev_early(37)   0.00106368  7.71112e-07
recdev_early(38)   0.00106732  7.51497e-07
recdev_early(39)   0.00106589  7.08086e-07
recdev1(40)    0.0040732   2.2767e-06
recdev1(41)   0.00406183  2.20505e-06
recdev1(42)   0.00404587  2.11793e-06
recdev1(43)   0.00402547  2.01368e-06
recdev1(44)   0.00400076  1.88908e-06
recdev1(45)   0.00397195  1.73937e-06
recdev1(46)   0.00393965  1.56267e-06
recdev1(47)   0.00390473  1.36009e-06
recdev1(48)   0.00386792  1.13489e-06
recdev1(49)   0.00382953  8.90556e-07
recdev1(50)   0.00378929  6.30815e-07
recdev1(51)   0.00374676  3.59846e-07
recdev1(52)    0.0037021  8.36591e-08
recdev1(53)   0.00365633 -1.89925e-07
recdev1(54)    0.0036115 -4.52265e-07
recdev1(55)   0.00356962 -6.97346e-07
recdev1(56)   0.00353129 -9.23664e-07
recdev1(57)   0.00349679 -1.12799e-06
recdev1(58)    0.0034644 -1.31008e-06
recdev1(59)   0.00343274 -1.46604e-06
recdev1(60)   0.00340183 -1.59193e-06
recdev1(61)   0.00337283  -1.6936e-06
recdev1(62)   0.00334708 -1.78495e-06
recdev1(63)   0.00332631 -1.89643e-06
recdev1(64)   0.00331039 -2.07651e-06
recdev1(65)   0.00329846 -2.38842e-06
recdev1(66)   0.00328914 -2.89885e-06
recdev1(67)   0.00328043 -3.64389e-06
recdev1(68)   0.00326922 -4.58785e-06
recdev1(69)   0.00325035 -5.59353e-06
recdev1(70)   0.00321631 -6.38026e-06
recdev1(71)   0.00315786 -6.47958e-06
recdev1(72)   0.00306693 -5.21232e-06
recdev1(73)   0.00294242 -1.74524e-06
recdev1(74)   0.00279929  4.61619e-06
recdev1(75)   0.00268148  1.37023e-05
recdev1(76)    0.0026785  2.33415e-05
recdev1(77)   0.00294415  2.84549e-05
recdev1(78)   0.00371381  2.10712e-05
recdev1(79)    0.0053128 -4.86119e-06
recdev1(80)   0.00812996 -2.08807e-05
recdev1(81)    0.0125289  2.59203e-05
recdev1(82)    0.0185998 -7.23222e-05
recdev1(83)    0.0259456  8.85764e-07
recdev1(84)    0.0331347  1.55333e-05
recdev1(85)    0.0372127 -3.25247e-06
recdev1(86)    0.0332666 -2.44979e-05
recdev1(87)    0.0148509  2.55053e-05
recdev1(88)   -0.0235361  6.11763e-07
recdev1(89)   -0.0811303   -1.048e-06
recdev1(90)    -0.144494 -1.28886e-07
recdev1(91)    -0.182822  9.20248e-08
recdev1(92)    -0.146898  3.49543e-07
recdev1(93)    0.0133227  3.30015e-07
recdev1(94)     0.176272  1.10769e-06
recdev1(95)   0.00532106  1.66805e-06
recdev1(96)    0.0589141  6.94481e-07
Fcast_recruitments(97)     0.128085  1.54553e-07
Fcast_recruitments(98)  0.000325371 -4.81758e-06
Fcast_recruitments(99) -5.35747e-08  1.21091e-09
Fcast_recruitments(100) -4.84496e-08  1.05433e-09
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      29.5891  2.91763e-06
selparm[3]    0.0137467 -8.62213e-08
