ParName   Value   Gradient
SR_parm[1]       10.026  -0.00445173
recdev_early(-28)    0.0911081 -1.09302e-06
recdev_early(-27)    0.0999528 -3.18142e-07
recdev_early(-26)     0.109613 -6.10861e-07
recdev_early(-25)     0.120134  -2.2424e-06
recdev_early(-24)     0.131549 -1.86735e-06
recdev_early(-23)     0.143862 -1.74702e-06
recdev_early(-22)     0.157042  1.35435e-07
recdev_early(-21)     0.170994 -2.17856e-06
recdev_early(-20)     0.185535 -1.92652e-06
recdev_early(-19)     0.200352 -2.06986e-06
recdev_early(-18)     0.214946 -2.55893e-06
recdev_early(-17)     0.228587  -2.7557e-06
recdev_early(-16)     0.240261 -2.46745e-06
recdev_early(-15)     0.248683 -3.19389e-06
recdev_early(-14)     0.252404  -4.0485e-06
recdev_early(-13)     0.250121  -5.2151e-06
recdev_early(-12)     0.241249 -3.64401e-06
recdev_early(-11)     0.226721 -4.92689e-06
recdev_early(-10)     0.209911 -4.90222e-06
recdev_early(-9)     0.197409 -5.96479e-06
recdev_early(-8)     0.199141 -8.01389e-06
recdev_early(-7)     0.226383 -1.10526e-05
recdev_early(-6)      2.49075   -9.967e-05
recdev_early(-5)     0.333466 -1.56476e-05
recdev_early(-4)     0.435194 -2.07316e-05
recdev_early(-3)     0.419148 -2.88766e-05
recdev_early(-2)    0.0798801 -1.79099e-05
recdev_early(-1)     0.548077 -2.63409e-05
recdev_early(0)     0.539944 -2.13389e-05
recdev1(1)     0.119869  2.09198e-05
recdev1(2)   -0.0139672  2.25886e-05
recdev1(3)     0.025196  2.19722e-05
recdev1(4)      1.60532 -2.11002e-05
recdev1(5)     -0.45336  2.54048e-05
recdev1(6)    -0.690318  2.69965e-05
recdev1(7)    -0.106684  2.11721e-05
recdev1(8)     0.217008  1.28081e-05
recdev1(9)     0.253812  1.45647e-05
recdev1(10)    -0.419682  2.22553e-05
recdev1(11)    -0.615592  2.31008e-05
recdev1(12)     0.884446 -1.63291e-05
recdev1(13)    -0.275446  1.63316e-05
recdev1(14)    -0.627067   1.9984e-05
recdev1(15)    -0.307145  1.57074e-05
recdev1(16)    -0.152463  9.78683e-06
recdev1(17)     0.787334 -2.79804e-05
recdev1(18)    0.0906469 -7.22951e-07
recdev1(19)     0.477525 -1.88515e-05
recdev1(20)     -0.30567  7.88283e-06
recdev1(21)    0.0432333 -1.79401e-06
recdev1(22)    -0.228278  4.63609e-06
recdev1(23)   -0.0528333 -1.64746e-06
recdev1(24)    -0.717887  1.66124e-05
recdev1(25)    -0.825013  1.38015e-05
recdev1(26)      1.51891 -0.000150731
recdev1(27)       0.3705 -2.96656e-05
recdev1(28)    -0.739245  1.16292e-05
recdev1(29)     -0.65883  8.94036e-06
recdev1(30)     -0.72272   9.9402e-06
recdev1(31)      1.68336 -0.000216469
recdev1(32)     0.983343 -9.97404e-05
recdev1(33)    -0.143106  -1.2646e-05
recdev1(34)     0.318961 -4.00646e-05
recdev1(35)    -0.315634 -7.65967e-06
recdev1(36)    -0.460205 -3.16636e-06
recdev1(37)    -0.647634  2.84567e-06
recdev1(38)    -0.464936 -3.99532e-06
recdev1(39)      1.24245 -0.000157847
recdev1(40)   -0.0386584 -2.22966e-05
recdev1(41)    0.0224624 -2.69163e-05
recdev1(42)     0.164664 -3.46706e-05
recdev1(43)     0.910213 -0.000106791
recdev1(44)    -0.438721 -4.54541e-06
recdev1(45)    -0.672229  2.75356e-06
recdev1(46)      1.26032 -0.000153902
recdev1(47)    -0.320146 -5.53356e-06
recdev1(48)     -0.65381  3.11842e-06
recdev1(49)     -0.99368  1.23032e-05
recdev1(50)     -1.02519  1.27217e-05
recdev1(51)     -0.51195  3.64708e-06
recdev1(52)     0.440746 -3.55529e-05
recdev1(53)     0.847257 -6.11671e-05
recdev1(54)     0.508711 -3.29229e-05
recdev1(55)    -0.298253  6.24455e-06
recdev1(56)   -0.0101497   2.0964e-06
recdev1(57)    -0.594971  1.78506e-05
recdev1(58)    -0.552512  1.66511e-05
recdev1(59)     0.624309 -1.32003e-05
recdev1(60)    -0.640391  1.89316e-05
recdev1(61)      1.49483 -6.20821e-05
recdev1(62)   -0.0593473  1.27874e-05
recdev1(63)    0.0788564  1.34077e-05
recdev1(64)    -0.564157  2.13038e-05
recdev1(65)    -0.573987  2.28237e-05
recdev1(66)     -0.96792  2.52131e-05
recdev1(67)     -0.23286  2.20139e-05
recdev1(68)     0.275785   1.7682e-05
recdev1(69)     0.206442  2.27418e-05
recdev1(70)    -0.653569  2.89092e-05
recdev1(71)     -0.69692  2.87732e-05
recdev1(72)    -0.388527  2.68072e-05
recdev1(73)      1.11918  1.45925e-05
recdev1(74)    -0.744062  2.85564e-05
recdev1(75)    -0.225813  2.88862e-05
recdev1(76)      1.47975  1.07824e-05
recdev1(77)    -0.169093  2.85482e-05
recdev1(78)    -0.934241  3.13072e-05
recdev1(79)    -0.572033  3.01986e-05
recdev1(80)     0.322991  2.82875e-05
recdev1(81)    -0.332181  2.92783e-05
recdev1(82)    -0.475423  3.29279e-05
recdev1(83)    -0.304212  3.21332e-05
recdev1(84)   0.00488103  3.20919e-05
recdev1(85)      1.21587  3.22059e-05
recdev1(86)  -0.00864265  3.31462e-05
recdev1(87)     0.751099  3.39481e-05
recdev1(88)     0.518391  3.16937e-05
recdev1(89)    -0.279728  3.38353e-05
recdev1(90)    -0.992768  3.20371e-05
recdev1(91)    -0.508602  3.33575e-05
recdev1(92)    -0.392758  3.32929e-05
recdev1(93)   -0.0979226  3.33399e-05
recdev1(94)      1.01525  3.49007e-05
recdev1(95)      1.74952  3.57347e-05
recdev1(96)      1.23571  3.58246e-05
Fcast_recruitments(97)    -0.364433   5.3281e-06
Fcast_recruitments(98)    -0.945704 -3.09036e-08
Fcast_recruitments(99)    -0.399628 -5.22291e-07
Fcast_recruitments(100)   -0.0677011  3.98487e-07
Fcast_recruitments(101)            0            0
