ParName   Value   Gradient
recdev_early(-28)     0.107517 -5.53152e-06
recdev_early(-27)     0.117997 -4.54427e-06
recdev_early(-26)     0.129445 -2.99835e-06
recdev_early(-25)     0.141913  6.21451e-06
recdev_early(-24)     0.155433  3.41632e-06
recdev_early(-23)     0.170005 -3.53745e-06
recdev_early(-22)     0.185583 -3.99943e-06
recdev_early(-21)      0.20204  -4.4416e-06
recdev_early(-20)     0.219133 -4.01733e-06
recdev_early(-19)     0.236453  9.21427e-07
recdev_early(-18)     0.253355 -9.89861e-06
recdev_early(-17)     0.268905  4.73538e-07
recdev_early(-16)     0.281816  -6.3897e-06
recdev_early(-15)     0.290492 -2.42533e-06
recdev_early(-14)     0.293188 -9.90888e-06
recdev_early(-13)     0.288429 -5.43509e-06
recdev_early(-12)     0.275661 -4.46545e-06
recdev_early(-11)     0.256058 -3.72841e-06
recdev_early(-10)      0.23327 -6.15931e-06
recdev_early(-9)     0.213928 -8.44515e-06
recdev_early(-8)      0.20763 -9.69572e-06
recdev_early(-7)     0.225513 -9.23273e-06
recdev_early(-6)      2.52787  -0.00011851
recdev_early(-5)     0.329683 -2.10302e-05
recdev_early(-4)     0.455792 -2.84174e-05
recdev_early(-3)     0.456658  -3.0266e-05
recdev_early(-2)     0.110927 -2.27555e-05
recdev_early(-1)     0.564706 -3.45713e-05
recdev_early(0)      0.60395 -3.37082e-05
recdev1(1)    0.0867583   3.4493e-05
recdev1(2)    0.0231412  2.87498e-05
recdev1(3)   -0.0321502  3.30995e-05
recdev1(4)      1.65313  -3.9403e-05
recdev1(5)    -0.554961   3.6268e-05
recdev1(6)    -0.726785    4.168e-05
recdev1(7)   -0.0729794  3.65595e-05
recdev1(8)      0.23259  1.87964e-05
recdev1(9)     0.292245  6.44429e-06
recdev1(10)    -0.419068  4.07056e-05
recdev1(11)    -0.682227  4.85245e-05
recdev1(12)     0.936877 -2.55309e-05
recdev1(13)     -0.29706  1.06533e-05
recdev1(14)    -0.632899  2.13139e-05
recdev1(15)    -0.269399  2.78535e-05
recdev1(16)    -0.163341  2.52323e-05
recdev1(17)     0.835967 -5.03283e-05
recdev1(18)    0.0686789   5.2213e-06
recdev1(19)     0.535439  -2.6717e-05
recdev1(20)    -0.338524  6.34119e-06
recdev1(21)    0.0936956 -4.22562e-06
recdev1(22)     -0.23191  6.52905e-06
recdev1(23)   -0.0021339 -3.47302e-06
recdev1(24)    -0.719382  1.29806e-05
recdev1(25)    -0.888929  2.00941e-05
recdev1(26)      1.55857 -0.000219655
recdev1(27)     0.393139 -4.77071e-05
recdev1(28)    -0.771958  1.36916e-05
recdev1(29)      -0.6205  1.93694e-05
recdev1(30)    -0.781071   1.1812e-05
recdev1(31)      1.71976 -0.000321262
recdev1(32)      1.00978 -0.000148872
recdev1(33)    -0.183017 -1.25145e-05
recdev1(34)     0.368204 -6.39701e-05
recdev1(35)    -0.320062 -6.92218e-06
recdev1(36)    -0.431975  5.51748e-06
recdev1(37)    -0.631847 -4.08715e-06
recdev1(38)    -0.484652 -7.36008e-06
recdev1(39)      1.28118 -0.000232854
recdev1(40)   -0.0560271 -2.84352e-05
recdev1(41)    0.0564762 -4.21597e-05
recdev1(42)     0.169865  -4.3053e-05
recdev1(43)     0.943022 -0.000155256
recdev1(44)    -0.457334 -8.08616e-06
recdev1(45)    -0.719388  1.14021e-05
recdev1(46)      1.28564 -0.000225755
recdev1(47)    -0.362345  -1.3043e-05
recdev1(48)    -0.646971  1.19579e-05
recdev1(49)     -1.00462   1.9925e-05
recdev1(50)     -1.03543  2.85717e-05
recdev1(51)    -0.511932   5.1178e-07
recdev1(52)     0.448191 -4.79826e-05
recdev1(53)     0.854027 -9.20051e-05
recdev1(54)      0.52152 -4.76331e-05
recdev1(55)    -0.291864  1.28238e-05
recdev1(56)  -0.00348908 -1.98598e-07
recdev1(57)    -0.578563  1.79212e-05
recdev1(58)    -0.570293  2.77468e-05
recdev1(59)     0.650697 -2.13019e-05
recdev1(60)    -0.711719  2.49557e-05
