ParName   Value   Gradient
SR_parm[1]      10.4882 -1.47608e-05
recdev_early(-28)            5   5.7118e-06
recdev_early(-27)     0.334337 -2.61575e-07
recdev_early(-26)     0.292129 -2.53994e-07
recdev_early(-25)     0.237684 -1.28286e-07
recdev_early(-24)     0.172792 -8.36757e-08
recdev_early(-23)     0.099679 -1.92228e-07
recdev_early(-22)    0.0206869  5.61892e-07
recdev_early(-21)   -0.0618733 -1.47234e-06
recdev_early(-20)    -0.145752  7.75526e-07
recdev_early(-19)    -0.228711  5.30077e-07
recdev_early(-18)    -0.308425 -1.13042e-06
recdev_early(-17)    -0.382355 -9.26744e-08
recdev_early(-16)    -0.447578 -9.71388e-07
recdev_early(-15)     -0.50058 -1.97908e-07
recdev_early(-14)    -0.542019  5.91438e-08
recdev_early(-13)    -0.561404  1.05492e-06
recdev_early(-12)    -0.550825 -7.44946e-07
recdev_early(-11)     -0.49991 -8.28974e-07
recdev_early(-10)    -0.395843 -3.22425e-07
recdev_early(-9)    -0.227469  9.28587e-07
recdev_early(-8)   -0.0105272  6.27423e-07
recdev_early(-7)      3.44657 -4.51587e-07
recdev_early(-6)     0.025313 -5.87337e-08
recdev_early(-5)   -0.0794896  1.24685e-06
recdev_early(-4)    0.0829489  3.72333e-07
recdev_early(-3)     0.665227  1.32718e-06
recdev_early(-2)     0.738397  2.37383e-06
recdev_early(-1)     0.940803  1.73784e-06
recdev_early(0)     0.370486  2.55371e-06
recdev1(1)     0.170908  4.00857e-07
recdev1(2)    0.0444636 -9.17165e-07
recdev1(3)      1.60463  -4.6657e-07
recdev1(4)     0.775153 -2.60961e-07
recdev1(5)    -0.973886  1.50388e-07
recdev1(6)    -0.723732  3.29653e-07
recdev1(7)     0.153089 -1.20927e-06
recdev1(8)     0.403856 -5.16132e-07
recdev1(9)   -0.0318541 -5.57421e-07
recdev1(10)    -0.486143 -6.60268e-07
recdev1(11)     0.562637  5.65676e-07
recdev1(12)     0.650693  5.64471e-08
recdev1(13)    -0.783227   5.3358e-07
recdev1(14)    -0.561378  1.17184e-06
recdev1(15)   -0.0428534  3.26768e-07
recdev1(16)     0.701883  3.26248e-07
recdev1(17)      0.76675 -1.03184e-06
recdev1(18)    0.0856754  -2.3765e-07
recdev1(19)     0.152877  5.24488e-07
recdev1(20)    -0.367065 -7.34406e-07
recdev1(21)   -0.0531379  8.76151e-07
recdev1(22)     -0.18337  1.67079e-07
recdev1(23)    -0.278919  4.87642e-07
recdev1(24)    -0.779993  6.11926e-07
recdev1(25)      1.22638 -5.66707e-07
recdev1(26)      1.14181 -1.22648e-07
recdev1(27)     -1.06864 -1.91261e-06
recdev1(28)      -1.2244 -8.77643e-07
recdev1(29)    -0.863123  6.91128e-07
recdev1(30)      1.16277 -7.74678e-07
recdev1(31)      1.45446 -4.75074e-08
recdev1(32)    -0.702384 -1.15363e-06
recdev1(33)    -0.764227  3.08095e-07
recdev1(34)    -0.412938  4.52931e-07
recdev1(35)     -0.88867 -1.73109e-06
recdev1(36)    -0.802842  1.59166e-06
recdev1(37)    -0.789967 -1.08976e-06
recdev1(38)     0.865196  1.81553e-08
recdev1(39)     0.757517 -1.36449e-07
recdev1(40)    -0.812414 -3.22958e-06
recdev1(41)    -0.254288  1.69336e-06
recdev1(42)      0.56237  -4.6644e-07
recdev1(43)     0.153472 -2.08287e-07
recdev1(44)     -1.16507  4.60794e-06
recdev1(45)     0.577466 -7.55679e-07
recdev1(46)     0.435148  8.05758e-09
recdev1(47)     -1.61096  6.66702e-07
recdev1(48)     -1.46443 -5.73513e-07
recdev1(49)     -1.29571  6.74908e-07
recdev1(50)    -0.820462 -7.30772e-07
recdev1(51)     0.251115 -1.05108e-06
recdev1(52)      0.94067 -1.14567e-06
recdev1(53)     0.523889 -3.39135e-07
recdev1(54)    -0.303697   1.8719e-08
