ParName   Value   Gradient
SR_parm[1]      10.0244   0.00109185
recdev_early(-28)     0.185026  3.42505e-07
recdev_early(-27)     0.201759 -9.47443e-07
recdev_early(-26)     0.220139  7.24396e-07
recdev_early(-25)     0.240329  1.85785e-06
recdev_early(-24)     0.262503  7.21854e-07
recdev_early(-23)     0.286826  3.45102e-07
recdev_early(-22)     0.313448  1.41006e-06
recdev_early(-21)     0.342469   4.1946e-07
recdev_early(-20)     0.373892 -4.82096e-08
recdev_early(-19)     0.407527  2.84515e-07
recdev_early(-18)     0.442833  1.34619e-06
recdev_early(-17)     0.478649  1.70243e-06
recdev_early(-16)     0.512773 -4.16981e-07
recdev_early(-15)     0.541417  5.99409e-07
recdev_early(-14)     0.577849  4.61615e-07
recdev_early(-13)     0.597882   1.1737e-06
recdev_early(-12)     0.590531  1.10172e-06
recdev_early(-11)     0.550384  1.10958e-06
recdev_early(-10)     0.482286  1.79387e-07
recdev_early(-9)     0.397702  1.48812e-06
recdev_early(-8)     0.310608  1.44294e-06
recdev_early(-7)     0.238573  1.47178e-06
recdev_early(-6)       2.8101  1.77376e-05
recdev_early(-5)     0.268078  1.53932e-06
recdev_early(-4)      0.51159  2.29654e-06
recdev_early(-3)     0.624916  1.27868e-06
recdev_early(-2)     0.142354  1.59017e-06
recdev_early(-1)     0.612202  4.40623e-06
recdev_early(0)     0.552566  4.26922e-06
recdev1(1)     0.125803 -4.62772e-06
recdev1(2)   -0.0176709 -4.99355e-06
recdev1(3)    0.0329475 -5.22974e-06
recdev1(4)      1.59929  6.59623e-06
recdev1(5)     -0.44005 -7.27565e-06
recdev1(6)    -0.684514 -8.10072e-06
recdev1(7)    -0.110141 -7.11677e-06
recdev1(8)     0.215499 -2.79045e-06
recdev1(9)      0.24963 -3.10264e-06
recdev1(10)    -0.418361 -5.81499e-06
recdev1(11)    -0.606043 -5.98031e-06
recdev1(12)     0.878257  4.12873e-06
recdev1(13)    -0.271428 -4.05497e-06
recdev1(14)     -0.62491 -4.75632e-06
recdev1(15)    -0.310593 -2.56115e-06
recdev1(16)    -0.149926 -1.51514e-06
recdev1(17)     0.782331  8.11267e-06
recdev1(18)    0.0951193   9.6297e-07
recdev1(19)     0.471816  5.78561e-06
recdev1(20)    -0.300046 -2.91079e-06
recdev1(21)    0.0385668  5.32108e-07
recdev1(22)    -0.226351 -2.14298e-07
recdev1(23)   -0.0575451 -1.92679e-06
recdev1(24)    -0.715486 -4.76591e-06
recdev1(25)    -0.814617 -3.14791e-06
recdev1(26)       1.5152  3.76463e-05
recdev1(27)     0.369314  7.80631e-06
recdev1(28)    -0.733364 -5.10439e-07
recdev1(29)    -0.661232 -1.28952e-06
recdev1(30)    -0.713264 -3.01523e-06
recdev1(31)      1.68012   5.3362e-05
recdev1(32)     0.980928  2.54474e-05
recdev1(33)    -0.137066  4.84142e-06
recdev1(34)     0.313593  1.11516e-05
recdev1(35)    -0.313879  3.57376e-07
recdev1(36)    -0.462424 -2.12347e-07
recdev1(37)    -0.648292 -1.13212e-06
recdev1(38)    -0.460993  1.50027e-06
recdev1(39)      1.23834  4.02267e-05
recdev1(40)   -0.0352415  5.45525e-06
recdev1(41)     0.019126   6.2544e-06
recdev1(42)     0.165077  9.03539e-06
recdev1(43)     0.906109  2.75186e-05
recdev1(44)    -0.436588  2.59891e-07
recdev1(45)    -0.665784 -6.17224e-07
recdev1(46)      1.25606  3.86088e-05
recdev1(47)    -0.316774  1.70699e-06
recdev1(48)    -0.656673  1.01523e-07
recdev1(49)    -0.994172 -4.09132e-06
recdev1(50)     -1.02548 -4.13257e-06
recdev1(51)    -0.513509  -1.3286e-06
recdev1(52)     0.438173  9.08455e-06
recdev1(53)     0.845108  1.49675e-05
recdev1(54)     0.505651  7.78755e-06
recdev1(55)    -0.297301 -2.21624e-06
recdev1(56)   -0.0141309 -6.59903e-07
recdev1(57)    -0.595552 -3.49522e-06
recdev1(58)    -0.551453  -6.4202e-06
recdev1(59)     0.619744  2.84937e-06
recdev1(60)    -0.631182 -4.99795e-06
recdev1(61)      1.49086  1.32368e-05
recdev1(62)   -0.0564667 -5.90358e-06
recdev1(63)     0.074285 -1.21936e-06
recdev1(64)    -0.563313 -5.48485e-06
recdev1(65)    -0.577894 -5.31784e-06
recdev1(66)    -0.965846 -6.26267e-06
recdev1(67)    -0.235943 -7.82824e-06
recdev1(68)     0.273746 -5.71556e-06
recdev1(69)     0.203375 -5.34476e-06
recdev1(70)    -0.653414 -6.05867e-06
recdev1(71)    -0.699055 -8.11688e-06
recdev1(72)     -0.38784  -5.9697e-06
recdev1(73)      1.11543 -5.20234e-06
recdev1(74)      -0.7376 -6.89675e-06
recdev1(75)    -0.226196 -7.54417e-06
recdev1(76)      1.47647 -4.60179e-06
recdev1(77)    -0.169111 -6.35517e-06
recdev1(78)    -0.931078 -6.94216e-06
recdev1(79)    -0.572156 -6.84368e-06
recdev1(80)     0.319358 -7.43083e-06
recdev1(81)    -0.331972  -7.6299e-06
recdev1(82)    -0.476508 -8.26699e-06
recdev1(83)    -0.305956 -8.98303e-06
recdev1(84)   0.00515612 -6.30348e-06
recdev1(85)      1.21305  -8.8947e-06
recdev1(86)  -0.00557069 -7.66642e-06
recdev1(87)     0.748729 -7.98941e-06
recdev1(88)     0.516863 -8.50107e-06
recdev1(89)     -0.28081 -8.46901e-06
recdev1(90)    -0.988207 -6.78877e-06
recdev1(91)     -0.51037 -7.56122e-06
recdev1(92)    -0.393046 -8.98357e-06
recdev1(93)   -0.0975878 -8.13444e-06
recdev1(94)       1.0143  -8.4616e-06
recdev1(95)      1.74853 -8.44501e-06
recdev1(96)      1.23602 -1.02782e-05
Fcast_recruitments(97)    -0.357171 -6.07892e-06
Fcast_recruitments(98)    -0.891902  4.15951e-07
Fcast_recruitments(99)    -0.313642  2.37269e-07
Fcast_recruitments(100)   -0.0879493 -5.55168e-08
Fcast_recruitments(101)            0            0
