ParName   Value   Gradient
recdev_early(-28)     0.198509  2.76586e-07
recdev_early(-27)     0.216584  9.56566e-10
recdev_early(-26)     0.236458  7.68707e-08
recdev_early(-25)     0.258313 -2.20629e-07
recdev_early(-24)     0.282338  -4.3715e-07
recdev_early(-23)     0.308722 -1.49455e-07
recdev_early(-22)     0.337634 -2.33211e-07
recdev_early(-21)     0.369193 -1.68903e-06
recdev_early(-20)     0.403404  -2.8349e-07
recdev_early(-19)     0.440054 -1.09911e-06
recdev_early(-18)     0.478515 -3.73794e-07
recdev_early(-17)     0.517412 -5.64276e-08
recdev_early(-16)     0.554067 -9.25706e-07
recdev_early(-15)     0.583815 -8.05425e-07
recdev_early(-14)     0.622344 -9.02084e-07
recdev_early(-13)     0.640636 -1.07021e-06
recdev_early(-12)     0.626205 -1.24936e-06
recdev_early(-11)     0.575805 -1.46435e-06
recdev_early(-10)     0.498003 -2.12339e-07
recdev_early(-9)     0.405715 -1.09577e-06
recdev_early(-8)     0.312517 -5.05216e-07
recdev_early(-7)     0.235571 -8.10083e-07
recdev_early(-6)      2.84501 -8.08682e-06
recdev_early(-5)     0.264518 -2.08341e-07
recdev_early(-4)     0.523829 -6.05261e-07
recdev_early(-3)     0.665796 -1.78994e-06
recdev_early(-2)     0.174138 -1.28652e-06
recdev_early(-1)     0.627271 -1.27819e-06
recdev_early(0)     0.627896  -2.1053e-06
recdev1(1)     0.082835  1.18021e-06
recdev1(2)    0.0265716  1.70972e-06
recdev1(3)   -0.0398073  1.20772e-06
recdev1(4)      1.65721 -1.84895e-06
recdev1(5)     -0.56735  3.07038e-06
recdev1(6)    -0.731293  2.93642e-06
recdev1(7)   -0.0700396  1.22636e-06
recdev1(8)     0.233086  8.33246e-07
recdev1(9)      0.29525 -5.91533e-07
recdev1(10)    -0.419779    7.092e-07
recdev1(11)     -0.69067   1.5019e-06
recdev1(12)     0.941287 -1.15438e-06
recdev1(13)    -0.300468  2.13867e-06
recdev1(14)    -0.634437  1.66969e-06
recdev1(15)    -0.266194  1.98074e-06
recdev1(16)    -0.165728  1.77899e-06
recdev1(17)     0.839917  -2.7139e-06
recdev1(18)    0.0647492   2.6541e-07
recdev1(19)      0.54032 -3.22176e-06
recdev1(20)    -0.343695  4.64783e-07
recdev1(21)    0.0981676 -2.10707e-07
recdev1(22)    -0.233619  1.08147e-06
recdev1(23)   0.00217584  3.06692e-07
recdev1(24)    -0.720449  1.58269e-06
recdev1(25)    -0.896833  1.36295e-06
recdev1(26)      1.56179 -1.35985e-05
recdev1(27)     0.395107 -2.65709e-06
recdev1(28)    -0.776604  8.99362e-07
recdev1(29)    -0.616695    6.865e-07
recdev1(30)    -0.788495  1.17753e-06
recdev1(31)       1.7228 -1.94558e-05
recdev1(32)      1.01249 -8.99839e-06
recdev1(33)    -0.187752 -2.08675e-07
recdev1(34)     0.373189 -3.38901e-06
recdev1(35)    -0.321299 -1.15034e-06
recdev1(36)    -0.429377 -5.90035e-07
recdev1(37)    -0.630547   -5.987e-07
recdev1(38)    -0.487243  1.35553e-06
recdev1(39)      1.28466 -1.51451e-05
recdev1(40)   -0.0584257 -2.07781e-06
recdev1(41)    0.0597314 -2.08371e-06
recdev1(42)     0.169867 -2.76319e-06
recdev1(43)     0.946359 -1.03116e-05
recdev1(44)    -0.458397  -2.3045e-08
recdev1(45)    -0.724056  1.32773e-06
recdev1(46)        1.289 -1.42285e-05
recdev1(47)    -0.365031 -3.64945e-07
recdev1(48)    -0.644238 -4.60261e-07
recdev1(49)     -1.00413  1.40375e-06
recdev1(50)     -1.03493  1.93183e-06
recdev1(51)    -0.510584 -1.11302e-06
recdev1(52)     0.450154 -3.36542e-06
recdev1(53)      0.85566 -5.47433e-06
recdev1(54)     0.523791 -2.69609e-06
recdev1(55)    -0.292432 -4.74693e-07
recdev1(56) -0.000674233 -8.18929e-08
recdev1(57)    -0.577956  1.66923e-06
recdev1(58)     -0.57122  1.51356e-06
recdev1(59)     0.653904 -1.27916e-06
recdev1(60)    -0.719229  2.79961e-06
recdev1(61)      1.52219 -5.72432e-06
recdev1(62)   -0.0891945  2.03486e-06
recdev1(63)     0.106911  2.37067e-06
recdev1(64)    -0.580911  2.08867e-06
recdev1(65)    -0.549529   4.2034e-07
recdev1(66)    -0.986512   1.8223e-06
recdev1(67)    -0.216178  1.46286e-06
recdev1(68)     0.303588   1.9841e-06
recdev1(69)      0.20414  1.80663e-06
recdev1(70)    -0.640363  2.35384e-06
recdev1(71)    -0.682555  2.39772e-06
recdev1(72)    -0.412549  3.28349e-06
recdev1(73)      1.13761  1.27888e-06
recdev1(74)     -0.81149  1.96561e-06
recdev1(75)    -0.236218  2.64103e-06
recdev1(76)      1.49022  9.75778e-07
recdev1(77)    -0.192644  3.11115e-06
recdev1(78)     -1.02619  2.73004e-06
recdev1(79)    -0.488703  3.65214e-06
recdev1(80)     0.314279  2.03258e-06
recdev1(81)    -0.329644  2.30211e-06
recdev1(82)    -0.481906  2.84984e-06
recdev1(83)     -0.31201  3.80752e-06
recdev1(84)    0.0227946  3.38753e-06
recdev1(85)      1.23254   3.1457e-06
recdev1(86)   -0.0728281  3.17837e-06
recdev1(87)     0.811918  3.37174e-06
recdev1(88)      0.46601  2.62818e-06
recdev1(89)    -0.197668  3.27207e-06
recdev1(90)      -1.0789  2.85439e-06
