ParName   Value   Gradient
SR_parm[1]      10.3107  4.00852e-05
recdev_early(-8)  -0.00178771  1.98667e-07
recdev_early(-7)  -0.00191153  2.02094e-07
recdev_early(-6)  -0.00204242  2.04314e-07
recdev_early(-5)  -0.00218111  2.05124e-07
recdev_early(-4)  -0.00232825  2.04344e-07
recdev_early(-3)  -0.00248438  2.01846e-07
recdev_early(-2)  -0.00264997  1.97576e-07
recdev_early(-1)  -0.00282539  1.91591e-07
recdev_early(0)  -0.00218822  2.04415e-07
recdev_early(1)  -0.00233085  1.99294e-07
recdev_early(2)  -0.00248117  1.92047e-07
recdev_early(3)  -0.00263946  1.82405e-07
recdev_early(4)  -0.00280583  1.70553e-07
recdev_early(5)   -0.0029803  1.56883e-07
recdev_early(6)  -0.00316282  1.42047e-07
recdev_early(7)  -0.00335317   1.2698e-07
recdev_early(8)  -0.00355101  1.12928e-07
recdev_early(9)  -0.00375582  1.01423e-07
recdev_early(10)  -0.00396703  9.42343e-08
recdev_early(11)  -0.00418392  9.32539e-08
recdev_early(12)  -0.00440558  1.00316e-07
recdev_early(13)  -0.00463112  1.16995e-07
recdev_early(14)  -0.00485955  1.44434e-07
recdev_early(15)  -0.00508983  1.83265e-07
recdev_early(16)  -0.00532099  2.33644e-07
recdev_early(17)  -0.00555215  2.95323e-07
recdev_early(18)  -0.00578268  3.67698e-07
recdev_early(19)  -0.00601231  4.49877e-07
recdev_early(20)  -0.00624123  5.40707e-07
recdev1(21)  -0.00894318  9.30376e-08
recdev1(22)  -0.00916741  1.02103e-07
recdev1(23)  -0.00939676  1.14533e-07
recdev1(24)  -0.00962556  1.30952e-07
recdev1(25)  -0.00985323  1.51365e-07
recdev1(26)   -0.0100767  1.75636e-07
recdev1(27)   -0.0102948  2.03021e-07
recdev1(28)   -0.0105018  2.33315e-07
recdev1(29)   -0.0106948  2.64847e-07
recdev1(30)   -0.0108701  2.95789e-07
recdev1(31)   -0.0110243  3.24374e-07
recdev1(32)   -0.0111536  3.49191e-07
recdev1(33)   -0.0112557  3.69207e-07
recdev1(34)    -0.011328  3.83941e-07
recdev1(35)   -0.0113653  3.93662e-07
recdev1(36)   -0.0113677  3.98662e-07
recdev1(37)    -0.011333  3.99868e-07
recdev1(38)   -0.0112642    3.981e-07
recdev1(39)   -0.0111652  3.94256e-07
recdev1(40)   -0.0110489  3.88531e-07
recdev1(41)    -0.010937  3.80485e-07
recdev1(42)   -0.0108617  3.69255e-07
recdev1(43)   -0.0108675   3.5482e-07
recdev1(44)   -0.0110099  3.41278e-07
recdev1(45)   -0.0113516  3.42832e-07
recdev1(46)   -0.0119513  3.88182e-07
recdev1(47)   -0.0128473  5.03161e-07
recdev1(48)   -0.0140326  6.37444e-07
recdev1(49)   -0.0154235  5.78017e-07
recdev1(50)   -0.0168268  1.04315e-07
recdev1(51)   -0.0179163 -5.33777e-07
recdev1(52)   -0.0182313 -6.17433e-07
recdev1(53)   -0.0172143  6.08819e-08
recdev1(54)   -0.0142876  2.14213e-07
recdev1(55)  -0.00895573  9.05019e-08
recdev1(56) -0.000911926  -7.2633e-07
recdev1(57)   0.00988467  1.73119e-06
recdev1(58)    0.0231175 -2.67975e-07
recdev1(59)    0.0378666  1.09487e-06
recdev1(60)    0.0521911 -4.22734e-07
recdev1(61)    0.0626564 -8.93098e-07
recdev1(62)      0.06457 -8.13319e-07
recdev1(63)    0.0545381 -7.25871e-07
recdev1(64)    0.0348765  5.62123e-07
recdev1(65)    0.0181152 -7.90791e-08
recdev1(66)     0.027158  1.84282e-07
recdev1(67)    0.0923836  2.07668e-07
recdev1(68)     0.249337  3.93905e-07
recdev1(69)      0.53234  5.99984e-07
recdev1(70)       0.7768  1.05262e-06
recdev1(71)       0.4477  5.70592e-07
recdev1(72)     0.224764  1.59326e-07
recdev1(73)     0.159039 -6.68874e-08
recdev1(74)     0.107131 -5.81723e-07
recdev1(75)     0.153995  -1.0143e-06
recdev1(76)     0.184443 -1.18279e-06
recdev1(77)    -0.224013 -9.12594e-07
recdev1(78)    -0.456084 -6.95732e-07
recdev1(79)    -0.227655 -8.30395e-07
recdev1(80)    -0.451434 -6.57085e-07
recdev1(81)   -0.0285777 -6.13258e-07
recdev1(82)    -0.403901 -5.52283e-07
recdev1(83)    -0.460524 -4.73413e-07
recdev1(84)    0.0638838 -4.52831e-07
recdev1(85)   -0.0155242 -3.91576e-07
recdev1(86)   -0.0117008 -7.36624e-07
recdev1(87)      0.45516 -2.30166e-07
recdev1(88)    -0.123475  -6.0737e-07
recdev1(89)    -0.604792 -3.58875e-07
recdev1(90)     -0.39654 -5.62591e-07
recdev1(91)     0.581714 -3.86531e-07
recdev1(92)    0.0800688 -3.72916e-07
recdev1(93)    -0.280045 -4.68144e-07
recdev1(94)    -0.394112 -2.85819e-07
Fcast_recruitments(95)    -0.206221  4.32995e-09
Fcast_recruitments(96)     0.476637 -3.26985e-07
Fcast_recruitments(97)     0.467806  2.04535e-07
Fcast_recruitments(98)     0.035187 -1.55451e-07
Fcast_recruitments(99)   -0.0808931 -1.60081e-07
Fcast_recruitments(100)   -0.0530625 -8.72671e-08
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      44.1822  1.29998e-05
selparm[3]      5.32161 -2.33116e-05
