ParName   Value   Gradient
SR_parm[1]       9.9594   0.00373995
recdev_early(-28)   -0.0626956  2.22515e-06
recdev_early(-27)    -0.057464  3.13852e-06
recdev_early(-26)   -0.0492866  1.69137e-06
recdev_early(-25)    -0.037955  3.21841e-06
recdev_early(-24)   -0.0228752  3.07399e-06
recdev_early(-23)  -0.00327956  3.70174e-06
recdev_early(-22)    0.0206105  4.20364e-06
recdev_early(-21)      0.04804  4.68991e-06
recdev_early(-20)    0.0785339  5.72971e-06
recdev_early(-19)     0.107956  6.58088e-06
recdev_early(-18)     0.131659  7.23875e-06
recdev_early(-17)      0.14246   7.5588e-06
recdev_early(-16)     0.131357  7.50072e-06
recdev_early(-15)    0.0920746  7.59215e-06
recdev_early(-14)    0.0274108  7.44629e-06
recdev_early(-13)   -0.0465069  5.35664e-06
recdev_early(-12)     -0.10157   3.3132e-06
recdev_early(-11)    -0.101469  4.06663e-06
recdev_early(-10)  -0.00730325  2.23459e-06
recdev_early(-9)     0.192469  7.24244e-06
recdev_early(-8)     0.288407  1.74802e-06
recdev_early(-7)  -0.00812542  5.11258e-06
recdev_early(-6)    -0.267953  6.06896e-06
recdev_early(-5)    -0.201051  6.90575e-06
recdev_early(-4)   0.00476641  1.08495e-05
recdev_early(-3)     0.111403  1.49496e-05
recdev_early(-2)     0.292265  1.73906e-05
recdev_early(-1)   -0.0753909  1.31201e-05
recdev_early(0)     0.372157  1.55778e-05
recdev1(1)    -0.404832 -2.08614e-05
recdev1(2)     0.119438 -1.29885e-05
recdev1(3)      1.17183  1.90212e-05
recdev1(4)    -0.245832 -1.55218e-05
recdev1(5)    0.0761118 -1.07869e-05
recdev1(6)      1.27025  3.65539e-05
recdev1(7)      0.61068  8.17006e-06
recdev1(8)    -0.738935 -1.84648e-05
recdev1(9)    -0.839566 -1.84899e-05
recdev1(10)    -0.322955 -1.23957e-05
recdev1(11)     0.952498  3.08774e-05
recdev1(12)    -0.140046 -7.44065e-06
recdev1(13)      0.68668  2.42887e-05
recdev1(14)    -0.320865 -7.89504e-06
recdev1(15)    -0.103007  6.60143e-08
recdev1(16)      1.39336  0.000102896
recdev1(17)     0.387545  2.03585e-05
recdev1(18)    -0.709829 -1.13205e-05
recdev1(19)     0.159312  1.54592e-05
recdev1(20)    -0.167396  2.45324e-06
recdev1(21)    -0.720424 -1.00458e-05
recdev1(22)    -0.351629 -1.14923e-06
recdev1(23)    -0.810352 -1.07725e-05
recdev1(24)    -0.925515 -1.16143e-05
recdev1(25)    -0.123105  9.26822e-06
recdev1(26)    -0.740438 -6.91448e-06
recdev1(27)     0.123022  2.33363e-05
recdev1(28)     0.419932  4.55009e-05
recdev1(29)    -0.858349 -6.66586e-06
recdev1(30)     0.977654   0.00011944
recdev1(31)     -0.14942   2.1863e-05
recdev1(32)     0.243417  5.50468e-05
recdev1(33)     0.471364  7.92473e-05
recdev1(34)     0.777503   0.00012092
recdev1(35)     0.361695  6.34834e-05
recdev1(36)     0.723436  0.000103108
recdev1(37)     0.228297  4.46043e-05
recdev1(38)     0.117246  3.25983e-05
recdev1(39)    -0.357969  5.20377e-06
recdev1(40)    -0.126136  1.50901e-05
recdev1(41)    -0.707585 -6.05444e-06
recdev1(42)    -0.291375  6.29788e-06
recdev1(43)    -0.611089 -7.78874e-06
recdev1(44)      1.67801  0.000179906
recdev1(45)      1.02532  7.92121e-05
recdev1(46)    -0.937606 -1.24365e-05
recdev1(47)     -0.62896 -7.96035e-06
recdev1(48)    -0.436543 -6.17296e-06
recdev1(49)     0.454649  2.08499e-05
recdev1(50)     0.263678  9.14363e-06
recdev1(51)     -0.17698 -5.60422e-06
recdev1(52)   -0.0731726 -4.27011e-06
recdev1(53)    -0.167513 -9.69143e-06
recdev1(54)      1.02713    2.651e-05
recdev1(55)    -0.128191 -1.53951e-05
recdev1(56)      1.07866  1.50451e-05
recdev1(57)    -0.401395 -1.91566e-05
recdev1(58)     0.192961 -1.29169e-05
recdev1(59)    -0.044491 -1.77245e-05
recdev1(60)     0.485745 -1.29681e-05
recdev1(61)    -0.138344 -1.94312e-05
recdev1(62)    -0.565757 -2.25583e-05
recdev1(63)    -0.250972 -2.19608e-05
recdev1(64)    -0.944664 -2.41204e-05
recdev1(65)    -0.622927 -2.42549e-05
recdev1(66)    0.0900069 -2.56702e-05
recdev1(67)    0.0945889 -2.74264e-05
recdev1(68)     0.221645 -3.08035e-05
recdev1(69)     0.759042 -4.05308e-05
recdev1(70)      1.38201 -5.65682e-05
recdev1(71)    -0.192452  -3.3076e-05
recdev1(72)    -0.932559 -2.94273e-05
recdev1(73)     0.365845 -3.27058e-05
recdev1(74)    -0.219273 -2.96265e-05
recdev1(75)    -0.454602 -2.94833e-05
recdev1(76)     0.569059 -3.44424e-05
recdev1(77)    -0.793579 -2.80585e-05
recdev1(78)    -0.553497 -2.98847e-05
recdev1(79)    -0.321439  -3.0469e-05
recdev1(80)    -0.566944 -3.13443e-05
recdev1(81)     0.062655 -3.75148e-05
recdev1(82)   -0.0431356 -3.58923e-05
recdev1(83)    -0.653923 -3.02416e-05
recdev1(84)     0.249136  -3.2721e-05
recdev1(85)    -0.272146 -2.85191e-05
recdev1(86)    -0.180325 -2.75892e-05
recdev1(87)     0.809179 -2.97914e-05
recdev1(88)    -0.277712 -2.66349e-05
recdev1(89)    -0.683595 -2.62427e-05
recdev1(90)     0.695157 -3.91579e-05
recdev1(91)     0.242711 -3.82066e-05
recdev1(92)     0.283646 -2.83902e-05
recdev1(93)    -0.124267  -2.0575e-05
recdev1(94)    -0.748486 -2.58351e-05
Fcast_recruitments(95)     0.442868  2.15337e-06
Fcast_recruitments(96)   -0.0521944 -1.62944e-07
Fcast_recruitments(97)      1.35418 -3.44706e-06
Fcast_recruitments(98)     0.527569  1.88266e-06
Fcast_recruitments(99)   -0.0952501  1.57168e-07
Fcast_recruitments(100)    -0.126597   2.2636e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.1384  0.000866631
selparm[3]      5.10544   -0.0012751
