ParName   Value   Gradient
SR_parm[1]      10.0195   0.00133891
recdev_early(-28)     -0.19648 -3.31364e-07
recdev_early(-27)    -0.190501  3.86036e-08
recdev_early(-26)    -0.180398  5.11894e-07
recdev_early(-25)    -0.165721  9.82316e-07
recdev_early(-24)    -0.145673  1.38361e-06
recdev_early(-23)    -0.119296  1.43042e-06
recdev_early(-22)   -0.0864765  1.27148e-06
recdev_early(-21)   -0.0476816   1.1515e-06
recdev_early(-20)   -0.0034278  1.08573e-06
recdev_early(-19)    0.0418708  1.09757e-06
recdev_early(-18)    0.0820362  8.42862e-07
recdev_early(-17)      0.10684  6.88744e-07
recdev_early(-16)      0.10329  1.02812e-06
recdev_early(-15)    0.0628987   2.0106e-06
recdev_early(-14)  -0.00933646  2.33455e-06
recdev_early(-13)   -0.0924463  2.41902e-06
recdev_early(-12)    -0.154717  2.61327e-06
recdev_early(-11)    -0.158739  3.50239e-06
recdev_early(-10)   -0.0662506  3.93854e-06
recdev_early(-9)     0.132382  5.63403e-06
recdev_early(-8)      0.23163   4.7164e-06
recdev_early(-7)   -0.0571903  4.63632e-06
recdev_early(-6)    -0.318574  3.36352e-06
recdev_early(-5)    -0.257037  2.04555e-06
recdev_early(-4)   -0.0532441  4.41176e-06
recdev_early(-3)    0.0594553  4.58716e-06
recdev_early(-2)     0.231916  5.33559e-06
recdev_early(-1)    -0.125519  4.47017e-06
recdev_early(0)     0.382936  1.58869e-06
recdev1(1)    -0.409074 -7.95877e-06
recdev1(2)     0.123935 -7.30503e-06
recdev1(3)      1.19144  1.24264e-05
recdev1(4)    -0.255888 -5.32165e-06
recdev1(5)    0.0798112  4.89017e-06
recdev1(6)      1.28573  2.48448e-05
recdev1(7)     0.622809  6.60557e-06
recdev1(8)    -0.741939 -7.02506e-06
recdev1(9)    -0.835854 -6.85153e-06
recdev1(10)    -0.322755  -3.5339e-06
recdev1(11)     0.971831  1.97551e-05
recdev1(12)    -0.161045  7.12145e-06
recdev1(13)     0.708361  3.17141e-05
recdev1(14)    -0.326314  7.40618e-06
recdev1(15)    -0.105118  2.62222e-06
recdev1(16)      1.40868  3.40333e-05
recdev1(17)      0.39267  6.57557e-07
recdev1(18)    -0.722476 -4.89343e-06
recdev1(19)     0.176588  1.30432e-06
recdev1(20)    -0.158899  3.30024e-07
recdev1(21)    -0.723661  -2.9912e-06
recdev1(22)    -0.334744 -9.75735e-08
recdev1(23)    -0.806939 -2.86525e-06
recdev1(24)    -0.927103 -2.99387e-06
recdev1(25)     -0.10525  3.23285e-06
recdev1(26)    -0.748343 -3.02427e-06
recdev1(27)     0.135206  3.07568e-06
recdev1(28)     0.432097  7.94433e-06
recdev1(29)    -0.881291 -6.27196e-06
recdev1(30)     0.994132  1.00699e-05
recdev1(31)    -0.157788 -7.60694e-06
recdev1(32)     0.258896 -7.03196e-06
recdev1(33)     0.477035 -1.10257e-05
recdev1(34)     0.792573  5.63694e-06
recdev1(35)     0.363592  7.07627e-06
recdev1(36)     0.739697  2.39996e-05
recdev1(37)     0.233937  1.72062e-05
recdev1(38)     0.133571  1.52345e-05
recdev1(39)    -0.355598  8.54435e-06
recdev1(40)    -0.106239  9.89242e-06
recdev1(41)    -0.706345 -1.93888e-08
recdev1(42)    -0.271797  3.84992e-06
recdev1(43)    -0.615092  6.84326e-07
recdev1(44)      1.69384  5.83854e-05
recdev1(45)      1.04122  2.43361e-05
recdev1(46)    -0.943317 -5.87144e-06
recdev1(47)     -0.61295 -5.34846e-06
recdev1(48)    -0.426485 -1.94902e-06
recdev1(49)      0.47348  1.12949e-05
recdev1(50)     0.279894  4.71739e-06
recdev1(51)    -0.164806 -3.27701e-06
recdev1(52)   -0.0512896 -6.51821e-06
recdev1(53)    -0.162996 -4.69429e-06
recdev1(54)      1.05087  1.60423e-05
recdev1(55)    -0.139053  6.02225e-07
recdev1(56)      1.10308  2.55181e-05
recdev1(57)    -0.412668  9.23293e-07
recdev1(58)      0.21837  8.72093e-06
recdev1(59)   -0.0384509  4.50647e-06
recdev1(60)     0.506568  7.33095e-06
recdev1(61)    -0.126475 -6.60927e-06
recdev1(62)    -0.556725 -9.85052e-06
recdev1(63)     -0.23046 -1.25457e-05
recdev1(64)    -0.941292 -1.16072e-05
recdev1(65)    -0.612982 -1.12689e-05
recdev1(66)     0.104184 -8.05131e-06
recdev1(67)     0.102053 -6.40209e-06
recdev1(68)     0.230913 -8.10601e-06
recdev1(69)     0.765275 -5.51342e-06
recdev1(70)       1.3902  1.91922e-05
recdev1(71)    -0.195148 -2.07601e-06
recdev1(72)     -0.94284 -6.73126e-06
recdev1(73)     0.374684 -6.93205e-06
recdev1(74)    -0.219315 -1.21916e-05
recdev1(75)    -0.463322 -1.23829e-05
recdev1(76)     0.576008 -1.89705e-05
recdev1(77)    -0.812566 -1.26103e-05
recdev1(78)     -0.55785 -1.39593e-05
recdev1(79)    -0.326074 -1.65182e-05
recdev1(80)    -0.582601 -1.45598e-05
recdev1(81)    0.0503612 -2.09022e-05
recdev1(82)   -0.0605328 -1.95143e-05
recdev1(83)     -0.68185 -1.19825e-05
recdev1(84)     0.228044 -9.66436e-06
recdev1(85)     -0.30166 -4.54915e-06
recdev1(86)    -0.212048 -2.37808e-06
recdev1(87)     0.778471  3.89223e-06
recdev1(88)    -0.319305 -9.41098e-06
recdev1(89)    -0.726417 -1.05781e-05
recdev1(90)     0.657052 -1.50871e-05
recdev1(91)     0.194756 -1.01447e-05
recdev1(92)     0.237806 -1.24937e-05
recdev1(93)    -0.173383 -1.28693e-05
recdev1(94)      -0.8053 -1.03444e-05
Fcast_recruitments(95)     0.393933 -2.41488e-06
Fcast_recruitments(96)   -0.0958146 -1.03895e-05
Fcast_recruitments(97)      1.30335 -1.13467e-05
Fcast_recruitments(98)     0.545648 -4.42451e-06
Fcast_recruitments(99)   -0.0866118  9.78851e-08
Fcast_recruitments(100)    -0.160629  1.35257e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.1227  0.000278947
selparm[3]      5.10601 -0.000499913
