ParName   Value   Gradient
SR_parm[1]       10.065   0.00166798
recdev_early(-28)     0.403073  1.35983e-06
recdev_early(-27)     0.429401  2.17629e-06
recdev_early(-26)     0.455161  6.25843e-07
recdev_early(-25)     0.479399  3.04705e-06
recdev_early(-24)     0.501392  3.55905e-06
recdev_early(-23)     0.520334  4.19304e-06
recdev_early(-22)     0.536068  4.70522e-06
recdev_early(-21)     0.549208  4.75489e-06
recdev_early(-20)     0.561598  5.01952e-06
recdev_early(-19)     0.576478  6.13543e-06
recdev_early(-18)     0.598403  6.41093e-06
recdev_early(-17)     0.632836  7.40039e-06
recdev_early(-16)     0.683804  8.83448e-06
recdev_early(-15)     0.744785  1.08234e-05
recdev_early(-14)     0.816474  1.14213e-05
recdev_early(-13)     0.718203  9.79606e-06
recdev_early(-12)     0.503808  1.04819e-05
recdev_early(-11)     0.267767  1.16972e-05
recdev_early(-10)    0.0453082   7.7973e-06
recdev_early(-9)    -0.140557  7.24255e-06
recdev_early(-8)    -0.274382  5.58934e-06
recdev_early(-7)    -0.358931   4.0691e-06
recdev_early(-6)    -0.426768  5.34315e-06
recdev_early(-5)    -0.480436  3.13941e-06
recdev_early(-4)    -0.334907   2.5917e-06
recdev_early(-3)     0.739922  7.32353e-06
recdev_early(-2)     0.337476  4.31603e-06
recdev_early(-1)    -0.219993  2.47256e-06
recdev_early(0)      1.14974  9.45506e-06
recdev1(1)        0.546 -4.08842e-06
recdev1(2)     -0.04866 -7.49664e-06
recdev1(3)     0.513705 -1.71262e-06
recdev1(4)     0.650149  3.23256e-07
recdev1(5)     0.540546 -2.12784e-06
recdev1(6)     0.476236 -7.86884e-07
recdev1(7)     0.301326 -2.29401e-06
recdev1(8)    -0.108818 -5.92659e-06
recdev1(9)    -0.324358 -4.80687e-06
recdev1(10)    -0.443643 -4.47591e-06
recdev1(11)    -0.506799 -6.68317e-06
recdev1(12)      -0.4788 -5.38812e-06
recdev1(13)    -0.471482   -2.872e-06
recdev1(14)      1.59849  4.12328e-05
recdev1(15)     0.777846  1.46532e-05
recdev1(16)    -0.441599 -3.89981e-06
recdev1(17)    -0.537079 -3.90146e-06
recdev1(18)    -0.291753 -7.89403e-07
recdev1(19)     0.391149  9.76881e-06
recdev1(20)    0.0166286   3.1202e-06
recdev1(21)    0.0191623   3.6695e-06
recdev1(22)    -0.106558  3.62262e-06
recdev1(23)    0.0235341  5.45578e-06
recdev1(24)     0.870011   2.9236e-05
recdev1(25)     0.203261  1.12677e-05
recdev1(26)     0.915013  3.34012e-05
recdev1(27)     -0.24472  3.62475e-06
recdev1(28)     0.145853  9.61789e-06
recdev1(29)     0.114629  1.09684e-05
recdev1(30)     0.100873  9.62172e-06
recdev1(31)     0.128923   1.0609e-05
recdev1(32)    -0.321743  4.00941e-06
recdev1(33)    -0.498523   2.6176e-08
recdev1(34)    -0.797913 -1.01748e-06
recdev1(35)    -0.740361 -1.57579e-06
recdev1(36)    0.0528885  1.00547e-05
recdev1(37)     0.278857   1.6534e-05
recdev1(38) -0.000931937  9.51038e-06
recdev1(39)     0.660488   2.7131e-05
recdev1(40)      1.52326  7.74856e-05
recdev1(41)    -0.501021   1.8535e-06
recdev1(42)    -0.738516 -1.52354e-06
recdev1(43)     0.517467  2.07324e-05
recdev1(44)    -0.378045  1.59748e-06
recdev1(45)    -0.473142  3.08928e-07
recdev1(46)     0.661509  2.10451e-05
recdev1(47)    -0.310477  1.45051e-06
recdev1(48)    -0.678885 -3.00445e-06
recdev1(49)   -0.0856047  1.75795e-06
recdev1(50)    -0.113881  9.57389e-07
recdev1(51)   -0.0519569  1.85975e-06
recdev1(52)     0.161848  1.72676e-06
recdev1(53)    -0.199743 -1.28757e-06
recdev1(54)     0.355063  2.91956e-06
recdev1(55)    -0.126153 -2.39172e-06
recdev1(56)     0.163552 -8.97919e-07
recdev1(57)     0.814004  6.26928e-06
recdev1(58)     0.244559 -2.26284e-06
recdev1(59)    -0.188368 -5.73516e-06
recdev1(60)     0.819049  4.98328e-07
recdev1(61)     0.736709 -1.98378e-06
recdev1(62)     0.393953 -5.04933e-06
recdev1(63)     0.026558 -7.04835e-06
recdev1(64)    -0.247368 -7.90121e-06
recdev1(65)     0.909979 -3.36577e-06
recdev1(66)    -0.137564 -7.87646e-06
recdev1(67)      1.64156  4.87031e-06
recdev1(68)      1.16166  -1.2313e-06
recdev1(69)    -0.315581 -8.72252e-06
recdev1(70)    -0.707755  -1.0284e-05
recdev1(71)      -0.5661 -9.72254e-06
recdev1(72)    0.0356479 -9.02662e-06
recdev1(73)    -0.214291 -1.08265e-05
recdev1(74)    -0.321434 -1.14461e-05
recdev1(75)    -0.824029 -9.73204e-06
recdev1(76)   -0.0968264 -1.27158e-05
recdev1(77)    -0.838564 -1.09973e-05
recdev1(78)     -1.17019 -1.15985e-05
recdev1(79)    -0.286216 -1.28826e-05
recdev1(80)     0.605525 -1.96725e-05
recdev1(81)    -0.448602 -1.50273e-05
recdev1(82)     0.371039 -1.71803e-05
recdev1(83)     -1.00918 -1.21601e-05
recdev1(84)    -0.180003 -1.32112e-05
recdev1(85)     0.216495 -1.18413e-05
recdev1(86)     0.428234 -6.97782e-06
recdev1(87)    -0.208252 -9.88805e-06
recdev1(88)    -0.583762 -9.37745e-06
recdev1(89)    -0.656404 -1.08592e-05
recdev1(90)    -0.929175 -1.24625e-05
recdev1(91)   -0.0589474 -1.19703e-05
