ParName   Value   Gradient
SR_parm[1]       10.219 -0.000515755
recdev_early(11) -0.000297708 -3.94443e-06
recdev_early(12) -0.000314236  -4.2802e-06
recdev_early(13) -0.000331176 -4.61013e-06
recdev_early(14)  -0.00034846 -4.91673e-06
recdev_early(15) -0.000366017 -5.18406e-06
recdev_early(16) -0.000383777 -5.40151e-06
recdev_early(17) -0.000401668 -5.56762e-06
recdev_early(18) -0.000419624 -5.69241e-06
recdev_early(19)  -0.00043758 -5.79675e-06
recdev_early(20) -0.000455476  -5.9075e-06
recdev_early(21) -0.000473258 -6.04966e-06
recdev_early(22) -0.000490869 -6.23869e-06
recdev_early(23) -0.000508244 -6.47718e-06
recdev_early(24) -0.000525298 -6.75709e-06
recdev_early(25) -0.000541929 -7.06485e-06
recdev_early(26) -0.000558022 -7.38501e-06
recdev_early(27) -0.000573461 -7.70014e-06
recdev_early(28) -0.000587747 -7.98355e-06
recdev_early(29) -0.000600759 -8.21434e-06
recdev_early(30) -0.000612401 -8.37471e-06
recdev_early(31) -0.000622617 -8.45835e-06
recdev_early(32)  -0.00063138 -8.47869e-06
recdev_early(33) -0.000638687 -8.46917e-06
recdev_early(34) -0.000644533 -8.47103e-06
recdev_early(35) -0.000648874 -8.51435e-06
recdev_early(36) -0.000651575 -8.60456e-06
recdev_early(37) -0.000652325 -8.72107e-06
recdev_early(38) -0.000650542 -8.82591e-06
recdev_early(39) -0.000645272 -8.87641e-06
recdev1(40)    0.0103182 -6.38886e-06
recdev1(41)    0.0103352 -5.81677e-06
recdev1(42)    0.0103612 -5.46548e-06
recdev1(43)    0.0103981 -5.32142e-06
recdev1(44)    0.0104478 -5.24298e-06
recdev1(45)    0.0105108 -5.04479e-06
recdev1(46)    0.0105855 -4.62172e-06
recdev1(47)    0.0106674 -4.01058e-06
recdev1(48)    0.0107476 -3.34735e-06
recdev1(49)    0.0108134 -2.76969e-06
recdev1(50)    0.0108481 -2.34175e-06
recdev1(51)    0.0108346 -2.03902e-06
recdev1(52)    0.0107585 -1.78264e-06
recdev1(53)    0.0106143 -1.48974e-06
recdev1(54)    0.0104096 -1.11379e-06
recdev1(55)    0.0101695 -6.71971e-07
recdev1(56)   0.00993627 -2.51803e-07
recdev1(57)   0.00976016  2.86017e-08
recdev1(58)    0.0097001  1.49592e-07
recdev1(59)    0.0098151  1.86019e-07
recdev1(60)    0.0101539   2.3803e-07
recdev1(61)    0.0107391  3.63521e-07
recdev1(62)    0.0115479  5.36127e-07
recdev1(63)    0.0125048  6.81523e-07
recdev1(64)    0.0134789  8.33017e-07
recdev1(65)    0.0142845  1.02456e-06
recdev1(66)    0.0146962  1.16426e-06
recdev1(67)    0.0144818  1.29189e-06
recdev1(68)    0.0134567  1.35194e-06
recdev1(69)    0.0115536  1.28302e-06
recdev1(70)   0.00887668  9.91318e-07
recdev1(71)   0.00571076  1.89381e-06
recdev1(72)   0.00248396  2.70072e-06
recdev1(73)  -0.00028703  7.35317e-07
recdev1(74)  -0.00203566 -3.71507e-07
recdev1(75)  -0.00216351  2.97107e-06
recdev1(76) -5.73445e-05  1.47393e-06
recdev1(77)   0.00486678  2.38207e-06
recdev1(78)    0.0130506  1.58069e-06
recdev1(79)    0.0245829  1.77751e-06
recdev1(80)    0.0388697  4.77873e-07
recdev1(81)    0.0542577   1.6123e-06
recdev1(82)    0.0674079  1.83329e-06
recdev1(83)      0.07444  1.78382e-06
recdev1(84)    0.0724534  1.82157e-06
recdev1(85)    0.0611576  2.03418e-06
recdev1(86)    0.0422884  1.32581e-06
recdev1(87)    0.0154241  2.04795e-06
recdev1(88)   -0.0268406  2.02591e-06
recdev1(89)    -0.094621  2.22492e-06
recdev1(90)    -0.182705  2.53133e-06
recdev1(91)    -0.261358  2.73677e-06
recdev1(92)    -0.284209  3.00289e-06
recdev1(93)    -0.174348  2.87959e-06
recdev1(94)     0.207827  3.03106e-06
Fcast_recruitments(95)     0.981678  7.96681e-07
Fcast_recruitments(96)    0.0941657  3.23305e-07
Fcast_recruitments(97)    -0.187311  3.25486e-08
Fcast_recruitments(98)    -0.128112  2.05497e-08
Fcast_recruitments(99)   -0.0541657  1.56964e-07
Fcast_recruitments(100)   -0.0623853 -6.25639e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      51.7096 -2.77915e-05
selparm[3]      5.62727   0.00011218
