ParName   Value   Gradient
SR_parm[1]      10.0761  1.74401e-05
recdev_early(7)   0.00123605  8.43058e-07
recdev_early(8)    0.0013061  9.04969e-07
recdev_early(9)   0.00137885  9.70574e-07
recdev_early(10)    0.0014541  1.03921e-06
recdev_early(11)   0.00153159  1.10977e-06
recdev_early(12)   0.00161095  1.18075e-06
recdev_early(13)   0.00169174  1.24998e-06
recdev_early(14)   0.00177343  1.31466e-06
recdev_early(15)   0.00185541  1.37134e-06
recdev_early(16)   0.00193702  1.41596e-06
recdev_early(17)   0.00201761  1.44401e-06
recdev_early(18)   0.00209659  1.45148e-06
recdev_early(19)   0.00217356  1.43524e-06
recdev_early(20)   0.00224833  1.39482e-06
recdev_early(21)   0.00232096  1.33237e-06
recdev_early(22)   0.00239169  1.25273e-06
recdev_early(23)   0.00246082  1.16196e-06
recdev_early(24)   0.00252845  1.06465e-06
recdev_early(25)   0.00259443   9.6332e-07
recdev_early(26)   0.00265834    8.584e-07
recdev_early(27)   0.00271955  7.49099e-07
recdev_early(28)   0.00277566  6.32959e-07
recdev_early(29)   0.00282599  5.09403e-07
recdev_early(30)   0.00286993  3.77901e-07
recdev_early(31)   0.00290694  2.38235e-07
recdev_early(32)   0.00293658   9.0466e-08
recdev_early(33)   0.00295847 -6.47081e-08
recdev_early(34)   0.00297229 -2.25905e-07
recdev_early(35)   0.00297783 -3.91634e-07
recdev1(36)    0.0270655  9.05073e-07
recdev1(37)    0.0270508   7.4425e-07
recdev1(38)    0.0270282  5.79172e-07
recdev1(39)    0.0269962  4.12072e-07
recdev1(40)    0.0269547  2.41889e-07
recdev1(41)    0.0269051  6.60183e-08
recdev1(42)    0.0268473 -1.11429e-07
recdev1(43)    0.0267836 -2.86545e-07
recdev1(44)    0.0267158 -4.50021e-07
recdev1(45)    0.0266456 -5.88471e-07
recdev1(46)    0.0265735 -6.86254e-07
recdev1(47)    0.0264979 -7.28468e-07
recdev1(48)    0.0264147 -7.04471e-07
recdev1(49)    0.0263168 -6.11497e-07
recdev1(50)    0.0261941  -4.5831e-07
recdev1(51)    0.0260352 -2.68629e-07
recdev1(52)    0.0258299 -8.37642e-08
recdev1(53)    0.0255731  3.80295e-08
recdev1(54)    0.0252696  3.02479e-08
recdev1(55)    0.0249374 -1.60787e-07
recdev1(56)    0.0246101 -5.47224e-07
recdev1(57)    0.0243371 -1.08623e-06
recdev1(58)    0.0241775  -1.6724e-06
recdev1(59)    0.0242001 -2.13576e-06
recdev1(60)    0.0244764 -2.19902e-06
recdev1(61)    0.0250695 -1.46255e-06
recdev1(62)    0.0260178  2.13066e-07
recdev1(63)    0.0273236  1.53805e-06
recdev1(64)    0.0289287 -5.27805e-07
recdev1(65)    0.0306953 -5.07118e-06
recdev1(66)    0.0323853 -2.19914e-06
recdev1(67)    0.0336462  2.96139e-06
recdev1(68)    0.0340194 -4.94794e-06
recdev1(69)    0.0329826  1.17561e-06
recdev1(70)    0.0300057 -3.03044e-06
recdev1(71)    0.0246314  -4.3798e-07
recdev1(72)    0.0165326  2.50598e-06
recdev1(73)   0.00555226  7.82638e-06
recdev1(74)  -0.00829384  2.40844e-06
recdev1(75)   -0.0248515  3.99785e-06
recdev1(76)   -0.0438952 -4.38407e-07
recdev1(77)   -0.0651387  -5.3116e-07
recdev1(78)    -0.088039  3.15527e-07
recdev1(79)    -0.111165 -2.35942e-07
recdev1(80)    -0.131026 -4.07705e-08
recdev1(81)    -0.140606  9.83656e-07
recdev1(82)    -0.128101  2.45534e-07
recdev1(83)   -0.0774509  1.02233e-06
recdev1(84)    0.0296766  1.61312e-06
recdev1(85)     0.207367  6.37735e-07
recdev1(86)     0.446017  3.69424e-07
recdev1(87)     0.615519   4.5307e-07
recdev1(88)     0.331685  2.34252e-07
recdev1(89)    -0.171164 -5.89218e-07
recdev1(90)    -0.564474 -1.58592e-07
recdev1(91)     -0.66936 -3.04838e-07
recdev1(92)    -0.394654 -3.28657e-07
recdev1(93)     0.150591 -1.43665e-06
recdev1(94)    -0.160865 -4.67493e-07
Fcast_recruitments(95)      1.24622 -1.15632e-06
Fcast_recruitments(96)     0.327905 -7.93648e-07
Fcast_recruitments(97)     0.016468  -4.4149e-07
Fcast_recruitments(98)    -0.228737 -3.83856e-07
Fcast_recruitments(99)    -0.106905 -1.06757e-06
Fcast_recruitments(100)   -0.0518923  -1.7795e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      40.3677  5.49431e-06
selparm[3]      5.18531 -1.78506e-05
