ParName   Value   Gradient
SR_parm[1]      10.0316  2.94435e-05
recdev_early(-8)  0.000223106  1.14202e-07
recdev_early(-7)  0.000237351   1.2137e-07
recdev_early(-6)  0.000252313   1.2886e-07
recdev_early(-5)  0.000268094  1.36689e-07
recdev_early(-4)  0.000284782  1.44873e-07
recdev_early(-3)  0.000302444  1.53435e-07
recdev_early(-2)  0.000321131  1.62406e-07
recdev_early(-1)  0.000340883  1.71809e-07
recdev_early(0)  0.000361732  1.81657e-07
recdev_early(1)  0.000383708  1.91915e-07
recdev_early(2)  0.000406802  2.02626e-07
recdev_early(3)   0.00043108  2.13773e-07
recdev_early(4)  0.000456577  2.25351e-07
recdev_early(5)  0.000483316  2.37349e-07
recdev_early(6)  0.000511298  2.49744e-07
recdev_early(7)  0.000540503  2.62507e-07
recdev_early(8)  0.000570885   2.7559e-07
recdev_early(9)  0.000602371  2.88938e-07
recdev_early(10)  0.000634855  3.02487e-07
recdev_early(11)  0.000668196  3.16182e-07
recdev_early(12)  0.000702212  3.29997e-07
recdev_early(13)  0.000736681  3.43948e-07
recdev_early(14)  0.000771331   3.5809e-07
recdev_early(15)  0.000805875  3.72467e-07
recdev_early(16)  0.000840002  3.87058e-07
recdev_early(17)  0.000873362  4.01716e-07
recdev_early(18)  0.000905672  4.16132e-07
recdev_early(19)  0.000936641  4.29813e-07
recdev_early(20)  0.000965999  4.42121e-07
recdev1(21)    0.0161764 -5.09276e-08
recdev1(22)    0.0162044 -1.75057e-08
recdev1(23)     0.016228  1.45648e-08
recdev1(24)    0.0162495  4.51468e-08
recdev1(25)    0.0162683   7.4526e-08
recdev1(26)    0.0162846  1.02651e-07
recdev1(27)    0.0162982  1.29182e-07
recdev1(28)     0.016308   1.5233e-07
recdev1(29)    0.0163147  1.71613e-07
recdev1(30)    0.0163215  1.86516e-07
recdev1(31)    0.0163347  1.96624e-07
recdev1(32)     0.016363  2.02371e-07
recdev1(33)    0.0164193  2.05668e-07
recdev1(34)    0.0165234  2.11024e-07
recdev1(35)    0.0167012  2.26349e-07
recdev1(36)    0.0169832  2.61014e-07
recdev1(37)    0.0174052  3.18696e-07
recdev1(38)    0.0179973  3.80671e-07
recdev1(39)    0.0187765  3.87151e-07
recdev1(40)    0.0197306  2.49442e-07
recdev1(41)    0.0207918  -3.7153e-08
recdev1(42)     0.021811 -1.94932e-07
recdev1(43)    0.0225315  2.03417e-07
recdev1(44)     0.022569  7.71833e-07
recdev1(45)    0.0214126  1.40583e-07
recdev1(46)    0.0184688 -4.30244e-07
recdev1(47)    0.0131707  9.31675e-07
recdev1(48)   0.00516732 -1.29527e-06
recdev1(49)  -0.00541917  7.25752e-08
recdev1(50)   -0.0177426  4.90101e-07
recdev1(51)   -0.0300837  1.40623e-06
recdev1(52)   -0.0398952  4.11305e-07
recdev1(53)   -0.0440508  3.10646e-07
recdev1(54)   -0.0392302 -2.81512e-07
recdev1(55)   -0.0223182 -3.88932e-07
recdev1(56)   0.00928855  6.21288e-07
recdev1(57)    0.0575741 -2.04434e-07
recdev1(58)     0.123823 -1.55499e-07
recdev1(59)     0.207021 -5.48425e-08
recdev1(60)      0.29895 -3.15035e-08
recdev1(61)      0.37265  1.02363e-07
recdev1(62)     0.375937  1.03153e-07
recdev1(63)     0.279749   -4.743e-08
recdev1(64)     0.120284 -2.62806e-07
recdev1(65)   -0.0481504  4.28488e-07
recdev1(66)      -0.1967   2.2982e-08
recdev1(67)    -0.310678 -1.70135e-08
recdev1(68)    -0.383987 -5.93891e-08
recdev1(69)    -0.416648 -1.30926e-07
recdev1(70)    -0.406933 -2.06181e-07
recdev1(71)    -0.328906 -3.39637e-07
recdev1(72)    -0.103585 -4.95461e-07
recdev1(73)     0.395039 -9.12244e-07
recdev1(74)     0.564506 -9.36422e-07
recdev1(75)      0.38823 -7.49906e-07
recdev1(76)      1.12312 -1.02706e-06
recdev1(77)   -0.0702733 -3.60068e-07
recdev1(78)    -0.567651  -2.0725e-07
recdev1(79)    -0.372033 -2.70481e-07
recdev1(80)    -0.111031 -2.78603e-07
recdev1(81)    -0.145036 -2.34457e-07
recdev1(82)    -0.488945 -2.09353e-07
recdev1(83)    -0.376459   -1.296e-07
recdev1(84)     0.071524  -2.4363e-08
recdev1(85)     0.968916  1.16399e-07
recdev1(86)    -0.156125 -2.23022e-07
recdev1(87)     0.819949  7.77859e-08
recdev1(88)    -0.123262  -1.8171e-07
recdev1(89)     -0.54759 -1.39685e-07
recdev1(90)    -0.842898 -1.97986e-07
recdev1(91)    -0.427604 -1.65535e-07
recdev1(92)    -0.215617 -2.54039e-07
recdev1(93)    -0.314073 -2.96078e-07
recdev1(94)     0.494555  3.65132e-07
Fcast_recruitments(95)      1.38031 -2.29419e-08
Fcast_recruitments(96)     0.281937  3.03219e-07
Fcast_recruitments(97)    -0.316743  1.25474e-07
Fcast_recruitments(98)    -0.158623  2.78347e-07
Fcast_recruitments(99)   -0.0681042  6.60715e-07
Fcast_recruitments(100)   -0.0324249  -1.9794e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.8483  2.75195e-06
selparm[3]      5.21569 -6.75622e-06
