ParName   Value   Gradient
SR_parm[1]      9.97919  8.67617e-05
recdev_early(-28)    0.0740244 -4.00063e-07
recdev_early(-27)    0.0939424 -7.19931e-07
recdev_early(-26)     0.117479 -1.09318e-06
recdev_early(-25)     0.145107 -1.14692e-06
recdev_early(-24)      0.17699 -1.28591e-06
recdev_early(-23)     0.212862 -1.14264e-06
recdev_early(-22)     0.251756 -1.29837e-06
recdev_early(-21)     0.291509 -1.20477e-06
recdev_early(-20)     0.327912 -1.31707e-06
recdev_early(-19)       0.3544 -1.42899e-06
recdev_early(-18)     0.363557 -1.60585e-06
recdev_early(-17)     0.350786 -2.10778e-06
recdev_early(-16)     0.318556 -2.19185e-06
recdev_early(-15)     0.277258 -2.13893e-06
recdev_early(-14)     0.241378  -1.1207e-06
recdev_early(-13)     0.225551 -6.26452e-07
recdev_early(-12)     0.239914 -7.34971e-07
recdev_early(-11)     0.279857 -4.37818e-07
recdev_early(-10)     0.306567  3.45273e-08
recdev_early(-9)     0.263329  8.21497e-07
recdev_early(-8)     0.177862  8.16163e-07
recdev_early(-7)       0.1582  8.69138e-07
recdev_early(-6)      2.58218   5.9444e-06
recdev_early(-5)     0.344318  4.28412e-07
recdev_early(-4)     0.419888  3.78314e-07
recdev_early(-3)     0.460034  5.61232e-07
recdev_early(-2)     0.140781  7.38502e-07
recdev_early(-1)      0.52476  8.85878e-07
recdev_early(0)     0.496113  1.51677e-06
recdev1(1)     0.136166 -5.98184e-08
recdev1(2)   -0.0297295  1.13985e-09
recdev1(3)     0.182637  5.50212e-07
recdev1(4)      1.56181  3.14693e-06
recdev1(5)    -0.274847 -8.76901e-08
recdev1(6)    -0.518313  -3.4042e-07
recdev1(7)    -0.173805  2.79913e-07
recdev1(8)     0.256472  7.86124e-07
recdev1(9)     0.204331  3.15386e-07
recdev1(10)    -0.351469 -5.03789e-07
recdev1(11)    -0.358151 -3.07281e-07
recdev1(12)     0.802357  7.29084e-07
recdev1(13)    -0.160764 -3.69806e-07
recdev1(14)    -0.517679  -3.2908e-07
recdev1(15)    -0.357806 -1.07443e-07
recdev1(16)   -0.0460898  7.15166e-08
recdev1(17)     0.736849  1.20503e-06
recdev1(18)     0.264167  7.64494e-07
recdev1(19)      0.38864   6.2426e-07
recdev1(20)    -0.112901  1.70321e-07
recdev1(21)   -0.0322108  3.00712e-07
recdev1(22)     -0.10932 -2.52854e-08
recdev1(23)     -0.14227 -2.58694e-07
recdev1(24)    -0.621192 -4.62717e-07
recdev1(25)    -0.590702 -3.65051e-07
recdev1(26)      1.50899  4.15465e-06
recdev1(27)     0.356704  1.03437e-06
recdev1(28)    -0.572175 -1.04902e-07
recdev1(29)    -0.702452 -2.67303e-07
recdev1(30)    -0.528267 -2.07722e-07
recdev1(31)      1.67487  1.69006e-06
recdev1(32)     0.987565  2.01082e-06
recdev1(33)    0.0135315  4.14102e-07
recdev1(34)     0.236604  4.11612e-07
recdev1(35)    -0.231224 -1.16738e-07
recdev1(36)    -0.484737 -2.24225e-07
recdev1(37)    -0.610954  3.57935e-08
recdev1(38)    -0.352585  3.33446e-07
recdev1(39)       1.2136  3.33489e-06
recdev1(40)    0.0859803  7.44237e-07
recdev1(41)   -0.0163379  5.66944e-07
recdev1(42)     0.241327  1.33742e-06
recdev1(43)     0.879304  1.87051e-06
recdev1(44)    -0.370297  -8.4086e-08
recdev1(45)    -0.465483 -1.63399e-07
recdev1(46)      1.22474  3.39375e-06
recdev1(47)     -0.20996  2.94858e-07
recdev1(48)    -0.691283 -2.43908e-07
recdev1(49)    -0.958867 -6.92988e-07
recdev1(50)    -0.969519 -6.57137e-07
recdev1(51)    -0.509558 -7.69115e-07
recdev1(52)     0.422921  5.05481e-07
recdev1(53)     0.874442  8.90968e-07
recdev1(54)     0.465388 -3.50604e-07
recdev1(55)    -0.177908 -3.76577e-07
recdev1(56)   -0.0968302  2.45762e-09
recdev1(57)    -0.541108 -3.96058e-07
recdev1(58)    -0.444635  -4.4768e-07
recdev1(59)     0.536515 -2.02783e-07
recdev1(60)    -0.345089 -2.81085e-07
recdev1(61)      1.46415  2.33026e-06
recdev1(62)   -0.0175893  6.52911e-08
recdev1(63)    0.0787674  3.32393e-07
recdev1(64)    -0.548763 -3.66762e-07
recdev1(65)    -0.649775  -4.9591e-07
recdev1(66)    -0.808471 -4.83581e-07
recdev1(67)    -0.306855 -3.24636e-07
recdev1(68)     0.308281  1.13376e-07
recdev1(69)     0.155169 -7.13409e-08
recdev1(70)    -0.576055  -8.7838e-07
recdev1(71)    -0.972888 -1.41829e-06
recdev1(72)   -0.0304948 -3.51871e-06
recdev1(73)      1.01783 -8.71827e-06
recdev1(74)    -0.554123 -1.21132e-06
recdev1(75)    -0.218776 -3.12195e-06
recdev1(76)      1.46005 -8.44485e-06
recdev1(77)    -0.228688 -1.93678e-06
recdev1(78)    -0.853844 -1.29013e-06
recdev1(79)    -0.514856 -1.54184e-06
recdev1(80)     0.238748 -2.14412e-06
recdev1(81)    -0.320259 -1.32507e-06
recdev1(82)    -0.393074 -4.75567e-08
recdev1(83)    -0.345934  3.93153e-07
recdev1(84)    -0.147252  -4.1311e-07
recdev1(85)      1.25557  8.39594e-06
recdev1(86)     0.052927  1.95265e-06
recdev1(87)     0.693918   7.3129e-06
recdev1(88)      0.43245   2.9818e-06
recdev1(89)    -0.152176 -4.55471e-07
recdev1(90)      -1.0476 -1.05779e-06
recdev1(91)    -0.555328 -7.59831e-07
recdev1(92)    -0.393002 -1.43904e-06
recdev1(93)   0.00780593 -2.04086e-06
recdev1(94)     0.890743 -3.57715e-06
Fcast_recruitments(95)      1.78938 -4.69122e-06
Fcast_recruitments(96)      1.08009 -1.04276e-06
Fcast_recruitments(97)    -0.295895  4.43513e-07
Fcast_recruitments(98)    -0.537242  9.43227e-07
Fcast_recruitments(99)    -0.262257  2.91673e-07
Fcast_recruitments(100)    -0.104667 -1.31202e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
