"year","SSB","SSB_sd","Recruit","Recruit_sd","SPR","SPR_sd","F","F_sd","Depletion","Depletion_sd","lifehistory","iteration","Rest","SigmaR","Fscen","Lyears","Nsamp","Rich","SSBmsy","MSY","Fmsy","max_grad","LN_R0","Selex_peak","Selex_shape","SSB0"
1,45451.9,91.2299,22026.3,223.092,0.9864372,2.05422e-05,0.00141582,2.84181e-06,1,0,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
2,45383.5,91.2377,22022.7,224.834,0.9842045,2.39165e-05,0.00165147,3.3231e-06,0.998496,3.26308e-06,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
3,45307.1,91.2327,22018.6,224.747,0.9819797,2.73231e-05,0.00188701,3.84593e-06,0.996815,1.12057e-05,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
4,45224,91.2659,22014.2,224.654,0.9797627,3.11909e-05,0.00212244,4.45488e-06,0.994987,6.18515e-05,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
5,45135.8,91.8465,22009.6,224.554,0.9775535,3.65812e-05,0.00235775,5.1824e-06,0.993045,0.00021699,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
6,45043.6,94.3017,22004.7,224.449,0.9753521,4.4085e-05,0.00259297,6.03008e-06,0.991017,0.000476774,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
7,44948.3,99.363,21999.6,224.338,0.9731583,5.31576e-05,0.00282809,6.97406e-06,0.988921,0.000780746,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
8,44850.7,106.231,21994.4,224.22,0.9709723,6.29527e-05,0.0030631,7.98025e-06,0.986773,0.00107454,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
9,44751,113.586,21989,224.091,0.9687939,7.28839e-05,0.00329802,9.0164e-06,0.984581,0.00133078,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
10,44649.8,120.48,21983.6,223.95,0.9666232,8.26296e-05,0.00353282,1.00573e-05,0.982354,0.00154151,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,13073.2,2614.05,0.122338,0.0128484,9.99999,42,5.1,22725.95
