"year","lifehistory","iteration","Rest","SigmaR","Fscen","Lyears","Nsamp","Rich","max_grad","variable","estimate","sd"
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",45451.9,91.2299
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",22026.3,223.092
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9864372,2.05422e-05
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00141582,2.84181e-06
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",1,0
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
1,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
2,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",45383.5,91.2377
2,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",22022.7,224.834
2,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9842045,2.39165e-05
2,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00165147,3.3231e-06
2,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.998496,3.26308e-06
2,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
