"year","lifehistory","iteration","Rest","SigmaR","Fscen","variable","true"
1,"short_slow",1,"om","Deterministic","F1","SSB",45452.3
1,"short_slow",1,"om","Deterministic","F1","Recruit",22026.5
1,"short_slow",1,"om","Deterministic","F1","SPR",0.9864373
1,"short_slow",1,"om","Deterministic","F1","F",0.00141581
1,"short_slow",1,"om","Deterministic","F1","Depletion",1
1,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
1,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
1,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
1,"short_slow",1,"om","Deterministic","F1","LN_R0",10
1,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
1,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
1,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
2,"short_slow",1,"om","Deterministic","F1","SSB",45383.9
2,"short_slow",1,"om","Deterministic","F1","Recruit",22021.8
2,"short_slow",1,"om","Deterministic","F1","SPR",0.9842047
2,"short_slow",1,"om","Deterministic","F1","F",0.00165146
2,"short_slow",1,"om","Deterministic","F1","Depletion",0.998496
2,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
2,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
2,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
2,"short_slow",1,"om","Deterministic","F1","LN_R0",10
2,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
2,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
2,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
3,"short_slow",1,"om","Deterministic","F1","SSB",45307.5
3,"short_slow",1,"om","Deterministic","F1","Recruit",22017.8
3,"short_slow",1,"om","Deterministic","F1","SPR",0.9819799
3,"short_slow",1,"om","Deterministic","F1","F",0.00188699
3,"short_slow",1,"om","Deterministic","F1","Depletion",0.996815
3,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
3,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
3,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
3,"short_slow",1,"om","Deterministic","F1","LN_R0",10
3,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
3,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
3,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
4,"short_slow",1,"om","Deterministic","F1","SSB",45224.4
4,"short_slow",1,"om","Deterministic","F1","Recruit",22013.5
4,"short_slow",1,"om","Deterministic","F1","SPR",0.9797629
4,"short_slow",1,"om","Deterministic","F1","F",0.00212242
4,"short_slow",1,"om","Deterministic","F1","Depletion",0.994987
4,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
4,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
4,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
4,"short_slow",1,"om","Deterministic","F1","LN_R0",10
4,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
4,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
4,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
5,"short_slow",1,"om","Deterministic","F1","SSB",45136.2
5,"short_slow",1,"om","Deterministic","F1","Recruit",22008.9
5,"short_slow",1,"om","Deterministic","F1","SPR",0.9775537
5,"short_slow",1,"om","Deterministic","F1","F",0.00235774
5,"short_slow",1,"om","Deterministic","F1","Depletion",0.993045
5,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
5,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
5,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
5,"short_slow",1,"om","Deterministic","F1","LN_R0",10
5,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
5,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
5,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
6,"short_slow",1,"om","Deterministic","F1","SSB",45043.9
6,"short_slow",1,"om","Deterministic","F1","Recruit",22004
6,"short_slow",1,"om","Deterministic","F1","SPR",0.9753522
6,"short_slow",1,"om","Deterministic","F1","F",0.00259297
6,"short_slow",1,"om","Deterministic","F1","Depletion",0.991016
6,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
6,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
6,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
6,"short_slow",1,"om","Deterministic","F1","LN_R0",10
6,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
6,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
6,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
7,"short_slow",1,"om","Deterministic","F1","SSB",44948.6
7,"short_slow",1,"om","Deterministic","F1","Recruit",21999
7,"short_slow",1,"om","Deterministic","F1","SPR",0.9731584
7,"short_slow",1,"om","Deterministic","F1","F",0.00282809
7,"short_slow",1,"om","Deterministic","F1","Depletion",0.988918
7,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
7,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
7,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
7,"short_slow",1,"om","Deterministic","F1","LN_R0",10
7,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
7,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
7,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
8,"short_slow",1,"om","Deterministic","F1","SSB",44850.8
8,"short_slow",1,"om","Deterministic","F1","Recruit",21993.8
8,"short_slow",1,"om","Deterministic","F1","SPR",0.9709723
8,"short_slow",1,"om","Deterministic","F1","F",0.00306312
8,"short_slow",1,"om","Deterministic","F1","Depletion",0.986767
8,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
8,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
8,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
8,"short_slow",1,"om","Deterministic","F1","LN_R0",10
8,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
8,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
8,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
9,"short_slow",1,"om","Deterministic","F1","SSB",44751
9,"short_slow",1,"om","Deterministic","F1","Recruit",21988.5
9,"short_slow",1,"om","Deterministic","F1","SPR",0.9687937
9,"short_slow",1,"om","Deterministic","F1","F",0.00329804
9,"short_slow",1,"om","Deterministic","F1","Depletion",0.984571
9,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
9,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
9,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
9,"short_slow",1,"om","Deterministic","F1","LN_R0",10
9,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
9,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
9,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
10,"short_slow",1,"om","Deterministic","F1","SSB",44649.7
10,"short_slow",1,"om","Deterministic","F1","Recruit",21983
10,"short_slow",1,"om","Deterministic","F1","SPR",0.9666228
10,"short_slow",1,"om","Deterministic","F1","F",0.00353286
10,"short_slow",1,"om","Deterministic","F1","Depletion",0.982341
10,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
10,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
10,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
10,"short_slow",1,"om","Deterministic","F1","LN_R0",10
10,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
10,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
10,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
11,"short_slow",1,"om","Deterministic","F1","SSB",44547
11,"short_slow",1,"om","Deterministic","F1","Recruit",21977.5
11,"short_slow",1,"om","Deterministic","F1","SPR",0.9644595
11,"short_slow",1,"om","Deterministic","F1","F",0.00376758
11,"short_slow",1,"om","Deterministic","F1","Depletion",0.980082
11,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
11,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
11,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
11,"short_slow",1,"om","Deterministic","F1","LN_R0",10
11,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
11,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
11,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
12,"short_slow",1,"om","Deterministic","F1","SSB",44443.3
12,"short_slow",1,"om","Deterministic","F1","Recruit",21971.9
12,"short_slow",1,"om","Deterministic","F1","SPR",0.9623036
12,"short_slow",1,"om","Deterministic","F1","F",0.00400219
12,"short_slow",1,"om","Deterministic","F1","Depletion",0.9778
12,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
12,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
12,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
12,"short_slow",1,"om","Deterministic","F1","LN_R0",10
