"year","SSB","Recruit","SPR","F","Depletion","SSB_sd","Recruit_sd","SPR_sd","F_sd","Depletion_sd","lifehistory","iteration","Rest","SigmaR","Fscen","SSBmsy","MSY","Fmsy","max_grad","LN_R0","Selex_peak","Selex_shape","SSB0"
1,45452.3,22026.5,0.9864373,0.00141581,1,NA,NA,NA,NA,0,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
2,45383.9,22021.8,0.9842047,0.00165146,0.998496,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
3,45307.5,22017.8,0.9819799,0.00188699,0.996815,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
4,45224.4,22013.5,0.9797629,0.00212242,0.994987,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
5,45136.2,22008.9,0.9775537,0.00235774,0.993045,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
6,45043.9,22004,0.9753522,0.00259297,0.991016,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
7,44948.6,21999,0.9731584,0.00282809,0.988918,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
8,44850.8,21993.8,0.9709723,0.00306312,0.986767,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
9,44751,21988.5,0.9687937,0.00329804,0.984571,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
10,44649.7,21983,0.9666228,0.00353286,0.982341,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
11,44547,21977.5,0.9644595,0.00376758,0.980082,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
12,44443.3,21971.9,0.9623036,0.00400219,0.9778,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
13,44338.7,21966.3,0.9601552,0.0042367,0.975499,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
14,44233.4,21960.5,0.9580143,0.00447111,0.973182,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
15,44127.5,21954.7,0.9558807,0.00470541,0.970853,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
16,44021.2,21948.9,0.9537546,0.00493961,0.968515,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
17,43914.6,21943,0.9516358,0.0051737,0.966169,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
18,43807.7,21937.1,0.9495243,0.00540769,0.963817,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
19,43700.7,21931.2,0.94742,0.00564158,0.961462,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
20,43593.5,21925.2,0.945323,0.00587536,0.959105,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
21,43486.3,21919.2,0.9432332,0.00610903,0.956747,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
22,43379.2,21913.2,0.9411506,0.0063426,0.954388,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
23,43272,21907.1,0.9390751,0.00657607,0.952031,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
24,43165,21901,0.9370067,0.00680943,0.949676,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
25,43058.1,21894.9,0.9349454,0.00704269,0.947324,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
26,42951.3,21888.8,0.9349454,0.00704198,0.944975,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
27,42855.4,21883.3,0.857311,0.0164312,0.942866,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
28,42341.5,21853.3,0.789244,0.0257159,0.931559,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
29,41443.6,21799.4,0.72921,0.034883,0.911804,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
30,40211.9,21722.1,0.675972,0.0439212,0.884706,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
31,38708,21621.7,0.628529,0.0528224,0.851618,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
32,36998,21499,0.586056,0.0615806,0.813997,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
33,35147.1,21354.5,0.547875,0.0701917,0.773274,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
34,33214.7,21188.9,0.513417,0.0786525,0.73076,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
35,31252.6,21002.9,0.482209,0.0869611,0.687591,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
36,29303.4,20797.4,0.453849,0.0951164,0.644707,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
37,27400.6,20573.2,0.427996,0.103118,0.602842,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
38,25568.9,20331.4,0.404361,0.110967,0.562544,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
39,23825.5,20073.2,0.382693,0.118665,0.524186,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
40,22180.8,19799.7,0.362777,0.126214,0.488001,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
41,20640,19512.2,0.344428,0.133617,0.454102,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
42,19204.1,19211.9,0.327484,0.140878,0.422512,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
43,17871.2,18900.1,0.311802,0.148,0.393186,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
44,16637.1,18577.9,0.29726,0.154987,0.366034,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
45,15496.4,18246.3,0.283748,0.161842,0.340937,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
46,14442.8,17906.2,0.27117,0.168571,0.317758,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
47,13470,17558.6,0.25944,0.175176,0.296355,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
48,12571.4,17204.2,0.248484,0.181662,0.276585,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
49,11740.9,16843.7,0.238234,0.188033,0.258312,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
50,10972.4,16477.6,0.228629,0.194291,0.241405,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
51,10260.7,16106.7,0.219617,0.200442,0.225747,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
52,9600.69,15731.3,0.211148,0.206489,0.211226,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
53,8987.82,15352.1,0.203179,0.212434,0.197742,NA,NA,NA,NA,NA,"short_slow",1,"om","Deterministic","F1",13073.3,2614.07,0.122338,1.36035,10,42,5.1,22726.15
