ParName   Value   Gradient
SR_parm[1]      10.1518 -2.47263e-05
recdev_early(40)   0.00370416 -1.08385e-06
recdev_early(41)   0.00389332 -9.76475e-07
recdev_early(42)   0.00406571 -3.18911e-07
recdev_early(43)   0.00419205  1.40909e-08
recdev_early(44)   0.00426737 -1.84831e-07
recdev_early(45)   0.00429723 -7.13695e-07
recdev_early(46)   0.00428093 -1.03783e-06
recdev_early(47)   0.00423987 -3.70831e-07
recdev_early(48)   0.00418954  3.05155e-07
recdev_early(49)   0.00411968 -3.67072e-08
recdev_early(50)    0.0040411 -5.84781e-07
recdev_early(51)   0.00397188 -8.54063e-07
recdev_early(52)   0.00391343 -9.39971e-07
recdev_early(53)    0.0038669 -8.54421e-07
recdev_early(54)   0.00382845 -6.49304e-07
recdev_early(55)   0.00379341 -4.07353e-07
recdev_early(56)   0.00375577 -1.96747e-07
recdev_early(57)   0.00371451  -6.9756e-10
recdev_early(58)   0.00367746  1.29717e-07
recdev_early(59)   0.00363212  9.10648e-08
recdev_early(60)   0.00356038 -4.12275e-08
recdev_early(61)   0.00347915 -1.75899e-07
recdev_early(62)   0.00339952 -3.43625e-07
recdev_early(63)   0.00330957 -4.80224e-07
recdev_early(64)   0.00319766 -4.92079e-07
recdev_early(65)   0.00306281 -4.41523e-07
recdev_early(66)   0.00290885 -5.48305e-07
recdev_early(67)   0.00272321 -8.61664e-07
recdev_early(68)   0.00250223 -8.49545e-07
recdev1(69)    0.0195122 -6.92216e-07
recdev1(70)     0.019213 -5.71974e-07
recdev1(71)    0.0188926 -3.57353e-08
recdev1(72)    0.0186015  3.09882e-07
recdev1(73)    0.0183701  3.44889e-07
recdev1(74)    0.0181959  2.67564e-07
recdev1(75)    0.0180635  1.89201e-07
recdev1(76)    0.0179652  1.25965e-07
recdev1(77)    0.0178973  7.21612e-08
recdev1(78)     0.017854  2.56156e-08
recdev1(79)    0.0178273 -1.10073e-08
recdev1(80)    0.0178144 -3.57897e-08
recdev1(81)    0.0178155 -5.20796e-08
recdev1(82)    0.0178265 -6.39628e-08
recdev1(83)    0.0178518 -8.97119e-08
recdev1(84)    0.0178903 -1.60827e-07
recdev1(85)    0.0178929 -2.64975e-07
recdev1(86)    0.0176516 -3.42311e-07
recdev1(87)    0.0165291   9.9288e-07
recdev1(88)    0.0129722  -1.7414e-07
recdev1(89)   0.00393561 -1.33299e-07
recdev1(90)   -0.0151236 -5.01868e-08
recdev1(91)    -0.048262 -6.88647e-08
recdev1(92)   -0.0935878  -7.5076e-08
recdev1(93)    -0.134877 -2.73645e-08
recdev1(94)     -0.13364 -3.48923e-08
recdev1(95)   -0.0148411  2.54701e-07
recdev1(96)     0.476907  1.11453e-07
recdev1(97)     0.144508  2.09854e-07
recdev1(98)    -0.541658   1.4965e-07
Fcast_recruitments(99)      -0.1239   7.0013e-08
Fcast_recruitments(100)     0.444079 -5.62812e-08
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      43.1418 -1.71088e-06
selparm[3]      5.16374  3.26172e-06
