ParName   Value   Gradient
SR_parm[1]      9.97654   0.00091543
recdev_early(22)   0.00490942  6.85387e-06
recdev_early(23)   0.00557195  7.44231e-06
recdev_early(24)   0.00629499   8.2483e-06
recdev_early(25)   0.00707124  9.60058e-06
recdev_early(26)   0.00790177  1.03403e-05
recdev_early(27)   0.00879844  1.17932e-05
recdev_early(28)   0.00974977  1.26239e-05
recdev_early(29)    0.0107458  1.42399e-05
recdev_early(30)    0.0117708  1.56753e-05
recdev_early(31)    0.0128106  1.71681e-05
recdev_early(32)    0.0138499  1.83759e-05
recdev_early(33)    0.0148578  2.00651e-05
recdev_early(34)    0.0158047  2.10898e-05
recdev_early(35)    0.0166792   2.2613e-05
recdev_early(36)     0.017477  2.36996e-05
recdev_early(37)    0.0181995  2.44062e-05
recdev_early(38)    0.0188534  2.55865e-05
recdev_early(39)    0.0194402  2.60008e-05
recdev_early(40)    0.0199471  2.69112e-05
recdev_early(41)    0.0203467  2.70775e-05
recdev_early(42)    0.0205758  2.79608e-05
recdev_early(43)    0.0205327  2.79337e-05
recdev_early(44)    0.0201635  2.74458e-05
recdev_early(45)    0.0195951  2.64476e-05
recdev_early(46)     0.018939  2.56743e-05
recdev_early(47)    0.0180591  2.47183e-05
recdev_early(48)    0.0169063  2.32945e-05
recdev_early(49)    0.0156033  2.11374e-05
recdev_early(50)    0.0143174  1.92584e-05
recdev1(51)   0.00670982  1.52326e-05
recdev1(52)   0.00556807  1.34508e-05
recdev1(53)   0.00445926  1.19275e-05
recdev1(54)   0.00337252  1.04285e-05
recdev1(55)    0.0023359  9.04492e-06
recdev1(56)   0.00129869  7.18921e-06
recdev1(57)  0.000252228  6.24579e-06
recdev1(58) -0.000764588  4.72909e-06
recdev1(59)  -0.00174562  3.40881e-06
recdev1(60)  -0.00259217  2.54849e-06
recdev1(61)  -0.00329642  1.32924e-06
recdev1(62)  -0.00386938   1.8342e-07
recdev1(63)  -0.00431023 -7.09321e-07
recdev1(64)  -0.00463732  4.68522e-08
recdev1(65)  -0.00486231 -9.67996e-07
recdev1(66)  -0.00501578 -1.24671e-06
recdev1(67)  -0.00513649 -9.26156e-07
recdev1(68)  -0.00524313 -1.40923e-06
recdev1(69)  -0.00515128 -1.91503e-06
recdev1(70)  -0.00388149 -1.51505e-06
recdev1(71)   0.00175072 -1.83593e-06
recdev1(72)    0.0189924 -1.00127e-06
recdev1(73)     0.057426 -1.78042e-06
recdev1(74)     0.116208 -1.39223e-06
recdev1(75)      0.14664 -1.68071e-06
recdev1(76)    0.0572433   -1.695e-06
recdev1(77)   -0.0997017 -2.12591e-06
recdev1(78)    -0.261078 -2.58226e-06
recdev1(79)    0.0269772 -2.80091e-06
recdev1(80)    -0.285337 -3.16535e-06
recdev1(81)    -0.428353 -3.54197e-06
recdev1(82)     0.344758 -3.70261e-06
recdev1(83)    -0.708503 -3.23526e-06
recdev1(84)     0.520541 -3.77363e-06
recdev1(85)    -0.550335 -3.13115e-06
recdev1(86)     0.520909  -3.3071e-06
recdev1(87)     0.654911 -2.93087e-06
recdev1(88)    0.0213031 -3.04245e-06
recdev1(89)    -0.953282  -3.1211e-06
recdev1(90)     0.593346 -3.00021e-06
recdev1(91)      0.35521 -3.00194e-06
recdev1(92)    0.0115604 -3.07939e-06
recdev1(93)    -0.627139 -2.99976e-06
recdev1(94)    -0.993306   -3.003e-06
recdev1(95)     0.828548 -3.26514e-06
recdev1(96)    -0.779778 -3.12881e-06
recdev1(97)     0.730592 -3.05932e-06
recdev1(98)     0.706407 -3.19032e-06
Fcast_recruitments(99)    -0.378278  -9.7972e-09
Fcast_recruitments(100)    -0.369057 -5.14749e-09
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      39.7153  8.76308e-05
selparm[3]      4.93509 -0.000102522
