ParName   Value   Gradient
SR_parm[1]      10.0877    0.0024621
recdev_early(-28)   -0.0233679   -1.068e-07
recdev_early(-27)    -0.027833 -1.47798e-07
recdev_early(-26)   -0.0330975  2.71584e-07
recdev_early(-25)   -0.0393145 -3.49653e-07
recdev_early(-24)   -0.0466418  4.28345e-07
recdev_early(-23)   -0.0552114 -8.49151e-08
recdev_early(-22)   -0.0652361  -1.3385e-07
recdev_early(-21)   -0.0768438 -1.68608e-07
recdev_early(-20)    -0.090201  8.06879e-08
recdev_early(-19)    -0.105466  -2.6723e-08
recdev_early(-18)    -0.122684   4.7887e-09
recdev_early(-17)     -0.14187  9.59759e-09
recdev_early(-16)    -0.162836 -2.58389e-07
recdev_early(-15)    -0.185175  4.64648e-08
recdev_early(-14)    -0.208136  1.22325e-07
recdev_early(-13)    -0.230477   4.0995e-08
recdev_early(-12)    -0.250243  2.03212e-07
recdev_early(-11)    -0.264364  2.73331e-07
recdev_early(-10)    -0.268155  3.32453e-07
recdev_early(-9)    -0.254342  1.18314e-07
recdev_early(-8)      -0.2115 -3.06234e-08
recdev_early(-7)    -0.121238  2.22116e-07
recdev_early(-6)    0.0437381 -8.51348e-08
recdev_early(-5)     0.273201 -1.09876e-06
recdev_early(-4)     0.156074 -2.32059e-08
recdev_early(-3)     -0.32668 -1.36915e-06
recdev_early(-2)    -0.292145   1.7774e-07
recdev_early(-1)   -0.0739824  7.96872e-07
recdev_early(0)    0.0651948   4.6891e-07
recdev1(1)    -0.450488 -2.06915e-05
recdev1(2)    -0.331987 -2.04283e-05
recdev1(3)      1.23488 -1.37525e-05
recdev1(4)   -0.0539306 -2.03884e-05
recdev1(5)   -0.0175845 -1.87434e-05
recdev1(6)      1.24117 -1.12907e-05
recdev1(7)     0.178576 -1.73924e-05
recdev1(8)    -0.638353 -1.95512e-05
recdev1(9)    -0.694909 -1.96558e-05
recdev1(10)    -0.292856 -1.76428e-05
recdev1(11)     0.866601 -7.97482e-06
recdev1(12)    0.0922002 -1.54617e-05
recdev1(13)     0.240117 -1.29287e-05
recdev1(14)    -0.013181 -1.42603e-05
recdev1(15)    -0.619838 -1.76566e-05
recdev1(16)      1.35057  1.56398e-05
recdev1(17)     0.302464 -5.73272e-06
recdev1(18)     -1.74615 -1.74937e-05
