ParName   Value   Gradient
SR_parm[1]       10.102  -0.00546499
recdev_early(-28)   -0.0246746 -6.42437e-07
recdev_early(-27)   -0.0293825 -6.46624e-07
recdev_early(-26)   -0.0349315 -4.00416e-07
recdev_early(-25)   -0.0414807 -8.92393e-07
recdev_early(-24)   -0.0491943 -8.07311e-07
recdev_early(-23)     -0.05821 -7.43275e-07
recdev_early(-22)   -0.0687474 -5.77138e-07
recdev_early(-21)   -0.0809394 -9.35919e-07
recdev_early(-20)   -0.0949571 -4.69976e-07
recdev_early(-19)    -0.110962 -4.06181e-07
recdev_early(-18)    -0.128999  2.50599e-07
recdev_early(-17)    -0.149082  3.26447e-07
recdev_early(-16)    -0.171016 -5.50626e-07
recdev_early(-15)    -0.194386 -1.73347e-07
recdev_early(-14)    -0.218427 -2.42988e-07
recdev_early(-13)    -0.241881  1.53485e-07
recdev_early(-12)    -0.262773  7.09521e-07
recdev_early(-11)    -0.278011  4.19403e-07
recdev_early(-10)    -0.282887  2.34083e-07
recdev_early(-9)      -0.2701  1.64462e-07
recdev_early(-8)    -0.228203  1.21517e-06
recdev_early(-7)    -0.138798  1.10607e-06
recdev_early(-6)    0.0253667 -5.75121e-07
recdev_early(-5)     0.254857  6.93128e-07
recdev_early(-4)     0.145085  2.58595e-06
recdev_early(-3)    -0.336886  2.32527e-06
recdev_early(-2)    -0.307936 -1.64108e-06
recdev_early(-1)   -0.0869408 -9.09342e-07
recdev_early(0)     0.120802 -3.03076e-06
recdev1(1)    -0.409197  4.39992e-05
recdev1(2)     -0.30674  5.24677e-05
recdev1(3)      1.24439  2.32331e-05
recdev1(4)   -0.0583469  3.96537e-05
recdev1(5)   -0.0219896  3.95456e-05
recdev1(6)      1.23671  1.87478e-05
recdev1(7)     0.174043  3.83539e-05
recdev1(8)    -0.642964  4.29172e-05
recdev1(9)    -0.699581  4.20002e-05
recdev1(10)    -0.297557   3.8229e-05
recdev1(11)     0.861928  2.37647e-05
recdev1(12)     0.087558   3.0479e-05
recdev1(13)     0.235512  2.28753e-05
recdev1(14)   -0.0177953  2.89291e-05
recdev1(15)     -0.62447  3.67888e-05
recdev1(16)      1.34598 -3.52615e-05
recdev1(17)      0.29787  1.14428e-05
recdev1(18)     -1.75088  4.05433e-05
recdev1(19)     0.413147  -7.7082e-06
recdev1(20)    -0.391794   1.9017e-05
recdev1(21)     -1.19187  3.14815e-05
recdev1(22)    -0.152717  6.97938e-06
recdev1(23)    -0.835763  2.50586e-05
recdev1(24)    -0.497891  8.53954e-06
recdev1(25)    -0.548735  5.14127e-06
recdev1(26)     -1.76275  3.39262e-05
recdev1(27)     0.622383  -0.00010427
recdev1(28)    0.0872069 -5.68155e-05
recdev1(29)    -0.810911  2.67447e-05
recdev1(30)     0.840681 -0.000182382
recdev1(31)     0.356472 -7.70869e-05
recdev1(32)    -0.442377 -2.63165e-05
recdev1(33)     0.660849 -0.000162173
recdev1(34)     0.579682 -0.000168036
recdev1(35)     0.548053 -0.000149445
recdev1(36)     0.489505  -0.00016974
recdev1(37)     0.322935 -0.000177564
recdev1(38)    -0.302266 -3.64599e-05
recdev1(39)    -0.315676 -4.52295e-05
recdev1(40)     -0.32548 -8.56531e-05
recdev1(41)    -0.595236 -3.03817e-05
recdev1(42)     -0.34691 -4.30869e-05
recdev1(43)     -1.01938  9.55134e-06
recdev1(44)      1.63431 -0.000458372
recdev1(45)     0.917934 -0.000198315
recdev1(46)    -0.900161  7.20343e-06
recdev1(47)    -0.316578 -1.11202e-05
recdev1(48)    -0.574615 -2.44025e-05
recdev1(49)      0.63283 -0.000118281
recdev1(50)    0.0444723 -4.69522e-05
recdev1(51)    0.0864629 -2.04477e-05
recdev1(52)    -0.193044  9.28137e-07
recdev1(53)   0.00941562 -7.33169e-06
recdev1(54)     0.989759 -7.12118e-05
recdev1(55)    -0.158031  7.36909e-06
recdev1(56)      1.19417 -5.05038e-05
recdev1(57)     -1.04283  4.01204e-05
recdev1(58)     0.392028  7.29791e-06
recdev1(59)   -0.0458838  2.15725e-05
recdev1(60)     0.107207  2.40579e-05
recdev1(61)     0.293278  1.83408e-05
recdev1(62)    -0.411673  3.61557e-05
recdev1(63)    -0.292638  3.73057e-05
recdev1(64)     -0.96395  4.27364e-05
recdev1(65)     -1.03406  4.41921e-05
recdev1(66)     0.174215  4.15453e-05
recdev1(67)     0.323117  3.94866e-05
recdev1(68)     0.106559  5.36514e-05
recdev1(69)     0.687978  3.88204e-05
recdev1(70)      1.61738  3.33843e-05
recdev1(71)    -0.313001  4.93234e-05
recdev1(72)     -1.50961  4.37745e-05
recdev1(73)     0.792242  4.45111e-05
recdev1(74)    -0.636166  4.72172e-05
recdev1(75)    -0.750441  4.76012e-05
recdev1(76)     0.746359  4.54789e-05
recdev1(77)    -0.239455  4.78013e-05
recdev1(78)     -1.02853  4.43012e-05
recdev1(79)    0.0628104   4.7087e-05
recdev1(80)    -0.307314   4.8829e-05
recdev1(81)   -0.0435042  4.97606e-05
recdev1(82)     0.281852  4.79949e-05
recdev1(83)    -0.551587  4.77337e-05
recdev1(84)     0.425413  5.32623e-05
recdev1(85)    -0.228061  5.12223e-05
recdev1(86)     0.223298  5.34818e-05
recdev1(87)     0.762149  4.94233e-05
recdev1(88)     0.116853  4.85326e-05
recdev1(89)    -0.604962  4.95322e-05
recdev1(90)     0.735895  4.87244e-05
recdev1(91)     0.627743  4.82996e-05
recdev1(92)     0.212655  4.84894e-05
recdev1(93)    0.0509965  5.29206e-05
recdev1(94)     -0.68399  4.87867e-05
recdev1(95)       0.8197  5.15114e-05
recdev1(96)    -0.784455  4.35206e-05
recdev1(97)      1.47725  4.21532e-05
recdev1(98)      1.03257  4.31681e-05
Fcast_recruitments(99)    -0.311143  7.68456e-07
Fcast_recruitments(100)     -1.13091  -3.8844e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.1613 -0.000489541
selparm[3]      5.10874  0.000630755
