ParName   Value   Gradient
SR_parm[1]      10.0478    0.0373346
recdev_early(-28)    0.0084079 -4.53293e-06
recdev_early(-27)    0.0100635  5.24594e-06
recdev_early(-26)    0.0120405 -4.18204e-06
recdev_early(-25)    0.0143969  1.97456e-06
recdev_early(-24)    0.0171983   1.1352e-06
recdev_early(-23)    0.0205214   7.4014e-07
recdev_early(-22)    0.0244425  8.00841e-07
recdev_early(-21)    0.0290353  1.60508e-06
recdev_early(-20)    0.0343594  1.26933e-06
recdev_early(-19)    0.0404351  1.56543e-06
recdev_early(-18)     0.047197  1.47744e-06
recdev_early(-17)    0.0544247  1.24589e-06
recdev_early(-16)    0.0616084  1.36215e-06
recdev_early(-15)    0.0677661  2.41089e-06
recdev_early(-14)    0.0711362   2.4861e-06
recdev_early(-13)    0.0688262  2.45255e-06
recdev_early(-12)     0.056529  2.90715e-06
recdev_early(-11)     0.028691  4.52915e-06
recdev_early(-10)   -0.0203055  5.57363e-06
recdev_early(-9)   -0.0936831  8.30727e-06
recdev_early(-8)     -0.18915  1.09637e-05
recdev_early(-7)    -0.293982  1.33686e-05
recdev_early(-6)    -0.377075  1.34332e-05
recdev_early(-5)    -0.402107  1.33911e-05
recdev_early(-4)     -0.27738  1.16041e-05
recdev_early(-3)     0.285566  1.05577e-05
recdev_early(-2)     0.413756  3.86454e-05
recdev_early(-1)    -0.597517   8.9022e-06
recdev_early(0)      1.21385  4.82702e-05
recdev1(1)     0.590361 -0.000297928
recdev1(2)    -0.279315 -0.000307893
recdev1(3)     0.642782 -0.000272793
recdev1(4)     0.633895 -0.000276536
recdev1(5)       0.5929 -0.000274616
recdev1(6)     0.490502 -0.000265452
recdev1(7)     0.379917 -0.000256602
recdev1(8)    -0.105214 -0.000279654
recdev1(9)    -0.296642 -0.000283495
recdev1(10)    -0.361412 -0.000281167
recdev1(11)    -0.591786 -0.000291855
recdev1(12)    -0.238479 -0.000269254
recdev1(13)    -0.986723 -0.000286675
recdev1(14)      1.67611  0.000180245
recdev1(15)     0.896322 -6.30138e-05
recdev1(16)    -0.841914 -0.000265627
recdev1(17)    -0.383841 -0.000224726
recdev1(18)    -0.403256 -0.000209357
recdev1(19)     0.568541  3.29414e-05
recdev1(20)    -0.106607 -0.000117703
recdev1(21)     0.147861 -3.04651e-05
recdev1(22)   -0.0735202  -6.7389e-05
recdev1(23)   -0.0824045 -3.23037e-05
recdev1(24)      1.03565  0.000638097
recdev1(25)    -0.204513 -9.53024e-06
recdev1(26)      1.14316   0.00103173
recdev1(27)     -1.08136 -0.000158093
recdev1(28)     0.396437  0.000520071
recdev1(29)    0.0558545  0.000268671
recdev1(30)     0.126923  0.000472887
recdev1(31)     0.258753  0.000586005
recdev1(32)    -0.424102  0.000204295
recdev1(33)    -0.312436  0.000290179
recdev1(34)    -0.841843    6.254e-05
recdev1(35)    -0.882599  6.21501e-05
recdev1(36)     0.197019  0.000789219
recdev1(37)     0.315388  0.000905187
recdev1(38)  -0.00276193  0.000444256
recdev1(39)     0.687466   0.00126157
recdev1(40)      1.58555   0.00331655
recdev1(41)    -0.459901  0.000201513
recdev1(42)     -1.60556 -0.000156823
recdev1(43)     0.744857   0.00147116
recdev1(44)    -0.595438  0.000172419
recdev1(45)    -0.588676  0.000181182
recdev1(46)     0.774885   0.00145678
recdev1(47)    -0.266901  0.000269151
recdev1(48)    -0.983779 -5.02822e-05
recdev1(49)     0.107023  0.000443774
recdev1(50)    -0.135691  0.000225993
recdev1(51)   -0.0214542  0.000192421
recdev1(52)     0.278502  0.000286762
recdev1(53)     -0.31892 -3.32099e-05
recdev1(54)     0.482532  0.000212121
recdev1(55)    -0.203439 -9.49644e-05
recdev1(56)     0.227673 -3.56644e-05
recdev1(57)     0.841105   0.00010735
recdev1(58)      0.31851 -0.000115974
recdev1(59)    -0.281084  -0.00022997
recdev1(60)     0.888052 -5.36129e-05
recdev1(61)     0.765832  -0.00011007
recdev1(62)     0.413211 -0.000194215
recdev1(63)     0.163696 -0.000225625
recdev1(64)    -0.512961 -0.000277845
recdev1(65)      1.06086 -0.000168194
recdev1(66)    -0.478467 -0.000292305
recdev1(67)      1.72274 -0.000121811
recdev1(68)      1.19862 -0.000201637
recdev1(69)    -0.218789 -0.000290181
recdev1(70)    -0.841768 -0.000301046
recdev1(71)    -0.608224 -0.000298355
recdev1(72)     0.160037 -0.000282874
recdev1(73)    -0.237253 -0.000303618
