ParName   Value   Gradient
SR_parm[1]      9.87375 -5.57942e-05
recdev_early(41)  -0.00507767 -1.78201e-06
recdev_early(42)  -0.00485836 -1.71751e-06
recdev_early(43)  -0.00457169 -1.61428e-06
recdev_early(44)  -0.00423595 -1.48915e-06
recdev_early(45)  -0.00384766  -1.3577e-06
recdev_early(46)  -0.00340448 -1.20459e-06
recdev_early(47)  -0.00295335 -1.04132e-06
recdev_early(48)  -0.00251405 -8.87852e-07
recdev_early(49)  -0.00207746 -7.34831e-07
recdev_early(50)  -0.00168796 -5.95219e-07
recdev_early(51)  -0.00137862 -4.88261e-07
recdev_early(52)   -0.0011493 -4.07019e-07
recdev_early(53) -0.000978328 -3.43061e-07
recdev_early(54) -0.000833844 -2.92584e-07
recdev_early(55) -0.000691386 -2.45235e-07
recdev_early(56) -0.000550769 -1.94861e-07
recdev_early(57) -0.000433069 -1.53838e-07
recdev_early(58) -0.000345579 -1.21687e-07
recdev_early(59) -0.000282187 -9.66155e-08
recdev_early(60) -0.000235547 -8.14492e-08
recdev_early(61) -0.000194952  -7.0814e-08
recdev_early(62)  -0.00015689 -5.73499e-08
recdev_early(63) -0.000123455 -4.52888e-08
recdev_early(64) -9.33594e-05 -3.28819e-08
recdev_early(65) -7.07114e-05 -2.33118e-08
recdev_early(66) -5.41964e-05 -1.69103e-08
recdev_early(67) -4.16881e-05 -1.39137e-08
recdev_early(68) -3.27954e-05 -9.08464e-09
recdev_early(69) -2.67602e-05 -8.90124e-09
recdev1(70)  -0.00298929 -7.23179e-09
recdev1(71)  -0.00298552  -7.0108e-09
recdev1(72)   -0.0029826 -4.69614e-09
recdev1(73)  -0.00298059  -2.7174e-09
recdev1(74)  -0.00297922 -2.24226e-09
recdev1(75)  -0.00297799 -3.52527e-09
recdev1(76)  -0.00297674 -3.07779e-09
recdev1(77)  -0.00297572 -3.13675e-09
recdev1(78)  -0.00297484 -3.88094e-10
recdev1(79)  -0.00297408  1.19409e-10
recdev1(80)  -0.00297374 -1.86977e-09
recdev1(81)   -0.0029737  -2.2882e-09
recdev1(82)  -0.00297268 -2.38749e-09
recdev1(83)  -0.00296814 -1.68969e-09
recdev1(84)  -0.00295844  -2.0544e-09
recdev1(85)    -0.002952 -2.20223e-09
recdev1(86)  -0.00298743 -1.57108e-09
recdev1(87)  -0.00315098 -1.70191e-09
recdev1(88)  -0.00351564 -1.20165e-09
recdev1(89)  -0.00384562 -7.12274e-10
recdev1(90)  -0.00290443 -1.00299e-09
recdev1(91)   0.00240344 -1.56496e-09
recdev1(92)    0.0168485 -1.20588e-09
recdev1(93)    0.0426584 -2.56851e-09
recdev1(94)    0.0676473 -2.60123e-09
recdev1(95)    0.0661851 -1.86384e-09
recdev1(96)    0.0820371  1.15492e-11
recdev1(97)     0.138359  5.70885e-10
recdev1(98)     -0.35214  2.05064e-09
Fcast_recruitments(99)    -0.270549 -2.26581e-09
Fcast_recruitments(100)     0.351673    7.678e-10
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      62.8193  -1.6806e-06
selparm[3]      6.09783  1.43378e-05
