ParName   Value   Gradient
SR_parm[1]      10.3155  -0.00243524
recdev_early(22)    0.0157172 -2.40152e-05
recdev_early(23)     0.017941 -2.74425e-05
recdev_early(24)    0.0203445 -3.09847e-05
recdev_early(25)    0.0228787 -3.50434e-05
recdev_early(26)    0.0255317 -3.89488e-05
recdev_early(27)    0.0283291 -4.34891e-05
recdev_early(28)    0.0312405 -4.75629e-05
recdev_early(29)    0.0341997  -5.2242e-05
recdev_early(30)    0.0370905 -5.68104e-05
recdev_early(31)    0.0398128 -6.03435e-05
recdev_early(32)    0.0423694 -6.38166e-05
recdev_early(33)    0.0448125 -6.78742e-05
recdev_early(34)    0.0470855 -7.13501e-05
recdev_early(35)    0.0490911  -7.4223e-05
recdev_early(36)    0.0507456  -7.6916e-05
recdev_early(37)    0.0519163 -7.92645e-05
recdev_early(38)    0.0524601 -7.96545e-05
recdev_early(39)    0.0523514 -7.95657e-05
recdev_early(40)    0.0517856   -7.898e-05
recdev_early(41)    0.0508171 -7.64217e-05
recdev_early(42)    0.0491753 -7.48234e-05
recdev_early(43)    0.0468727 -7.09217e-05
recdev_early(44)    0.0441136 -6.74537e-05
recdev_early(45)     0.040877 -6.22215e-05
recdev_early(46)    0.0370427 -5.61916e-05
recdev_early(47)    0.0330633 -5.04057e-05
recdev_early(48)    0.0291907 -4.43139e-05
recdev_early(49)    0.0252291 -3.82953e-05
recdev_early(50)    0.0215022 -3.25922e-05
recdev1(51)    0.0283897  -2.4013e-05
recdev1(52)    0.0258457 -1.95332e-05
recdev1(53)    0.0238531 -1.74516e-05
recdev1(54)    0.0221709 -1.49059e-05
recdev1(55)    0.0205279  -1.2179e-05
recdev1(56)    0.0188486 -9.59841e-06
recdev1(57)    0.0173523 -7.26741e-06
recdev1(58)    0.0161559 -5.55948e-06
recdev1(59)    0.0152247 -4.18743e-06
recdev1(60)     0.014509 -3.13128e-06
recdev1(61)    0.0138904    -2.03e-06
recdev1(62)    0.0133049 -1.20694e-06
recdev1(63)    0.0127422 -2.07161e-07
recdev1(64)    0.0121654  4.27684e-07
recdev1(65)    0.0116715  1.30777e-06
recdev1(66)    0.0112916  1.84682e-06
recdev1(67)    0.0110247  2.15034e-06
recdev1(68)    0.0109113  2.26755e-06
recdev1(69)     0.011024  2.54258e-06
recdev1(70)     0.011112  2.79853e-06
recdev1(71)   0.00974449  2.93267e-06
recdev1(72)   0.00440348  3.22552e-06
recdev1(73)  -0.00260486  3.03123e-06
recdev1(74)    0.0180401  3.34579e-06
recdev1(75)     0.168272  3.28716e-06
recdev1(76)     0.814746  2.47926e-06
recdev1(77)     0.566204  2.67373e-06
recdev1(78)    -0.426837  3.58841e-06
recdev1(79)    -0.659413  3.90474e-06
recdev1(80)    0.0416187  3.81851e-06
recdev1(81)    -0.288861   3.9005e-06
recdev1(82)    -0.806108  4.25312e-06
recdev1(83)    -0.868923  4.26734e-06
recdev1(84)    -0.357429  4.59169e-06
recdev1(85)     0.811051  4.46609e-06
recdev1(86)     0.227401  3.80067e-06
recdev1(87)     0.641625  3.83131e-06
recdev1(88)     -0.13213  3.88699e-06
recdev1(89)    -0.132374  3.95668e-06
recdev1(90)    -0.979328  3.99083e-06
recdev1(91)    -0.944888  4.09705e-06
recdev1(92)    -0.713809  4.31884e-06
recdev1(93)   -0.0735037  4.44079e-06
recdev1(94)      1.18631  3.85999e-06
recdev1(95)      1.45051  3.89514e-06
recdev1(96)     0.960274  4.34025e-06
recdev1(97)    -0.218807   4.1107e-06
recdev1(98)    -0.617197  4.07277e-06
Fcast_recruitments(99)    -0.523194 -1.50196e-07
Fcast_recruitments(100)     0.169197 -6.74739e-08
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      41.2439 -0.000132685
selparm[3]      4.97097  0.000251046
