ParName   Value   Gradient
SR_parm[1]        10.02  3.35382e-06
recdev_early(37)   0.00152209  1.51419e-07
recdev_early(38)   0.00155008 -7.98859e-09
recdev_early(39)   0.00156559  3.19859e-08
recdev_early(40)   0.00156929  1.78198e-07
recdev_early(41)   0.00156305  2.21901e-07
recdev_early(42)   0.00154875  9.94303e-08
recdev_early(43)   0.00152535  -6.0799e-08
recdev_early(44)   0.00148876 -1.05777e-07
recdev_early(45)   0.00143691  1.56897e-08
recdev_early(46)   0.00137282  1.94946e-07
recdev_early(47)   0.00130228  2.55413e-07
recdev_early(48)   0.00123151  1.42936e-07
recdev_early(49)   0.00116515 -3.39851e-08
recdev_early(50)   0.00110391 -1.40487e-07
recdev_early(51)   0.00104766 -1.22094e-07
recdev_early(52)  0.000998511  -1.6775e-08
recdev_early(53)   0.00095824  9.17467e-08
recdev_early(54)  0.000926124  1.43141e-07
recdev_early(55)  0.000899846  1.26427e-07
recdev_early(56)  0.000877222  6.50594e-08
recdev_early(57)  0.000858671 -4.59138e-09
recdev_early(58)  0.000843344 -5.14699e-08
recdev_early(59)   0.00083097 -6.09476e-08
recdev_early(60)  0.000820359 -3.57345e-08
recdev_early(61)  0.000809554  1.11212e-08
recdev_early(62)  0.000798761  6.39484e-08
recdev_early(63)  0.000791151  1.06548e-07
recdev_early(64)  0.000787769  1.26667e-07
recdev_early(65)  0.000788843  1.19824e-07
recdev1(66)  -0.00121586  7.06451e-08
recdev1(67)  -0.00120158  6.95106e-08
recdev1(68)  -0.00114187  1.06699e-07
recdev1(69)  -0.00126527  2.37451e-08
recdev1(70)  -0.00127794  6.10779e-08
recdev1(71)   -0.0012588  1.49846e-07
recdev1(72)  -0.00126887  1.65528e-07
recdev1(73)  -0.00127042  1.38422e-07
recdev1(74)  -0.00124983  4.83992e-08
recdev1(75)  -0.00119567 -1.41967e-07
recdev1(76)  -0.00111106 -2.51572e-07
recdev1(77)  -0.00103757  3.42535e-08
recdev1(78)  -0.00110238  3.62822e-08
recdev1(79)  -0.00160599  1.50815e-07
recdev1(80)  -0.00317428  1.55147e-07
recdev1(81)  -0.00699491  2.34633e-08
recdev1(82)   -0.0151107  1.54832e-07
recdev1(83)   -0.0306535  1.07653e-07
recdev1(84)   -0.0574894  6.69018e-08
recdev1(85)   -0.0965963  2.06938e-07
recdev1(86)    -0.143728   3.1155e-07
recdev1(87)     -0.18175  8.74001e-08
recdev1(88)    -0.177193  1.29955e-07
recdev1(89)   -0.0959014  1.87543e-07
recdev1(90)    0.0398905  8.51639e-08
recdev1(91)     0.205835   -3.542e-09
recdev1(92)     0.437044 -1.83092e-07
recdev1(93)    -0.421057 -1.49808e-08
recdev1(94)    -0.125004  1.50028e-07
recdev1(95)      1.70151  -5.7599e-07
recdev1(96)     -0.86041 -6.18939e-08
recdev1(97)    -0.152014 -1.80452e-08
Fcast_recruitments(98)     0.102068   1.8632e-07
Fcast_recruitments(99)    -0.527175  2.01608e-08
Fcast_recruitments(100)      0.29797   1.7452e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      37.1722  4.95369e-07
selparm[3]      4.79308 -2.06956e-07
