ParName   Value   Gradient
SR_parm[1]      9.87586 -1.83444e-05
recdev_early(22)     0.019787 -6.82682e-06
recdev_early(23)    0.0216903 -4.10714e-06
recdev_early(24)    0.0236556 -1.43733e-06
recdev_early(25)    0.0256893  1.52037e-06
recdev_early(26)    0.0278001   4.1057e-06
recdev_early(27)    0.0299877  4.31183e-06
recdev_early(28)    0.0321984  2.34328e-06
recdev_early(29)    0.0344098  8.13939e-07
recdev_early(30)    0.0365954  1.29029e-06
recdev_early(31)    0.0387294  2.58537e-06
recdev_early(32)    0.0407885  3.73581e-06
recdev_early(33)    0.0427462  5.10791e-06
recdev_early(34)    0.0445615  4.10089e-06
recdev_early(35)    0.0461745 -2.86537e-06
recdev_early(36)    0.0475152  -1.0877e-05
recdev_early(37)     0.048523 -1.12285e-05
recdev_early(38)    0.0491609 -6.13784e-06
recdev_early(39)    0.0494185 -4.04684e-06
recdev_early(40)    0.0493004 -3.70378e-06
recdev_early(41)    0.0488187  2.84753e-06
recdev_early(42)    0.0479704  9.82592e-06
recdev_early(43)    0.0466783  2.20826e-06
recdev_early(44)    0.0448113 -1.10457e-05
recdev_early(45)    0.0423503  -5.9004e-06
recdev_early(46)    0.0394628  3.64789e-06
recdev_early(47)    0.0363944  1.95952e-06
recdev_early(48)    0.0333856  5.95997e-06
recdev_early(49)       0.0306  5.25003e-06
recdev_early(50)    0.0280541  3.92815e-06
recdev1(51)      0.06052  6.98143e-06
recdev1(52)    0.0584123 -1.97421e-07
recdev1(53)    0.0566549 -4.81463e-06
recdev1(54)     0.055177 -3.00375e-06
recdev1(55)    0.0539404  4.62599e-06
recdev1(56)    0.0528203  1.22939e-05
recdev1(57)    0.0518983   1.2067e-05
recdev1(58)    0.0511537  4.73554e-06
recdev1(59)    0.0505984 -4.11646e-06
recdev1(60)    0.0501999  -1.0141e-05
recdev1(61)    0.0497845 -1.16697e-05
recdev1(62)    0.0490635 -7.66347e-06
recdev1(63)    0.0477139  8.01433e-07
recdev1(64)     0.045396  6.77993e-06
recdev1(65)    0.0424359  2.90772e-06
recdev1(66)    0.0404667 -2.60448e-06
recdev1(67)    0.0429854 -6.55201e-06
recdev1(68)    0.0548992   1.0479e-06
recdev1(69)    0.0802029  1.08038e-06
recdev1(70)     0.115678 -3.18098e-06
recdev1(71)     0.133318  5.53416e-06
recdev1(72)     0.057995 -6.87956e-06
recdev1(73)     -0.14907  1.88701e-06
recdev1(74)    -0.376791  5.29918e-06
recdev1(75)    -0.416259 -4.40093e-06
recdev1(76)    -0.199599  2.72898e-06
recdev1(77)    -0.476412 -4.78143e-06
recdev1(78)     -1.01763  5.02374e-06
recdev1(79)    -0.747614  7.15218e-07
recdev1(80)     0.774856   5.5681e-07
recdev1(81)     0.193803  1.18139e-06
recdev1(82)     0.401193  1.06269e-06
recdev1(83)    -0.957222  5.00151e-07
recdev1(84)    0.0370389  4.08978e-07
recdev1(85)     0.538443  8.77672e-07
recdev1(86)     0.510858 -5.83893e-07
recdev1(87)     0.302879  2.07697e-06
recdev1(88)     0.185456 -2.16345e-06
recdev1(89)    -0.749855  4.02052e-06
recdev1(90)    -0.444686 -3.17364e-06
recdev1(91)     0.562471  4.17207e-07
recdev1(92)    -0.574508  -2.7333e-06
recdev1(93)    -0.411509   2.6086e-06
recdev1(94)    0.0891748  -3.4706e-06
recdev1(95)      1.94977  1.31874e-06
recdev1(96)    -0.655846 -2.62031e-06
recdev1(97)     0.329738 -1.01812e-06
Fcast_recruitments(98)    0.0290571 -6.50717e-08
Fcast_recruitments(99)    -0.204967 -1.83963e-06
Fcast_recruitments(100)   -0.0455893  3.14706e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      44.0606 -8.11419e-07
selparm[3]      5.17552  6.99662e-06
