ParName   Value   Gradient
SR_parm[1]       10.326  7.62471e-06
recdev_early(22)   0.00326267  2.49901e-06
recdev_early(23)   0.00364513 -9.38741e-07
recdev_early(24)   0.00405622 -2.29885e-06
recdev_early(25)   0.00449652 -4.69364e-07
recdev_early(26)   0.00496448  2.09444e-06
recdev_early(27)   0.00545612  2.06859e-06
recdev_early(28)   0.00596204 -3.43377e-07
recdev_early(29)   0.00647681 -1.63053e-06
recdev_early(30)   0.00699468  8.93177e-08
recdev_early(31)   0.00750895  2.45601e-06
recdev_early(32)   0.00801209  2.08537e-06
recdev_early(33)   0.00849639 -5.96929e-07
recdev_early(34)   0.00895421 -1.44946e-06
recdev_early(35)   0.00937897  9.84652e-07
recdev_early(36)   0.00976666  1.95537e-06
recdev_early(37)    0.0101152 -1.32578e-06
recdev_early(38)    0.0104213 -2.82152e-06
recdev_early(39)    0.0106772  7.44741e-07
recdev_early(40)    0.0108691  1.33756e-06
recdev_early(41)    0.0109795   -1.837e-06
recdev_early(42)    0.0109929  4.09643e-07
recdev_early(43)    0.0109022  2.81001e-06
recdev_early(44)     0.010718 -3.09084e-07
recdev_early(45)    0.0104691 -9.30653e-07
recdev_early(46)    0.0101855  2.11032e-07
recdev_early(47)   0.00986396 -7.82701e-07
recdev_early(48)   0.00945354  1.27362e-06
recdev_early(49)   0.00891106  1.16295e-06
recdev_early(50)   0.00826505 -1.74653e-06
recdev1(51)    0.0172675 -9.57308e-07
recdev1(52)    0.0166749 -3.90916e-07
recdev1(53)    0.0161816  1.99533e-06
recdev1(54)    0.0157569 -1.87419e-07
recdev1(55)    0.0153122 -1.44695e-06
recdev1(56)    0.0146924  1.23105e-06
recdev1(57)    0.0137049 -3.79249e-07
recdev1(58)    0.0122923 -1.04851e-06
recdev1(59)    0.0108631  6.71425e-06
recdev1(60)    0.0105579  -1.1127e-06
recdev1(61)    0.0126285   7.3727e-07
recdev1(62)    0.0172441 -1.92369e-06
recdev1(63)    0.0222152 -1.61909e-06
recdev1(64)    0.0224441   1.7632e-06
recdev1(65)    0.0117363 -1.38309e-06
recdev1(66)   -0.0119008 -4.49111e-07
recdev1(67)    -0.040808 -3.90032e-07
recdev1(68)   -0.0556916 -1.88278e-07
recdev1(69)   -0.0271131 -2.16111e-07
recdev1(70)    0.0818126 -1.01638e-07
recdev1(71)     0.318022  3.64348e-08
recdev1(72)     0.689374 -1.77994e-08
recdev1(73)     0.397704  1.13618e-08
recdev1(74)   -0.0309713 -1.51939e-07
recdev1(75)    -0.127235  1.61335e-08
recdev1(76)     0.267579  9.32957e-09
recdev1(77)    -0.313586 -9.01719e-08
recdev1(78)    -0.672283  -4.7466e-08
recdev1(79)     0.175135 -3.29399e-08
recdev1(80)    -0.614656 -4.19268e-08
recdev1(81)    -0.220562 -6.83418e-08
recdev1(82)   0.00959053 -7.42377e-08
recdev1(83)    -0.520567 -5.71899e-08
recdev1(84)     0.155426 -7.38009e-08
recdev1(85)    -0.383616 -5.24179e-08
recdev1(86)     0.165123 -8.09576e-08
recdev1(87)       0.8595 -4.82988e-08
recdev1(88)    -0.355476 -3.74219e-08
recdev1(89)    -0.354987 -4.56835e-08
recdev1(90)     0.759941 -7.03887e-08
recdev1(91)   -0.0334196 -9.08578e-08
recdev1(92)     0.126351  -3.8776e-09
recdev1(93)    -0.341618  -1.3612e-07
recdev1(94)    -0.876569 -2.66498e-09
recdev1(95)  0.000769787 -1.10741e-07
recdev1(96)   -0.0890053 -3.39877e-08
recdev1(97)     0.834165 -7.31387e-08
Fcast_recruitments(98)     0.478606 -6.42364e-08
Fcast_recruitments(99)    -0.120968  2.77887e-08
Fcast_recruitments(100)    -0.135978 -6.48875e-08
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      43.7167  1.07761e-06
selparm[3]      5.27208 -1.72661e-06
