ParName   Value   Gradient
SR_parm[1]      10.0674   0.00460023
recdev_early(-28)    0.0188573 -4.78884e-07
recdev_early(-27)    0.0221101 -3.16917e-07
recdev_early(-26)    0.0265503 -6.05341e-07
recdev_early(-25)    0.0287393 -1.26888e-06
recdev_early(-24)    0.0291318   6.7129e-07
recdev_early(-23)     0.028931  2.22188e-06
recdev_early(-22)    0.0268125 -7.05744e-07
recdev_early(-21)    0.0216503 -1.23814e-07
recdev_early(-20)     0.014304  1.61334e-06
recdev_early(-19)  0.000997516  6.88334e-07
recdev_early(-18)    -0.018262 -1.52162e-06
recdev_early(-17)   -0.0434381  3.41148e-06
recdev_early(-16)   -0.0709082 -2.77551e-07
recdev_early(-15)    -0.100545  2.30202e-06
recdev_early(-14)     -0.12812  7.55966e-07
recdev_early(-13)    -0.144748   1.1494e-06
recdev_early(-12)    -0.145773  1.45727e-06
recdev_early(-11)    -0.119099  1.39508e-06
recdev_early(-10)   -0.0590257  3.19315e-07
recdev_early(-9)    0.0330207  1.78892e-07
recdev_early(-8)     0.121075   1.8367e-06
recdev_early(-7)    0.0810257  2.39552e-06
recdev_early(-6)     -0.12737   1.3071e-06
recdev_early(-5)     -0.29015  -4.3603e-07
recdev_early(-4)    -0.125609  -1.7089e-06
recdev_early(-3)     0.204941 -8.21261e-06
recdev_early(-2)   -0.0738912 -7.78963e-06
recdev_early(-1)    -0.191383 -3.33777e-06
recdev_early(0)      0.30583  3.33529e-07
recdev1(1)    -0.256136 -3.69867e-05
recdev1(2)    -0.179386  -3.6099e-05
recdev1(3)      1.25841 -1.73642e-05
recdev1(4)   0.00753356 -3.53002e-05
recdev1(5)    -0.333385 -3.25978e-05
recdev1(6)      1.31511 -1.44392e-05
recdev1(7)     0.122548 -3.34673e-05
recdev1(8)    -0.899367  -3.4347e-05
recdev1(9)    -0.548288 -3.63111e-05
recdev1(10)    -0.369764 -3.27363e-05
recdev1(11)     0.987103 -6.07252e-06
recdev1(12)     0.144563 -2.33067e-05
recdev1(13)     0.194645 -2.29473e-05
recdev1(14)     0.128947  -2.0067e-05
recdev1(15)    -0.841359 -3.17791e-05
recdev1(16)      1.38422  5.04772e-05
recdev1(17)     0.272631 -1.64659e-06
recdev1(18)     -1.23918 -3.12194e-05
recdev1(19)      0.48518  1.06017e-05
recdev1(20)    -0.446823 -6.18386e-06
recdev1(21)    -0.931428 -3.34912e-05
recdev1(22)    -0.414492 -6.27759e-06
recdev1(23)    -0.546341 -9.55721e-06
recdev1(24)    -0.842348 -2.21061e-05
recdev1(25)    -0.447237 -6.18506e-06
recdev1(26)     -1.01616   3.1764e-07
recdev1(27)     0.577338  7.20899e-05
recdev1(28)   -0.0110948  3.21908e-05
recdev1(29)     -0.66437 -3.26592e-06
recdev1(30)     0.927157  0.000145134
recdev1(31)     0.196743  4.40937e-05
recdev1(32)    -0.238741  2.79317e-05
recdev1(33)     0.657331  0.000138972
recdev1(34)     0.640674   7.2929e-05
recdev1(35)     0.584547  0.000157836
recdev1(36)     0.419656  4.72027e-05
recdev1(37)     0.411409  0.000113935
recdev1(38)    -0.124897  5.70561e-05
recdev1(39)   -0.0874448  2.89211e-05
recdev1(40)    -0.439854  3.00292e-05
recdev1(41)    -0.415706   2.0374e-05
recdev1(42)    -0.306699  1.62882e-05
recdev1(43)    -0.580781  1.08092e-05
recdev1(44)      1.62788  0.000342568
recdev1(45)     0.964088  0.000164451
recdev1(46)    -0.856155 -1.53217e-05
recdev1(47)    -0.339334  8.46971e-06
recdev1(48)    -0.531424  5.26122e-06
recdev1(49)     0.628615  8.64692e-05
recdev1(50)    -0.302699   1.1294e-05
recdev1(51)     0.316884  3.53511e-05
recdev1(52)    -0.231311  3.99425e-06
recdev1(53)    -0.176286 -6.49493e-06
recdev1(54)      1.09239  7.55252e-05
recdev1(55)   -0.0676735 -6.31656e-06
recdev1(56)      1.10168  5.43889e-05
recdev1(57)    -0.785366 -2.48846e-05
recdev1(58)     0.230313 -6.37008e-06
recdev1(59)     0.246032 -1.09232e-05
recdev1(60)   -0.0268759 -1.46535e-05
recdev1(61)     0.293597 -8.72376e-06
recdev1(62)    -0.514797 -2.74905e-05
recdev1(63)    -0.274948  -2.5198e-05
recdev1(64)    -0.962055 -3.49121e-05
recdev1(65)    -0.883653 -3.29136e-05
recdev1(66)     0.247302 -2.96103e-05
recdev1(67)     0.267148 -3.08288e-05
recdev1(68)    0.0652236 -3.24742e-05
recdev1(69)     0.740388 -2.76462e-05
recdev1(70)      1.62112 -1.14511e-05
recdev1(71)    -0.433634 -3.68349e-05
recdev1(72)     -1.08835 -3.58277e-05
recdev1(73)     0.650452  -3.2885e-05
recdev1(74)    -0.710244   -3.074e-05
recdev1(75)    -0.235674 -4.07448e-05
recdev1(76)      0.72352 -3.24793e-05
recdev1(77)    -0.620399 -3.71012e-05
recdev1(78)     -0.58735 -4.16946e-05
recdev1(79)   0.00357473 -3.32966e-05
recdev1(80)    -0.265407 -4.10021e-05
recdev1(81)   -0.0972021 -3.70854e-05
recdev1(82)      0.10412 -3.49673e-05
recdev1(83)     -0.43151 -3.94816e-05
recdev1(84)     0.344253 -3.52519e-05
recdev1(85)    -0.423265 -3.70307e-05
recdev1(86)   -0.0266438 -3.91999e-05
recdev1(87)     0.608397 -3.82557e-05
recdev1(88)    0.0865255 -3.59463e-05
recdev1(89)    -0.356107 -4.14952e-05
recdev1(90)     0.538694 -3.88843e-05
recdev1(91)     0.600437 -3.88587e-05
recdev1(92)    0.0356695 -4.08548e-05
recdev1(93)    -0.287965 -4.03744e-05
recdev1(94)     -1.01449 -3.99431e-05
recdev1(95)     0.563915 -3.77002e-05
recdev1(96)    -0.848114 -4.15493e-05
recdev1(97)      1.14224 -4.88446e-05
Fcast_recruitments(98)     0.856898 -5.11889e-06
Fcast_recruitments(99)    -0.890189  2.03797e-06
Fcast_recruitments(100)    -0.872422  -4.0117e-08
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      41.9631  0.000547682
selparm[3]      5.10611 -0.000778386
