ParName   Value   Gradient
SR_parm[1]      10.0348    0.0106171
recdev_early(-28)    -0.143407  3.99969e-07
recdev_early(-27)     0.449668  1.04654e-06
recdev_early(-26)     0.262173   7.1572e-07
recdev_early(-25)    -0.138581 -7.09887e-08
recdev_early(-24)      1.13102  2.94809e-06
recdev_early(-23)    -0.113389  6.45871e-07
recdev_early(-22)   -0.0895261  1.09658e-06
recdev_early(-21)    -0.368573  1.21704e-06
recdev_early(-20)     0.163218  2.08848e-06
recdev_early(-19)      1.18603  7.03275e-06
recdev_early(-18)     0.480731  5.66001e-06
recdev_early(-17)     0.537813  6.48752e-06
recdev_early(-16)     0.296577  5.62783e-06
recdev_early(-15)    -0.139552  4.20879e-06
recdev_early(-14)      1.85029  2.59634e-06
recdev_early(-13)     0.377442  2.14792e-06
recdev_early(-12)      -1.3776  1.32811e-06
recdev_early(-11)     0.729882  1.07517e-06
recdev_early(-10)    -0.180497  2.91962e-06
recdev_early(-9)     -1.03516  3.45281e-06
recdev_early(-8)   -0.0375437  5.16006e-07
recdev_early(-7)    -0.646757  3.01173e-06
recdev_early(-6)    -0.221145  2.03531e-06
recdev_early(-5)    -0.136002  6.43699e-07
recdev_early(-4)    -0.735672  1.12697e-06
recdev_early(-3)     0.920682  1.00086e-05
recdev_early(-2)     0.264671  5.96168e-06
recdev_early(-1)    -0.735602  1.64842e-06
recdev_early(0)      1.22958  2.14456e-05
recdev1(1)     0.713714 -7.77879e-05
recdev1(2)    -0.350453 -8.75301e-05
recdev1(3)      0.62279 -7.20184e-05
recdev1(4)     0.675716 -6.82013e-05
recdev1(5)     0.599432 -6.90757e-05
recdev1(6)     0.527916 -6.87185e-05
recdev1(7)     0.431112 -6.98324e-05
recdev1(8)   -0.0473503 -7.36617e-05
recdev1(9)     -0.44317 -7.84741e-05
recdev1(10)      -0.2369 -7.33261e-05
recdev1(11)    -0.559431 -7.69318e-05
recdev1(12)    -0.210004 -6.48999e-05
recdev1(13)     -1.08908 -7.92356e-05
recdev1(14)      1.68231  0.000100296
recdev1(15)     0.928751  1.38889e-05
recdev1(16)     -1.06145 -7.53608e-05
recdev1(17)     -0.28581  -5.2732e-05
recdev1(18)    -0.360534 -5.12222e-05
recdev1(19)     0.579319  2.69746e-05
recdev1(20)    -0.118594 -2.49826e-05
recdev1(21)     0.190274  9.09067e-06
recdev1(22)   -0.0547969 -4.73477e-06
recdev1(23)   -0.0238545  4.70267e-06
recdev1(24)      1.06962  0.000217833
recdev1(25)    -0.324583 -7.78899e-06
recdev1(26)      1.18749  0.000329861
recdev1(27)    -0.921582  -3.5672e-05
recdev1(28)     0.331345  0.000126239
recdev1(29)     0.138219  9.91375e-05
recdev1(30)     0.143972  0.000119599
recdev1(31)     0.236332  0.000156536
recdev1(32)    -0.446507  3.86405e-05
recdev1(33)    -0.258606   7.5635e-05
recdev1(34)    -0.816257  2.77792e-06
recdev1(35)    -0.913738 -6.06045e-06
recdev1(36)     0.216273  0.000179008
recdev1(37)     0.316927  0.000201849
recdev1(38)    -0.036193  0.000112351
recdev1(39)     0.733836  0.000334828
recdev1(40)      1.55954    0.0008161
recdev1(41)    -0.307743  4.67368e-05
recdev1(42)      -1.8124 -2.24622e-05
recdev1(43)      0.79287  0.000324053
recdev1(44)    -0.640858  1.30097e-05
recdev1(45)    -0.661084  1.57959e-05
recdev1(46)      0.78233  0.000359528
recdev1(47)    -0.191903  7.55676e-05
recdev1(48)     -1.12563 -2.94129e-05
recdev1(49)     0.116084  0.000103652
recdev1(50)     -0.13725   4.7736e-05
recdev1(51)  -0.00415512  5.46858e-05
recdev1(52)     0.238183   7.2097e-05
recdev1(53)    -0.266485 -5.28345e-06
recdev1(54)     0.514505  6.53766e-05
recdev1(55)    -0.247655 -2.86412e-05
recdev1(56)     0.293259 -1.79101e-06
recdev1(57)     0.836422  3.71975e-05
recdev1(58)     0.329329 -2.30147e-05
recdev1(59)    -0.391552 -6.07019e-05
recdev1(60)     0.948398  9.13576e-06
recdev1(61)     0.795208 -1.73949e-05
recdev1(62)      0.36543 -4.67929e-05
recdev1(63)     0.177112 -5.97413e-05
recdev1(64)    -0.641673 -8.03635e-05
recdev1(65)      1.06897 -3.51439e-05
recdev1(66)    -0.530226 -8.39323e-05
recdev1(67)      1.73671  4.66046e-06
recdev1(68)      1.10918 -4.17832e-05
recdev1(69)   -0.0801844 -7.27339e-05
recdev1(70)    -0.663912 -8.15921e-05
recdev1(71)    -0.576856 -8.46548e-05
recdev1(72)     0.148423 -7.30373e-05
recdev1(73)    -0.298997 -8.04014e-05
recdev1(74)    -0.230388 -8.11382e-05
recdev1(75)    -0.861376 -8.25797e-05
recdev1(76)   -0.0392707 -8.04901e-05
recdev1(77)    -0.700202 -8.56277e-05
recdev1(78)     -1.35323  -8.5487e-05
recdev1(79)    -0.355307 -8.64225e-05
recdev1(80)      0.72549  -7.3824e-05
recdev1(81)    -0.565266 -8.46721e-05
recdev1(82)     0.452906 -7.93679e-05
recdev1(83)     -1.21521 -8.77565e-05
recdev1(84)   -0.0640887 -8.59561e-05
recdev1(85)     0.363808 -8.29331e-05
recdev1(86)     0.246327 -8.83878e-05
recdev1(87)   -0.0024897 -8.85613e-05
recdev1(88)    -0.455914 -8.90075e-05
recdev1(89)     -0.74588  -8.9492e-05
recdev1(90)    -0.793062 -8.85309e-05
recdev1(91)  0.000887443 -9.27297e-05
recdev1(92)     -0.72163 -9.02405e-05
recdev1(93)     -0.46888 -9.46061e-05
recdev1(94)    -0.254091 -9.38318e-05
recdev1(95)      1.45507 -0.000100069
recdev1(96)    -0.592719 -9.28687e-05
recdev1(97)     0.174666  -9.1184e-05
Fcast_recruitments(98)  -0.00827721  3.71501e-06
Fcast_recruitments(99)    -0.667509  2.13038e-06
Fcast_recruitments(100)    -0.166241  1.22761e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
Q_parm[1]     0.021258  0.000401716
selparm[1]      42.0826  0.000720129
selparm[3]       5.1069  -0.00165443
