ParName   Value   Gradient
SR_parm[1]      10.1364  3.07335e-06
recdev_early(40)  -0.00737816 -9.00157e-07
recdev_early(41)    -0.007525 -5.86224e-07
recdev_early(42)  -0.00763342 -2.33024e-07
recdev_early(43)  -0.00768195  1.21332e-07
recdev_early(44)  -0.00764207   4.4794e-07
recdev_early(45)  -0.00749734  7.23309e-07
recdev_early(46)  -0.00725032  9.36045e-07
recdev_early(47)  -0.00691598  1.04525e-06
recdev_early(48)  -0.00652077  9.75195e-07
recdev_early(49)  -0.00608982  7.05948e-07
recdev_early(50)  -0.00562553   3.2341e-07
recdev_early(51)  -0.00512978   6.8992e-09
recdev_early(52)  -0.00463739  -8.7748e-08
recdev_early(53)   -0.0042006  2.81223e-08
recdev_early(54)  -0.00384905   2.1797e-07
recdev_early(55)  -0.00356724  3.48354e-07
recdev_early(56)  -0.00330493  3.47095e-07
recdev_early(57)  -0.00302717   2.3275e-07
recdev_early(58)  -0.00272477  7.84038e-08
recdev_early(59)  -0.00242428 -3.44149e-08
recdev_early(60)   -0.0021586 -7.44474e-08
recdev_early(61)  -0.00194408 -6.40302e-08
recdev_early(62)  -0.00177214 -4.52525e-08
recdev_early(63)    -0.001626 -4.35527e-08
recdev_early(64)  -0.00147914 -6.41682e-08
recdev_early(65)  -0.00131652 -9.75656e-08
recdev_early(66)  -0.00114536 -1.32107e-07
recdev_early(67) -0.000989676 -1.57682e-07
recdev_early(68) -0.000871307 -1.70459e-07
recdev1(69)   -0.0298206 -5.41035e-08
recdev1(70)   -0.0297863 -5.16719e-08
recdev1(71)   -0.0297735 -4.89595e-08
recdev1(72)   -0.0297667 -4.54249e-08
recdev1(73)     -0.02974 -4.42264e-08
recdev1(74)     -0.02967 -5.22066e-08
recdev1(75)   -0.0295426 -7.48038e-08
recdev1(76)   -0.0293735 -1.15057e-07
recdev1(77)   -0.0292466 -1.68743e-07
recdev1(78)   -0.0293372 -2.18624e-07
recdev1(79)   -0.0298713 -2.27047e-07
recdev1(80)   -0.0309752 -1.13374e-07
recdev1(81)    -0.032412  8.78144e-08
recdev1(82)   -0.0332575 -2.35056e-07
recdev1(83)   -0.0318063 -2.76242e-07
recdev1(84)   -0.0258305 -1.01353e-06
recdev1(85)   -0.0136097  1.96685e-06
recdev1(86)   0.00374612  3.69548e-07
recdev1(87)    0.0180412  8.44957e-08
recdev1(88)   0.00946347  5.14389e-07
recdev1(89)   -0.0462904 -1.16337e-06
recdev1(90)    -0.147708   3.1553e-08
recdev1(91)    -0.247142 -6.20034e-08
recdev1(92)    -0.264558 -8.99353e-08
recdev1(93)   -0.0896204 -1.33183e-08
recdev1(94)     0.602064 -3.16916e-08
recdev1(95)      0.84583 -1.11468e-07
recdev1(96)    -0.208284  2.66434e-10
recdev1(97)    0.0182781 -3.04371e-08
Fcast_recruitments(98)    -0.387226 -9.04602e-09
Fcast_recruitments(99)   -0.0773051 -2.25938e-08
Fcast_recruitments(100)  -0.00214063 -2.70374e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      40.9576  3.49096e-07
selparm[3]      4.41943 -1.83274e-07
