"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","mre","mare","pconverge"
"1","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Depletion",100,0.0745998111902732,0.363387540741272,1
"2","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","F",100,-0.0859381150695872,0.437716905426973,1
"3","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","OFL",100,0.0850233054024437,0.42117448970078,1
"4","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","Recruit",100,0.262043238957469,0.574670383896193,1
"5","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SPR",100,0.0473339854892197,0.25366837686131,1
"6","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB",100,0.0599495889000844,0.490811536940091,1
"7","long_fast","R_biasadjusted","HighSigmaR","L1","N200","F1","SSB0",100,0.0394486135176632,0.151763857115549,1
"8","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Depletion",100,0.013568625215585,0.22540848719701,1
"9","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","F",100,-0.0171679509783088,0.276943043240383,1
"10","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","OFL",100,0.0133353495905189,0.291505949008342,1
"11","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Recruit",100,0.272580210192289,0.542757090955797,1
"12","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SPR",100,0.00955975736808335,0.150556358800457,1
"13","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB",100,-0.00543976725617965,0.285272952872389,1
"14","long_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB0",100,0.0166242222811442,0.108603158355583,1
"15","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","Depletion",100,0.0295800426216779,0.257393560237846,1
"16","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","F",100,-0.0543127076652381,0.295052576071159,1
"17","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","OFL",100,0.0973138809069065,0.30247668255492,1
"18","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","Recruit",100,0.263557481561368,0.472436795630809,1
"19","long_fast","R_biasadjusted","HighSigmaR","L2","N200","F1","SPR",100,0.0330046367909441,0.1565454691688,1
