ParName   Value   Gradient
SR_parm[1]      10.0264  3.41153e-05
recdev_early(2)   0.00314415 -1.58312e-06
recdev_early(3)   0.00336493 -1.60458e-06
recdev_early(4)   0.00360055 -1.60694e-06
recdev_early(5)   0.00385189 -1.58499e-06
recdev_early(6)   0.00411983  -1.5325e-06
recdev_early(7)   0.00440521 -1.44273e-06
recdev_early(8)   0.00470886 -1.30903e-06
recdev_early(9)   0.00503148 -1.12636e-06
recdev_early(10)   0.00537367 -8.92213e-07
recdev_early(11)   0.00573584 -6.07601e-07
recdev_early(12)   0.00611815 -2.78701e-07
recdev_early(13)   0.00652051   8.2001e-08
recdev_early(14)   0.00694242  4.54274e-07
recdev_early(15)   0.00738291  8.09984e-07
recdev_early(16)   0.00784035  1.11427e-06
recdev_early(17)   0.00831228  1.32893e-06
recdev_early(18)    0.0087953  1.41864e-06
recdev_early(19)   0.00928512  1.35918e-06
recdev_early(20)   0.00977691  1.14603e-06
recdev_early(21)    0.0102661  7.99788e-07
recdev_early(22)    0.0107499  3.66849e-07
recdev_early(23)    0.0112284 -8.57455e-08
recdev_early(24)     0.011705 -4.74955e-07
recdev_early(25)    0.0121844 -7.06585e-07
recdev_early(26)    0.0126699  -6.8836e-07
recdev_early(27)    0.0131624 -3.57096e-07
recdev_early(28)    0.0136533  2.85648e-07
recdev_early(29)    0.0141413  1.17256e-06
recdev_early(30)    0.0146238  2.15094e-06
recdev1(31)    0.0322575 -1.16602e-06
recdev1(32)    0.0327264 -6.55968e-07
recdev1(33)    0.0331763  2.32246e-07
recdev1(34)    0.0335998   1.1753e-06
recdev1(35)    0.0339879  1.77025e-06
recdev1(36)    0.0343316  1.75223e-06
recdev1(37)    0.0346235  1.16074e-06
recdev1(38)    0.0348591  2.97333e-07
recdev1(39)      0.03504 -4.71714e-07
recdev1(40)    0.0351536 -7.27382e-07
recdev1(41)    0.0351972 -3.09765e-07
recdev1(42)    0.0352085  2.55622e-07
recdev1(43)    0.0351909  7.29626e-07
recdev1(44)    0.0351413  9.84365e-07
recdev1(45)    0.0350533  9.87775e-07
recdev1(46)    0.0349249  7.39371e-07
recdev1(47)    0.0347608  2.61811e-07
recdev1(48)    0.0345695 -3.70294e-07
recdev1(49)    0.0343601  -1.0327e-06
recdev1(50)    0.0341401  -1.5849e-06
recdev1(51)     0.033915  -1.9102e-06
recdev1(52)    0.0336907 -1.94187e-06
recdev1(53)    0.0334739 -1.67129e-06
recdev1(54)    0.0332719 -1.14702e-06
recdev1(55)    0.0330922 -4.64171e-07
recdev1(56)    0.0329434  2.54248e-07
recdev1(57)    0.0328502  8.79948e-07
recdev1(58)    0.0328173  1.27978e-06
recdev1(59)    0.0328451  1.35756e-06
recdev1(60)     0.032926  1.10379e-06
recdev1(61)    0.0330377  6.58123e-07
recdev1(62)    0.0331322  3.44138e-07
recdev1(63)     0.033134  5.58003e-07
recdev1(64)    0.0328767  1.46698e-06
recdev1(65)     0.032081  2.27514e-06
recdev1(66)     0.030315  1.06489e-06
recdev1(67)    0.0269537 -4.45815e-07
recdev1(68)    0.0211456  3.15452e-06
recdev1(69)    0.0118286 -5.32387e-06
recdev1(70)   -0.0021215  3.02337e-06
recdev1(71)   -0.0215817 -1.82984e-06
recdev1(72)   -0.0467225  2.99052e-06
recdev1(73)   -0.0766063  -2.4425e-06
recdev1(74)    -0.108965  -1.1439e-07
recdev1(75)    -0.140181  3.82458e-07
recdev1(76)    -0.165434  3.56023e-07
recdev1(77)     -0.17918   4.1821e-07
recdev1(78)    -0.176478   7.1113e-07
recdev1(79)    -0.156455 -2.16089e-06
recdev1(80)     -0.12954 -1.20348e-06
recdev1(81)    -0.122789  7.28797e-07
recdev1(82)    -0.153194  1.42361e-06
recdev1(83)    -0.161826  1.54571e-06
recdev1(84)    0.0180975 -2.23272e-06
recdev1(85)     0.819561 -9.96796e-07
recdev1(86)     0.108775   7.9151e-07
recdev1(87)     -0.39798 -1.50111e-06
recdev1(88)    0.0476771 -7.64638e-07
recdev1(89)    -0.347238 -7.01813e-07
recdev1(90)    -0.772474 -5.21965e-07
recdev1(91)    0.0688593 -7.96594e-07
recdev1(92)    -0.704529 -5.52052e-07
recdev1(93)     -0.10364 -7.28822e-07
recdev1(94)   -0.0360277 -6.44183e-07
recdev1(95)      1.74521  -1.7109e-06
recdev1(96)    -0.079854 -5.25023e-07
Fcast_recruitments(97)     0.206976 -9.59158e-08
Fcast_recruitments(98)     0.587364 -2.39173e-07
Fcast_recruitments(99)   -0.0903702  1.15539e-07
Fcast_recruitments(100)   -0.0698945 -1.43849e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.9846  6.00438e-06
selparm[3]      5.16996 -1.32174e-05
